"","Visualquerybuilder","Visualschema/model/E-Rdiagramdesign","Reverseengineering","Forwardengineering","ERdiagramgroupboxes"
"Adminer","Yes","Yes","Yes","No","No"
"AltovaDatabaseSpy","Yes","Yes","Yes","Yes","?"
"DatabaseWorkbench","Yes","Yes","Yes","?","Yes"
"DBeaver","No","Yes","Yes","No","?"
"DBEdit","No","No","No","No","No"
"DbVisualizer","Yes","Yes","Yes","?","Yes"
"ModelRight","No","Yes","Yes","Yes","Yes"
"Navicat","Yes","Yes","Yes","Yes","Yes"
"NavicatDataModeler","Yes","Yes","Yes","Yes","Yes"
"MySQLWorkbench","Yes","Yes","Yes","Yes","Yes"
"OracleSQLDeveloper","Yes","Yes","Yes","Yes","?"
"Orbada","No","No","No","No","No"
"pgAdmin","Yes","No","No","No","No"
"phpMyAdmin","Yes","Yes","Yes","No","No"
"SQLDatabaseStudio","Yes","Yes","Yes","Yes","No"
"SQLServerManagementStudio","?","Yes","Yes","?","?"
"SQLyog","Yes","Yes","Yes","Yes","?"
"SQuirreLSQL","Yes","Yes","Yes","?","No"
"Toad","Yes","Yes","Yes","Yes","?"
"ToadDataModeler","No","Yes","Yes","Yes","?"
