"Sensor","Class","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2021","2021","2020","2020","2019","2019","2018","2018","2017","2017","2016","2016","2015","2015","2014","2014","2013","2013","2012","2012","2011","2011","2010","2010","2009","2009","2008","2008","2007","2007","2006","2006","2005","2005","2004","2004","2003","2003","2002","2002","2001","2001","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Sensor","Class","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FF","Flagship","","","","","","","","","D3X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","D3X","D3X","D3X","D3X","D3X","D3X","D3X","D3X","D3X","D3X","D3X","D3X","D3X","","","","","","","","","","","","","","","","","","","","","","","","D3X","","","","","","","","","",""
"","","","","","","","D3","D3S","D4","D4S","D5","D6","D6","D6","D6","D6","D6","D5","D5","D5","D5","D5","D5","D5","D5","D5","D5","D5","D5","D5","D5","D5","D4S","D4S","D4S","D4S","D4S","D4S","D4","D4","D4","D4","D4","D4","D3S","D3S","D3S","D3S","D3S","D3S","D3S","D3","D3","D3","D3","D3","D3","D3","","","","","","","","","","","","","FF","Flagship","","","","","","","","D3","D3S","D4","D4S","D5","D6"
"FF","","","","","","","","","","","","D800/D800E","D810/D810A","D850","D850","D850","D850","D850","D850","D850","D850","D850","D850","D850","D850","D850","D850","D850","D850","D850","D810/D810A","D810/D810A","D810/D810A","D810/D810A","D810/D810A","D810/D810A","D810/D810A","D810/D810A","D810/D810A","D810/D810A","D810/D810A","D800/D800E","D800/D800E","D800/D800E","D800/D800E","D800/D800E","D800/D800E","D800/D800E","","","","","","","","","","","","","","","","","","","","","","","Professional","","","","","","","","","","","","D800/D800E","D810/D810A","D850"
"","","","","","","","","","","","","","Df","","","","Df","Df","Df","Df","Df","Df","Df","Df","Df","Df","Df","Df","Df","Df","Df","Df","Df","Df","Df","Df","Df","Df","Df","Df","Df","Df","Df","","","","","","","","","","","","","","","","","","","","","","","","","","Professional","FF","","","","","","","","","","","","","","Df",""
"FF","","","","","","","","","D700","D700","","","D750","D780","D780","D780","D780","D780","D780","D780","D750","D750","D750","D750","D750","D750","D750","D750","D750","D750","D750","D750","D750","D750","D750","D750","D750","D750","D750","D750","","","D700","D700","D700","D700","D700","D700","D700","D700","D700","D700","D700","D700","D700","D700","","","","","","","","","","","","","","","High-end","","","","","","","","","D700","","","","D750","D780"
"","","","","","","","","","","","","D600","D610","D610","","","","","","","D610","D610","D610","D610","D610","D610","D610","D610","D610","D610","D610","D610","D610","D610","D610","D610","D610","D610","D610","D610","D610","D600","D600","D600","","","","","","","","","","","","","","","","","","","","","","","High-end","FF","","","","","","","","","","","","","D600","D610","","",""
"APS-C","Flagship","D1X","D2X","D2Xs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","D2Xs","D2Xs","D2Xs","D2X","D2X","D2X","D2X","D2X","D1X","D1X","D1X","D1X","D1X","D1X","D1X","D1X","D1X","D1X","D1X","D1X","D1X","D2X","D2Xs","","","","","","","","","","","","","","",""
"D1H","D2H","D2Hs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","D2Hs","D2Hs","D2Hs","D2Hs","D2Hs","D2Hs","D2Hs","D2Hs","D2H","D2H","D2H","D2H","D1H","D1H","D1H","D1H","D1H","D1H","D1H","D1H","APS-C","Flagship","D1H","D2H","D2Hs","","","","","","","","","","","","","","",""
