"Class","2018","2019","2020","2021","2022","2022","2022","2021","2021","2020","2020","2019","2019","2018","2018","Class","2018","2019","2020","2021","2022"
"Class","","","","","","","","","","","","","","","","","","","",""
"Flagship","","Z9","Z9","Z9","Z9","","","","","","","","","","","","","","Flagship","","Z9"
"Advanced","","Z7","Z7?","Z7?","Z7?","Z7?","Z7?","Z7?","Z7?","Z7?","Z7","Z7","Z7","Z7","Z7","Z7","Z7","Advanced","","Z7","Z7?"
"High-end","","Z6","Z6?","Z6?","Z6?","Z6?","Z6?","Z6?","Z6?","Z6?","Z6","Z6","Z6","Z6","Z6","Z6","","High-end","","Z6","Z6?"
"","Zfc","Zfc","Zfc","Zfc","Zfc","","","","","","","","","","","","","High-end","","Zfc"
"Mid-range","","Z5","Z5","Z5","Z5","Z5","Z5","Z5","Z5","Z5","","","","","","","","","Mid-range","","Z5"
"","Z50","Z50","Z50","Z50","Z50","Z50","Z50","Z50","Z50","Z50","Z50","Z50","","","","","","Mid-range","","Z50"
"Class","Class","","","","","","","","","","","","","","","","","","","",""
"2018","2019","2020","2021","2022","2022","2022","2021","2021","2020","2020","2019","2019","2018","2018","Class","2018","2019","2020","2021","2022"
