"Client","Client","IPtoCountry","ProtocolObfuscation","Handlesfiles>4GB","Chat","Buddylist","SendFILERATINGtagstoservers","EndGame","AICH","L2HAC","SecureUserID","GlobalSearches","UPnPportmapping","IntelligentChunkSelection","Lancast","HideOS/SotN"
"aMule","aMule","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No"
"eMule","Official","No","Yes","Yes","Yes","Yes","Yes","zz'sVersion","Yes","No","Yes","Yes","Yes","No","No","No"
"eMule","Osp","No","Yes","Yes","Yes","Yes","Yes","zz'sVersion","Yes","No","Yes","Yes","Yes","No","No","No"
"eMule","AnalyZZUL","No","Yes","Yes","Yes","Yes","Yes","zz'sVersion","Yes","No","Yes","Yes","Yes","No","No","No"
"eMule","beba","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Version1","No","No"
"eMule","MagicAngel","Yes","Yes","Yes","Yes","Yes","Yes","DBR","Yes","Yes","Yes","Yes","Yes","Version1","No","both"
"eMule","Mephisto","Yes","Yes","Yes","Yes","Yes","Yes","DBR","Yes","Yes","Yes","Yes","Yes","No","No","both"
"eMule","MorphXT","Yes","Yes","Yes","Yes","Yes","Yes","DBR","Yes","Yes","Yes","Yes","Yes","Version1","No","both"
"eMule","NeoMule","Yes","Yes","Yes","Yes","Yes","Yes","ownsimplifiedimplementation","Yes","Yes","Yes","Yes","Yes","Version2","Version2","ownimplementation"
"eMule","ScarAngel","Yes","Yes","Yes","Yes","Yes","Yes","DBR","Yes","Yes","Yes","Yes","Yes","No","No","both"
"eMule","SharkX","Yes","Yes","Yes","Yes","Yes","Yes","DBR","Yes","Yes","Yes","Yes","Yes","Version1","No","No"
"eMule","Sivka","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Version1","HideOS"
"eMule","Spike2","Yes","Yes","Yes","Yes","Yes","Yes","DBR","Yes","Yes","Yes","Yes","Yes","Version1","No","No"
"eMule","StulleMule","Yes","Yes","Yes","Yes","Yes","Yes","DBR","Yes","Yes","Yes","Yes","Yes","Version1","No","both"
"eMule","Xtreme","Yes","Yes","Yes","Yes","Yes","Yes","DBR","Yes","Yes","Yes","Yes","Yes","No","No","ownimplementation"
"eMule","X-Ray","Yes","Yes","Yes","Yes","Yes","Yes","DBR","Yes","Yes","Yes","Yes","Yes","Version1","No","No"
"eMule","ZZUL","No","Yes","Yes","Yes","Yes","Yes","zz'sVersion","Yes","No","Yes","Yes","Yes","No","No","No"
"eMule","ZZULBastarD","No","Yes","Yes","Yes","Yes","Yes","zz'sVersion","Yes","No","Yes","Yes","Yes","No","No","No"
"eMule","eMulePlus","Yes","No","upto512GB","Yes","Yes","Yes","?","No","Yes","Yes","Yes","No","Yes","Version1","manualhiding"
"Lphant","Lphant","No","Yes","Yes","Yes","Yes","Yes","Yes","CCH(similartoICH)","No","Yes","No","Yes","No","Version1","No"
"MLDonkey","MLDonkey","Yes","No","Yes","Yes","Yes","?","No","Yes","No","Yes","Yes","Yes","No","No","No"
"Shareaza","Shareaza","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","No","No"
"xMule","xMule","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No"
"Client","Client","IPtoCountry","ProtocolObfuscation","Handlesfiles>4GB","Chat","Buddylist","SendFILERATINGtagstoservers","EndGame","AICH","L2HAC","SecureUserID","GlobalSearches","UPnPportmapping","IntelligentChunkSelection","Lancast","HideOS/SotN"
