"","InfantryTankMkIMatilda","InfantryTankMkIIMatilda","PanzerI","PanzerII","PanzerIII","PanzerIVAusf.A-F1","LTvz.35(Panzer35(t))","LTvz.38(Panzer38(t))","7TP","T-26","BT-7M","T-34Model1940","KV-1Model1940","Type97Chi-Ha"
"Country","UnitedKingdom","UnitedKingdom","NaziGermany","NaziGermany","NaziGermany","NaziGermany","Czechoslovakia,NaziGermany","Czechoslovakia,NaziGermany,Sweden","Poland","SovietUnion","SovietUnion","SovietUnion","SovietUnion","Japan"
"Enteredservice","1938","1939","1934","1936","1939","1939","1937","1939","1935","1931","1939","1940","1940","1937"
"Crew","2","4","2","3","5","5","4","4","3","3","3","4","5","4"
"Dimensions","Dimensions","Dimensions","Dimensions","Dimensions","Dimensions","Dimensions","Dimensions","Dimensions","Dimensions","Dimensions","Dimensions","Dimensions","Dimensions"
"Length","4.9m","6.0m","4.40m","4.80m","5.52m","5.92m","4.9m","4.61m","4.56m","4.88m","5.66m","5.92m","6.75m","5.50m"
"Width","2.3m","2.6m","2.00m","2.20m","2.90m","2.88m","2.1m","2.12m","2.43m","2.41m","2.29m","3.00m","3.32m","2.33m"
"Height","2.0m","2.5m","1.70m","2.00m","2.50m","2.68m","2.35m","2.40m","2.27m","2.08m","2.42m","2.45m","2.71m","2.21m"
"TurretRing","?","1378mm","927mm","?","1560mm","1650mm","1267mm","?","?","?","?","1420mm","1580mm","1350mm"
"Weight","11tonnes","27tonnes","6.0tonnes","9.5tonnes","19.5tonnes","21.0tonnes","10.5tonnes","9.5tonnes","9.9tonnes","10.3tonnes","14.7tonnes","26.3tonnes","45tonnes","14.3to15.2tonnes"
"Armour","Armour","Armour","Armour","Armour","Armour","Armour","Armour","Armour","Armour","Armour","Armour","Armour","Armour"
