"Wordprocessor","Apple","Atari","CP/M","CPT","Commodore64","HP","IBMPC","Kaypro","Macintosh","Morrow","IBMPCjr","Rainbow100","TIProfessional","Tandy","ZXSpectrum"
"Tasword","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","Yes"
"Homeword","II,IIc,IIe","800","No","No","Yes","No","Yes","No","No","No","Yes","No","No","No","No"
"MacWrite","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No"
"Pfs:Write","II,IIc,IIe","No","No","No","No","No","Yes","No","No","No","Yes","No","No","No","No"
"AtariWriter","No","800XL,1200","No","No","No","No","No","No","No","No","No","No","No","No","No"
"OMNIWRITER","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No"
"WordJuggler","II,IIe,III","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"PC-Write","No","No","No","No","No","No","Yes","No","No","No","Yes","No","No","No","No"
"Wordvision","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
"Volkswriterdeluxe","No","No","No","No","No","No","Yes","No","No","No","Yes","No","Yes","No","No"
"PerfectWriter","No","No","Yes","No","No","No","Yes","Yes","No","No","No","No","No","No","No"
"PluPerfect","No","No","No","No","No","No","No","2,4,10","No","Yes","No","No","No","No","No"
"Wordstar","II,IIe","No","Yes","No","No","110,150","Yes","Yes","No","Yes","Yes","Yes","Yes","TRS-80","No"
"Newword","IIe","No","Yes","No","No","No","Yes","Yes","No","Yes","No","No","No","No","No"
"Appleworks","II,IIe","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"AppleWriter","II,IIe,III","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"IIIE-ZPieces","III","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Symphony","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
"Framework","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
"XYWriteII+","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
"WordPerfect","No","No","No","No","No","No","Yes","No","No","No","No","Yes","Yes","Tandy2000","No"
"MicrosoftWord","No","No","No","No","No","No","Yes","No","Yes","No","No","Yes","Yes","Tandy2000","No"
"CPTWordProcessors","No","No","Yes","Yes","No","No","Yes","No","No","No","Yes","No","No","No","No"
