"Client","Messagefileformat","Encrypteddatabase","Virtualfolders","Scheduledbackup","Newmailnotification","Newmailnotification","Newmailnotification","Newmailnotification","Customizableinterface","Customizablekeybindings","Fragmentedmessages","IMAP","IMAP","IMAP","Databasesearchwithregularexpressionssupport","Indexedsearch","Searchfolders","IMAP"
"Client","Messagefileformat","Encrypteddatabase","Virtualfolders","Scheduledbackup","ticker","Customizableinterface","Customizablekeybindings","Fragmentedmessages","Databasesearchwithregularexpressionssupport","Indexedsearch","Searchfolders","trayicon","tooltip","sound","Search","IDLE"
"Alpine","mbox,mbx,MIX,maildir(withpatches),MMDF,tenex,mtx,MH,mx,news,phile","?","Yes","Partial","?","?","?","Yes","Yes","No","?","No","Yes","Yes","Yes","No"
"Becky!InternetMail","mbox","?","?","No","Yes","?","Yes","Yes","?","?","?","Yes","?","Yes","Yes","Yes"
"Citadel","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"ClawsMail","MH,mbox(plugin)","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","?","?","?","No","Yes","No"
"Courier","Proprietary","Yes(weak)","Yes","?","?","?","?","?","Yes(layout)","No","?","No","No","Yes","No","Yes"
"Elm","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"eMClient","Proprietary(sqlite)","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes"
"EmailTray","Proprietary","Yes","Yes","No","Yes","Yes","No","Yes","No","No","No","No","Yes","Yes","?","?"
"Eudora","modifiedmbox","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"Evolution","maildir,mbox,MH","No","Yes","No","No","Yes","Yes","Yes","Partial","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Gnus","babyl,maildir,mbox,MMDF,news,rnews,SOUP,outlook,oe-dbx","No","Yes","No","No","?","?","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"GroupWise","Proprietary","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","?","?","?","Yes","Yes","Yes","No"
"Hiri","Proprietary","No","No","No","No","No","No","No","Yes","No","No","No","Yes","Yes","No","No"
"IBMNotes","Proprietary","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","?","No"
"KMail","mbox,maildir","No","Yes","No","?","?","?","?","Yes","Yes","No","Yes","?","Yes","Yes","Yes"
"Mailbird","Proprietary","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Partial","Yes","Yes","Yes"
"Mailpile","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"MicrosoftEntourage","Proprietary(PersonalStorageTable)","?","Yes","Partial","?","?","?","?","Partial","No","No","Partial","Yes","Yes","Yes","Yes"
"MicrosoftOfficeOutlook","Proprietary(PersonalStorageTable)","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","?","?","Yes","Yes","?","Yes"
"MozillaMail&Newsgroups","mbox","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"MozillaThunderbird","mbox,maildir","No","Yes","?","?","Yes","Yes","Yes","Yes","?","No","?","Yes(asof3.0)","Yes","Yes","Yes"
"Mulberry","mbox","Partial","Partial","Partial","?","?","?","?","Yes","?","?","Yes","Partial","No","Yes","No"
"Mutt","mbox,MMDF,MH,maildir","Yes(withcompressedfolderspatch)","?(haslimitcommand)","No","?","?","?","?","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes"
"NetscapeMessenger","mbox","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"NetscapeMessenger9","mbox","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"nmh/MH","MH","No","Yes","No","No","?","?","?","Yes","Yes","?","Yes","Yes","Yes","No","?"
"OperaMail","mbox,MH,Proprietary","No","Yes(allfoldersarevirtual)","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","?","Yes"
"OutlookExpress","Proprietary","No","No","No","?","Yes","No","Yes","No","No","Yes","?","No","?","?","Yes"
"PegasusMail","Proprietary(mbox-like)","No","Yes","No","?","Yes","Yes","Yes","Yes","?","?","Yes","?","Yes","Yes","No"
"Pine","mbox,mbx,MIX,maildir(withpatches),MMDF,tenex,mtx,MH,mx,news,phile","?","?","?","?","?","?","?","?","?","?","?","?","?","?","No"
"Pocomail","mbox","Yes","Yes","Yes","?","?","?","?","Yes","?","?","Yes","Yes","Yes","?","?"
"RoundCube","[IMAPServer]","?","?","?","Yes","No","No","Yes","Yes","Yes","?","?","?","Yes","Yes","?"
"i.Scribe/InScribe","Proprietary(sqlite)","No","No","No","No","Yes","No","Yes","Yes","No","No","No","No","No","No","Yes"
"SeaMonkeyMail&Newsgroups","mbox","?","?","?","Yes","Yes","Yes","Yes","?","?","?","?","?","?","Yes","Yes"
"SquirrelMail","[IMAPServer]","?","?","?","Yes","No","No","Yes","Yes","Yes","?","?","?","Yes","Yes","?"
"Sylpheed","MH","No","Yes","No","?","Yes","?","?","Yes","Yes","No","No","No","Yes","?","No"
"TheBat!","Proprietary","Yes(AES128bit)(withProandVoyagerversion)","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes(PCRE6.2)","No","Yes","Yes","Yes"
"Trojitá","IMAP","No","No","No","No","Yes","No","No","Yes","Yes","No","No","Yes","No","Yes","Yes"
"Turnpike","Proprietary","Yes","Yes","?","?","?","?","?","?","?","Yes","?","?","Yes","?","?"
"WindowsLiveMail","FileSystem(.eml)","No","No","No","No","Yes","?","Yes","Yes","No","Yes","No","Yes","Yes","?","?"
"WindowsMail","?","?","?","?","?","?","?","Yes","?","?","?","?","?","?","?","Yes"
"YAM","mbox,maildir,oe-dbx","No","No","No","?","?","Yes","Yes","Yes","No","No","No","No","No","No","No"
"Zimbra","Filesystem","No","Yes","Yes","?","?","?","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Client","Messagefileformat","Encrypteddatabase","Virtualfolders","Scheduledbackup","Newmailnotification","Newmailnotification","Newmailnotification","Newmailnotification","Customizableinterface","Customizablekeybindings","Fragmentedmessages","IMAP","IMAP","IMAP","Databasesearchwithregularexpressionssupport","Indexedsearch","Searchfolders","IMAP"
"Client","Messagefileformat","Encrypteddatabase","Virtualfolders","Scheduledbackup","ticker","Customizableinterface","Customizablekeybindings","Fragmentedmessages","Databasesearchwithregularexpressionssupport","Indexedsearch","Searchfolders","trayicon","tooltip","sound","Search","IDLE"
