"Datasetname","Briefdescription","Preprocessing","Instances","Format","Defaulttask","Created(updated)","Reference","Creator"
"Aff-Wild","298videosof200individuals,~1,250,000manuallyannotatedimages:annotatedintermsofdimensionalaffect(valence-arousal);in-the-wildsetting;colordatabase;variousresolutions(average=640x360)","thedetectedfaces,faciallandmarksandvalence-arousalannotations","~1,250,000manuallyannotatedimages","video(visual+audiomodalities)","affectrecognition(valence-arousalestimation)","2017","CVPRIJCV","D.Kolliasetal."
"Aff-Wild2","558videosof458individuals,~2,800,000manuallyannotatedimages:annotatedintermsofi)categoricalaffect(7basicexpressions:neutral,happiness,sadness,surprise,fear,disgust,anger);ii)dimensionalaffect(valence-arousal);iii)actionunits(AUs1,2,4,6,12,15,20,25);in-the-wildsetting;colordatabase;variousresolutions(average=1030x630)","thedetectedfaces,detectedandalignedfacesandannotations","~2,800,000manuallyannotatedimages","video(visual+audiomodalities)","affectrecognition(valence-arousalestimation,basicexpressionclassification,actionunitdetection)","2019","BMVCFG","D.Kolliasetal."
"FERET(facialrecognitiontechnology)","11338imagesof1199individualsindifferentpositionsandatdifferenttimes.","None.","11,338","Images","Classification,facerecognition","2003","","UnitedStatesDepartmentofDefense"
"RyersonAudio-VisualDatabaseofEmotionalSpeechandSong(RAVDESS)","7,356videoandaudiorecordingsof24professionalactors.8emotionseachattwointensities.","Fileslabelledwithexpression.Perceptualvalidationratingsprovidedby319raters.","7,356","Video,soundfiles","Classification,facerecognition,voicerecognition","2018","","S.R.LivingstoneandF.A.Russo"
"SCFace","Colorimagesoffacesatvariousangles.","Locationoffacialfeaturesextracted.Coordinatesoffeaturesgiven.","4,160","Images,text","Classification,facerecognition","2011","","M.Grgicetal."
"YaleFaceDatabase","Facesof15individualsin11differentexpressions.","Labelsofexpressions.","165","Images","Facerecognition","1997","","J.Yangetal."
"Cohn-KanadeAU-CodedExpressionDatabase","Largedatabaseofimageswithlabelsforexpressions.","Trackingofcertainfacialfeatures.","500+sequences","Images,text","Facialexpressionanalysis","2000","","T.Kanadeetal."
"JAFFEFacialExpressionDatabase","213imagesof7facialexpressions(6basicfacialexpressions+1neutral)posedby10Japanesefemalemodels.","Imagesarecroppedtothefacialregion.Includessemanticratingsdataonemotionlabels.","213","Images,text","Facialexpressioncognition","1998","","Lyons,Kamachi,Gyoba"
"FaceScrub","Imagesofpublicfiguresscrubbedfromimagesearching.","Nameandm/fannotation.","107,818","Images,text","Facerecognition","2014","","H.Ngetal."
"BioIDFaceDatabase","Imagesoffaceswitheyepositionsmarked.","Manuallyseteyepositions.","1521","Images,text","Facerecognition","2001","","BioID"
"SkinSegmentationDataset","Randomlysampledcolorvaluesfromfaceimages.","B,G,R,valuesextracted.","245,057","Text","Segmentation,classification","2012","","R.Bhatt."
"Bosphorus","3DFaceimagedatabase.","34actionunitsand6expressionslabeled;24faciallandmarkslabeled.","4652","Images,text","Facerecognition,classification","2008","","ASavranetal."
"UOY3D-Face","neutralface,5expressions:anger,happiness,sadness,eyesclosed,eyebrowsraised.","labeling.","5250","Images,text","Facerecognition,classification","2004","","UniversityofYork"
"CASIA3DFaceDatabase","Expressions:Anger,smile,laugh,surprise,closedeyes.","None.","4624","Images,text","Facerecognition,classification","2007","","InstituteofAutomation,ChineseAcademyofSciences"
"CASIANIR","Expressions:AngerDisgustFearHappinessSadnessSurprise","None.","480","AnnotatedVisibleSpectrumandNearInfraredVideocapturesat25framespersecond","Facerecognition,classification","2011","","Zhao,G.etal."
"BU-3DFE","neutralface,and6expressions:anger,happiness,sadness,surprise,disgust,fear(4levels).3Dimagesextracted.","None.","2500","Images,text","Facialexpressionrecognition,classification","2006","","BinghamtonUniversity"
"FaceRecognitionGrandChallengeDataset","Upto22samplesforeachsubject.Expressions:anger,happiness,sadness,surprise,disgust,puffy.3DData.","None.","4007","Images,text","Facerecognition,classification","2004","","NationalInstituteofStandardsandTechnology"
"Gavabdb","Upto61samplesforeachsubject.Expressionsneutralface,smile,frontalaccentuatedlaugh,frontalrandomgesture.3Dimages.","None.","549","Images,text","Facerecognition,classification","2008","","KingJuanCarlosUniversity"
"3D-RMA","Upto100subjects,expressionsmostlyneutral.Severalposesaswell.","None.","9971","Images,text","Facerecognition,classification","2004","","RoyalMilitaryAcademy(Belgium)"
"SoF","112persons(66malesand46females)wearglassesunderdifferentilluminationconditions.","Asetofsyntheticfilters(blur,occlusions,noise,andposterization)withdifferentlevelofdifficulty.","42,592(2,662originalimage×16syntheticimage)","Images,Matfile","Genderclassification,facedetection,facerecognition,ageestimation,andglassesdetection","2017","","Afifi,M.etal."
"IMDB-WIKI","IMDBandWikipediafaceimageswithgenderandagelabels.","None","523,051","Images","Genderclassification,facedetection,facerecognition,ageestimation","2015","","R.Rothe,R.Timofte,L.V.Gool"
