"Client","Offlinesupport","Search","Annotations","NewsFiltering","Pluginable","AutomaticUpdate","PublishCapabilities"
"Akregator","Yes","Yes","No","Yes","?","Yes","No"
"Amarok","?","?","?","?","?","?","?"
"AOLExplorer","?","?","?","?","?","?","?"
"Avant","?","?","?","?","?","?","?"
"Awasu","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"BlogBridge","?","?","?","?","?","?","?"
"Canto","?","?","?","?","?","?","?"
"ClawsMail","?","?","?","?","?","?","?"
"CommaFeed","?","Yes","?","?","?","Yes","?"
"Cooliris","?","?","?","?","?","?","?"
"FeedViewer","Yes","Yes","?","No","No","Yes","Sharing"
"FeedDemon","Yes","?","?","?","?","?","?"
"Feedreader","Yes","Yes","?","?","?","Yes","?"
"Flock","?","?","?","?","?","?","?"
"Gnus","Yes","Yes","?","?","?","Yes","?"
"IBMLotusNotes","?","?","?","?","?","?","?"
"InternetExplorer","?","?","?","?","?","?","?"
"iTunes","?","?","?","?","?","?","?"
"Juice","?","?","?","?","?","?","?"
"K-Meleon","?","?","?","?","?","?","?"
"Kazehakase","?","?","?","?","?","?","?"
"Liferea","Yes","Yes","?","Yes","?","Yes","?"
"Mail(OSX)","?","?","?","?","?","?","?"
"Maxthon","?","?","?","?","?","?","?"
"MediaMonkey","?","?","?","?","?","?","?"
"MicrosoftOfficeOutlook","?","?","?","?","?","?","?"
"MozillaFirefox","?","?","?","?","?","?","?"
"MozillaThunderbird","Yes","Yes","?","Yes","?","Yes","?"
"NetNewsWire","Yes","Yes","?","?","?","?","?"
"NetscapeBrowser","?","?","?","?","?","?","?"
"NetscapeNavigator9","?","?","?","?","?","?","?"
"Newsbeuter","Yes","Yes","Yes","Yes","Yes","Yes","No"
"NewsBlur","Yes","Yes","Yes","Yes","?","?","Yes"
"NewsFire","?","?","?","?","?","?","?"
"OmniWeb","?","?","?","?","?","?","?"
"OperaMail","Yes","Yes","?","Yes","No","Yes","No"
"PegasusMail","?","?","?","?","?","?","?"
"Rhythmbox","?","?","?","?","?","?","?"
"RSSBandit","?","?","?","?","?","?","?"
"RSSGuard","Yes","Yes","Yes","Yes","Yes","Yes","No"
"RSSOwl","No","Yes","?","Yes","Yes","Yes","?"
"Safari","?","?","?","?","?","?","?"
"Sage","?","?","?","?","?","?","?"
"SeaMonkeyMail&Newsgroups","?","?","?","?","?","?","?"
"Shiira","?","?","?","?","?","?","?"
"Sleipnir","?","?","?","?","?","?","?"
"Songbird","?","?","?","?","?","?","?"
"TheBat!","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"TheOldReader","Viasomemobileapps","Yes","?","?","?","Yes","Sharing"
"TinyTinyRSS","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Winamp","?","?","?","?","?","?","?"
"WindowsLiveMail","?","?","?","?","?","?","?"
"Zimbra","?","?","?","?","?","?","?"
"Zune","?","?","?","?","?","?","?"
"Client","Offlinesupport","Search","Annotations","NewsFiltering","Pluginable","AutomaticUpdate","PublishCapabilities"
