"Name","Filenamecasing","CRC","Filedate","Daylightsaving","Charactercasing"
"BeyondCompare","Yes","Yes","Yes","Yes","Yes"
"Compare++","Yes","Yes","Yes","","Yes"
"diff","Yes","No","No","No","Optional"
"diff3","","","","",""
"Eclipse(compare)","","","","",""
"Ediff","","","","",""
"ExamDiffPro","No","Yes","Yes","Yes","Yes"
"FarManager(compare)","Yes","No","Yes","No","Yes"
"fc","No","","","","Optional"
"FileMerge(akaopendiff)","No","No","No","","Optional"
"GuiffySureMerge","filesystemdependent","","Yes","","Yes"
"IntelliJIDEA(compare)","","","","",""
"jEditJDiffplugin","","","","",""
"LazarusDiff","","","","",""
"Meld","","","","",""
"Notepad++(compare)","No","No","No","","Yes"
"PerforceP4Merge","N/A","No","No","No","Yes"
"PrettyDiff","N/A","No","No","No","Optional"
"Tkdiff","","","","",""
"TotalCommander(compare)","","","Optional","Yes(insynchronizeonly)","Optional"
"vimdiff","No","No","No","No","Yes"
"WinDiff","No","No","whendifferent","Yes","Optional"
"WinMerge","No","No","Optional","","Optional"
"UCC","No","No","Yes","No",""
"Name","Filenamecasing","CRC","Filedate","Daylightsaving","Charactercasing"
