"Name","Developer","Initialrelease","Initialrelease","Latestrelease","Platform","Latestrelease","License","Cost"
"Name","Developer","Version","Platform","Date","License","Cost","Version","Date"
"AltapSalamander","Altap","","1997-08-15","Windows","4.0","2019-06-11","Proprietary","Nocost"
"CommanderOne","EltimaSoftware","","2015-08-04","macOS","3.3.3508","2021-09-10","Proprietary","US$29.95"
"DirectoryOpus","JonathanPotterGPSoftware","1","1990-01-03","AmigaOS","4.16","2001-07-04","GPL-2.0","Nocost"
"DirectoryOpus","JonathanPotterGPSoftware","1","1990-01-03","AmigaOS","5.91","2015-08-30","APL","Nocost"
"DirectoryOpus","5.91","2015-08-30","APL","JonathanPotterGPSoftware","1","1990-01-03","AROS","Nocost"
"DirectoryOpus","5.91","2015-08-30","APL","JonathanPotterGPSoftware","1","1990-01-03","MorphOS","Nocost"
"DirectoryOpus","JonathanPotterGPSoftware","6","2001-06-18","Windows","12.26","2021-12-02","Proprietary","A$49LiteA$89Pro"
"Dired","IntegralpartofEmacs.PartoftheGNUproject.","","1974?","","7.17","2009-07-30","GPL-1.0-or-later","Nocost"
"Dolphin","KDE","0.5","2006-06-07","BSD","21.12.2","2022-01-29","GPL-2.0-or-later","Nocost"
"Dolphin","KDE","0.5","2006-06-07","GNU/Linux","21.12.2","2022-01-29","GPL-2.0-or-later","Nocost"
"Dolphin","KDE","0.5","2006-06-07","macOS","21.12.2","2022-01-29","GPL-2.0-or-later","Nocost"
"Dolphin","KDE","0.5","2006-06-07","Unix","21.12.2","2022-01-29","GPL-2.0-or-later","Nocost"
"Dolphin","KDE","0.5","2006-06-07","Windows","21.12.2","2022-01-29","GPL-2.0-or-later","Nocost"
"DOSNavigator","Ritlabs","0.90","1991","DOS","1.51","1999-04-19","BSD-3-Clause","Nocost"
"DOSNavigator","Ritlabs","0.90","1991","OS/2","1.51","1999-04-19","BSD-3-Clause","Nocost"
"DOSNavigator","Ritlabs","0.90","1991","Windows","1.51","1999-04-19","BSD-3-Clause","Nocost"
"DOSShell","Microsoft/IBM","","1988","DOS","","1998","Proprietary","Bundled"
"DoubleCommander","AlexanderKoblov","","2007","BSD","1.0.4","2022-02-05","GPL-2.0-or-later","Nocost"
"DoubleCommander","AlexanderKoblov","","2007","GNU/Linux","1.0.4","2022-02-05","GPL-2.0-or-later","Nocost"
"DoubleCommander","AlexanderKoblov","","2007","macOS","1.0.4","2022-02-05","GPL-2.0-or-later","Nocost"
"DoubleCommander","AlexanderKoblov","","2007","Unix","1.0.4","2022-02-05","GPL-2.0-or-later","Nocost"
"DoubleCommander","AlexanderKoblov","","2007","Windows","1.0.4","2022-02-05","GPL-2.0-or-later","Nocost"
"emelFM2","tooar","","2003-09-06","BSD","0.9.1","2014-02-18","GPL-3.0-or-later","Nocost"
"emelFM2","tooar","","2003-09-06","GNU/Linux","0.9.1","2014-02-18","GPL-3.0-or-later","Nocost"
"emelFM2","tooar","","2003-09-06","Unix","0.9.1","2014-02-18","GPL-3.0-or-later","Nocost"
"Explorer++","DavidErcig","","2008-01-08","Windows","1.3.5","2013-02-03","GPL-3.0-only","Nocost"
