"Filesystem","Storesfileowner","POSIXfilepermissions","Creationtimestamps","Lastaccess/readtimestamps","Lastmetadatachangetimestamps","Lastarchivetimestamps","Accesscontrollists","Security/MAClabels","Extendedattributes/Alternatedatastreams/forks","Metadatachecksum/ECC"
"BeeGFS","Yes","Yes","No","Yes","Yes","No","Yes","?","Yes","Yes"
"CP/Mfilesystem","No","No","Yes","No","No","No","No","No","No","No"
"DECtape","No","No","Yes","No","No","No","No","No","No","No"
"ElektronikaBKtapeformat","No","No","No","No","No","No","No","No","No","Yes"
"Level-D","Yes","Yes","Yes","Yes(dateonly)","Yes","Yes","Yes(FILDAE)","No","No","No"
"RT-11","No","No","Yes(dateonly)","No","No","No","No","No","No","Yes"
"Version6Unixfilesystem(V6FS)","Yes","Yes","No","Yes","No","No","No","No","No","No"
"Version7Unixfilesystem(V7FS)","Yes","Yes","No","Yes","No","No","No","No","No","No"
"exFAT","No","No","Yes","Yes","No","No","No","No","No","No"
"FAT12/FAT16/FAT32","No","No","Yes","Yes","No","No","No","No","No","No"
"HPFS","Yes","No","Yes","Yes","No","No","No","?","Yes","No"
"NTFS","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No"
"ReFS","Yes","Yes","Yes","Yes","Yes","No","Yes","?","Yes","Yes"
"HFS","No","No","Yes","No","No","Yes","No","No","Yes","No"
"HFSPlus","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","No"
"FFS","Yes","Yes","No","Yes","Yes","No","No","No","No","No"
"UFS1","Yes","Yes","No","Yes","Yes","No","Yes","Yes","No","No"
"UFS2","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Partial"
"HAMMER","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","No","Yes"
"LFS","Yes","Yes","No","Yes","Yes","No","No","No","No","No"
"ext","Yes","Yes","No","No","No","No","No","No","No","No"
"Xiafs","Yes","Yes","No","Yes","Yes","No","No","No","No","No"
"ext2","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","No"
"ext3","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","No"
"ext4","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Partial"
"NOVA","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"Lustre","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","No"
"F2FS","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No"
"GPFS","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"GFS","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","No"
"NILFS","Yes","Yes","Yes","No","Yes","No","No","No","No","Yes"
"ReiserFS","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","No"
"Reiser4","Yes","Yes","No","Yes","Yes","No","No","No","No","No"
"OCFS","No","Yes","No","No","Yes","Yes","No","No","No","No"
"OCFS2","Yes","Yes","No","Yes","Yes","No","No","No","No","No"
"XFS","Yes","Yes","Partial","Yes","Yes","No","Yes","Yes","Yes","Yes"
"JFS","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No"
"QFS","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No"
"BFS","Yes","Yes","Yes","No","No","No","No","No","Yes","No"
"AdvFS","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","No"
"NSS","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","No"
"NWFS","Yes","?","Yes","Yes","Yes","Yes","Yes","?","Yes","No"
"ODS-5","Yes","Yes","Yes","?","?","Yes","Yes","?","Yes","No"
"APFS","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes"
"VxFS","Yes","Yes","Yes","Yes","Yes","No","Yes","?","Yes","No"
"UDF","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"Fossil","Yes","Yes","No","Yes","Yes","No","No","No","No","No"
"ZFS","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Btrfs","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"MinixV1","Yes","Yes","No","No","No","No","No","No","No","No"
"MinixV2","Yes","Yes","No","Yes","Yes","No","No","No","No","No"
"MinixV3","Yes","Yes","No","Yes","Yes","No","No","No","No","No"
"VMFS2","Yes","Yes","No","Yes","Yes","No","No","No","No","No"
"VMFS3","Yes","Yes","No","Yes","Yes","No","No","No","No","No"
"ISO9660:1988","No","No","Yes","No","No","No","No","No","No","No"
"RockRidge","Yes","Yes","No","Yes","Yes","No","No","No","No","No"
"Joliet(""CDFS"")","No","No","Yes","No","No","No","No","No","No","No"
"ISO9660:1999","No","No","Yes","No","No","No","No","No","No","No"
"HighSierra","No","No","Yes","No","No","No","No","No","No","No"
"SquashFS","Yes","Yes","No","No","Yes","No","No","Yes","Yes","No"
"BlueStore/Cephfs","Yes","Yes","Yes","Yes","?","No","Yes","Yes","Yes","Yes"
"Filesystem","Storesfileowner","POSIXfilepermissions","Creationtimestamps","Lastaccess/readtimestamps","Lastmetadatachangetimestamps","Lastarchivetimestamps","Accesscontrollists","Security/MAClabels","Extendedattributes/Alternatedatastreams/forks","Metadatachecksum/ECC"
