"","Guestaccount","Customertestimonials","Featuredproducts","Glossary,tooltipwords","Imageenlarge","Minicart","Multipleaddresses","Newestproducts","Newsletter","News","Next-previousproductlinks","Polls","Popularproducts","Printing-friendly"
"ApacheOFBiz","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Batavi","?","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No"
"BigCommerce","Yes","Add-on","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","3rdparty","Yes","No"
"DrupalCommerce","Yes","Yes","Yes","Add-on","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Add-on"
"KonaKart","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"nopCommerce","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No"
"Magento","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No"
"osCommerce","Add-on","Add-on","Add-on","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Add-on","Yes","Add-on"
"OpenCart","Yes","Yes","Yes","No","Yes","3rdparty","Yes","Yes","Yes","Add-on","3rdparty","No","Yes","Yes"
"pimcore","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"PrestaShop","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Shopify","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"SupaDupa","?","No","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","No","Yes","Yes"
"WooCommerce","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ZenCart","Add-on","Add-on","Yes","No","Yes","No","Add-on","Yes","Yes","No","Yes","No","Yes","Yes"
"","Guestaccount","Customertestimonials","Featuredproducts","Glossary,tooltipwords","Imageenlarge","Minicart","Multipleaddresses","Newestproducts","Newsletter","News","Next-previousproductlinks","Polls","Popularproducts","Printing-friendly"
