"","Productimport-export","Statistics","Stockcontrol","WYSIWYGeditor"
"ApacheOFBiz","Yes","Yes","Yes","Yes"
"Batavi","Yes","Yes","Yes","Yes"
"BigCommerce","Yes","Yes","Yes","Yes"
"DrupalCommerce","Yes","Yes","Yes","Yes"
"KonaKart","Yes","Yes","Yes","Yes"
"Magento","Yes","Yes","Yes","Yes"
"nopCommerce","Yes","Yes","Yes","Yes"
"osCommerce","add-on","Yes","Yes","add-on"
"pimcore","Yes","Yes","Yes","Yes"
"PrestaShop","Yes","Yes","Yes","Yes"
"Shopify","Yes","Yes","Yes","No"
"SupaDupa","Yes","Yes","Yes","No"
"WooCommerce","Yes","Yes","Yes","Yes"
"ZenCart","add-on","Yes","Yes","add-on"
"","Productimport-export","Statistics","Stockcontrol","WYSIWYGeditor"
