"GISsoftware","Freesoftware","Opensource","Windows","MacOSX","Linux","BSD","Unix","Web","Other"
"ArcGIS","Viewer(s)","No","Yes","Yes","No","No","Yes","Yes","GoogleEarthPlugin,KML,WMS"
"Autodesk","Viewer(s)","No","Yes","No","Yes","No","No","Yes","No"
"Cadcorp","Viewer(s)","No","Yes","No","No","No","No","Yes","No"
"CAPAWARE","Yes","Yes","Yes","No","No","No","No","No","No"
"Chameleon","Yes","Yes","Yes","Yes","Yes","Yes","Yes","AMP","No"
"Deegree","Yes","Yes","Java","Java","Java","Java","Java","Yes","No"
"ErdasImagine","Viewers&Plug-ins","No","Yes","No","No","No","No","Yes","No"
"GeoBase-Telogis","Trial","No","Yes","No","Yes","Yes","No","Yes","Traffic,WMS,ADAS,Routing"
"GeoNetwork","Yes","Yes","Java","Java","Java","Java","Java","Yes","No"
"GeoServer","Yes","Yes","Java","Java","Java","Java","Java","Java","No"
"GeoTools","Yes","Yes","Java","Java","Java","Java","Java","No","No"
"GRASS","Yes","Yes","Yes","Yes","Yes","Yes","Yes","viapyWPS","No"
"gvSIG","Yes","Yes","Java","Java","Java","Java","Java","No","No"
"IDRISI","No","No","Yes","No","No","No","No","No","No"
"ILWIS","Yes","Yes","Yes","No","No","No","No","No","No"
"GeoMedia","Viewer(s)","No","Yes","No","No","No","CLIX","Yes","KML"
"JUMPGIS","Yes","Yes","Java","Java","Java","Java","Java","No","No"
"Kosmo","Yes","Yes","Java","Java","Java","Java","Java","No","No"
"LandSerf","No","No","Java","Java","Java","Java","Java","No","No"
"MapDotNet","No","No","Yes","No","No","No","No","Yes"
"ManifoldSystem","No","No","Yes","No","No","No","No","Yes","No"
"MicrosoftMapPoint","Discontinued","No","Yes","No","No","No","No","Yes","No"
"PitneyBowesMapInfoPro","Viewer(s)","No","Yes","No","No","No","Yes","Yes","No"
"MapServer","Yes","Yes","Yes","Yes","Yes","Yes","Yes","AMP","No"
"MaptitudeCalipersoftware","No","No","Yes","No","No","No","No","Yes","No"
"MapWindowGIS","Yes","Yes","Yes","No","No","No","No","No","No"
"OracleSpatial","No","No","Yes","Yes","Yes","No","Yes","Yes","No"
"PostGIS","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"QGIS","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","GoogleEarthPlugin,KML,WMS"
"RegioGraph","No","No","Yes","No","No","No","No","No","No"
"RemoteView","No","No","Yes","No","No","No","No","No","No"
"SAGAGIS","Yes","Yes","Yes","Yes","Yes","Yes","No","No","KLM"
"SAPHANA","FreeTrial","No","No","No","Yes","No","No","Yes","No"
"Smallworld","No","Yes","Yes","No","Yes","No","Yes","Read-only","OLE,XML,Multiuser,UtilityDataModel,DataTranslatorexport/import"
"SPRING","Yes","Yes","Yes","No","Yes","No","Solaris","No","No"
"TerraLibTerraView","Yes","Yes","Yes","No","Yes","No","No","No","No"
"TNTmips","Viewer(s)","No","Yes","Yes","Yes","No","Yes","No","No"
"TransModelerCaliperSoftware","No","No","Yes","No","No","No","No","No","No"
"uDIG","Yes","Yes","Java","Java","Java","Java","Java","No","No"
"GISsoftware","Freesoftware","Opensource","Windows","MacOSX","Linux","BSD","Unix","Web","Other"
