"","Display","Resolution","Colors","Controller","Gamemedia","OperatingSystem"
"GP2X","3.5""BacklitTFTLCD","320×240","262,144colors(F100);16.77millioncolors(F200)","Eight-DirectionalDigitalStick","SecureDigitalMemoryCards",""
"GPDWin","5.5""backlitH-IPStouchscreen","1280×720","","2xanalogsticks,D-pad,4facebuttons,4shoulderbuttons,67-buttonQWERTYkeyboard,touchscreen","Various,incl.butnotlimitedto:Digitaldownload,videogameROM.ISOimage,MicroSDcard","Windows10"
"GPDWin2","6""backlitH-IPStouchscreen(w/wirelessMiracastandIntelWiDisupport)","1280×720(w/4Kvideosupport,4096x2304max)","","2xanalogsticks,D-pad,4facebuttons,6shoulderbuttons,80-buttonQWERTYkeyboard,touchscreen","Various,incl.butnotlimitedto:Digitaldownload,videogameROM.ISOimage,MicroSDcard","Windows10"
"Pandora","4.3""BacklitLCDtouchscreen","800×480","16,777,216colours","Twoanaloguenubs,4-WayD-pad,2shoulderbuttons,46keyqwertykeyboard,touchscreen","SD,SDHCandSDXC",""
"GameBoyMicro","2in.LCD","240×160","32,768colors","D-pad","Proprietarysolid-statecartridge",""
"Gizmondo","2.8in.LCD","240×320","65,536colors","Four-directionaldigitalpad","SDcardordownloadable","WindowsCE"
"PlayStationPortable","4.3in.LCD","480×272","16,777,216colours","Four-directionaldigitalpad,analogthumbstick","UMDormemorystick",""
"GCWZero","3.5""BacklitTFTLCD","320×240","262,144colors","8-directionaldigitalpad,analogjoystick,L/Rshoulderbuttons,ABXYactionbuttons,start&selectbuttons,powerslider","microSDHCandmicroSDXC",""
"NintendoDS","Two3in.LCDs","256×192(×2)","262,144colors","D-pad,stylus-driventouchscreen","Proprietarymatrixmemorycards",""
"N-GageQD","2.1in.LCD","176×208","4,096colors","Four-directionaldigitalpad","MMCordownloadable",""
"TimetopGameking1&2","2.1in.ReflectiveLCD(BacklitinGameking2).","48×32","4shadesofgray","Four-directionaldigitalpad","Proprietarysolid-statecartridge",""
"GP32","3.5in.TFT","320×240","65,536colors","Four-directionaldigitalstick","RewritableSmartMedia",""
"DingooA320","2.8in.LCD","240×320","65,536colors","Four-directionaldigitalpad,shoulderbuttons,actionbuttons,start&selectbuttons","Built-in,miniSDcardordownloadable","μC/uOS-IILinux"
"TapwaveZodiac","3.8in.LCD","480×320","65,536colors","8-directionalanalogthumbstick,stylus-driventouchscreen","SDcardordownloadable",""
"N-Gage","2.1in.LCD","176×208","4,096colors","Four-directionaldigitalpad","MMCN-GageArena","SymbianOS6.1(Series60)"
"GameBoyAdvanceSP","2.9in.LCD","240×160","32,768colors","D-Pad","Proprietarysolid-statecartridge",""
"GameBoyAdvance","2.9in.LCD","240×160","32,768colors","D-Pad","Proprietarysolid-statecartridge",""
"SwanCrystal","2.8in.TFTLCD","224×144","4,096colors,241simultaneous","Four-directionaldigitalpad","Proprietarysolid-statecartridge",""
"WonderSwanColor","2.8in.FSTNreflectiveLCD","224×144","4,096colors,241simultaneous","Four-directionaldigitalpad","Proprietarysolid-statecartridge",""
"WonderSwan","2.49in.FSTNReflectionLCD","224×144","","Four-directionaldigitalpad","Proprietarysolid-statecartridge",""
"GameBoyColor","TFTLCD","160×144","32,768colors;10,32or56simultaneous","Four-directionaldigitalpad","Proprietarysolid-statecartridge",""
"NeoGeoPocketColor","TFTLCD","160×152","4,096colors,146simultaneous","8-directionaldigitalthumbstick","Proprietarysolid-statecartridge",""
"NeoGeoPocket","TFTLCD","160×152","16palettesperplane?","8-directionaldigitalthumbstick","Proprietarysolid-statecartridge",""
"game.com","3.9in.LCD","200×160","4","Four-directionaldigitalpad,touchscreen","Proprietarysolid-statecartridge",""
"GameBoyLight","BacklitReflectiveLCD","160×144","4","D-Pad","Proprietarysolid-statecartridge",""
"GameBoyPocket","ReflectiveLCD","160×144","4","D-Pad","Proprietarysolid-statecartridge",""
"SegaNomad","3in.LCD","320×224","512available,64simultaneous","Four-directionaldigitalpad","Proprietarysolid-statecartridge(compatiblewithSegaGenesis)",""
"MegaDuck/CougarBoy","2.7""(48(h)x51(w)mm)STNdotmatriix","160×144","4monochromegreenshades","Four-directionaldigitalpad","Proprietarysolid-statecartridge",""
"WataraSupervision","3.4"",61mmx61mm(2.37""x2.37"")LCD","160×160pixeldisplay","4monochromegreenshades","Four-directionaldigitalpad","Proprietarysolid-statecartridge",""
"AtariLynxII","3.5""LCD","160×102","4096(12-bit),16perscanline","Four-directionaldigitalpad","Proprietarysolid-statecartridge",""
"GameGear","3.2in.LCD","160×144","4,096available,32simultaneous","Four-directionaldigitalpad","Proprietarysolid-statecartridge",""
"TurboExpress","2.6in.TFTLCD","256×256","512","Four-directionaldigitalpad","Proprietarysolid-statecartridge(compatiblewithTurboGrafx-16)",""
"GameBoy","ReflectiveLCD","160×144","4","D-Pad","Proprietarysolid-statecartridge",""
"AtariLynx","3.5""LCD(diagonal);3.25""x1.88""","160×102","4096(12-bit),16perscanline","Four-directionaldigitalpad","Proprietarysolid-statecartridge",""
"GamePocketComputer","LCD","75×64","2","Four-directionalcontrolpad","Proprietarysolid-statecartridge",""
"Microvision","LCD","16×16","4","12buttonkeypad,onepaddle","Proprietarysolid-statecartridge",""
"Mi2console","3.5in.LCD","240×320","""fullcolor""","Four-directionaldigitalpad,shoulderbuttons,actionbuttons,menubuttons,touch-screen,cameraandmotionsense","builtin,SDcardordownloadable",""
"XperiaPLAY","4""","854×480","16Mcolors","TouchscreenAccelerometerTouchpad20×buttons","GooglePlay","Android2.3.7(Unofficial5.1)"
