"Brand","Model","Introduced","Discontinued","Speeds(external)","Gearwidth(withexternal)","EbikeMaxPower","MaxTorque","DirectDrive","Weight(excludingauxiliarycomponents)","Intendedpurpose"
"Brompton","BSR(forkfromSturmeyArcher)","","","3","178%","","","","?g","City"
"Brompton","BWR","2009","","3(x2)","246%(302%)","","","","940g","City"
"Enviolo","City","2019","","continuous","310%","250w","50Nm","n/a","?","City"
"Enviolo","Trekking","2019","","continuous","380%","250w","75Nm","n/a","?","City/Trekking"
"Enviolo","Sportive","2019","","continuous","380%","500w","120Nm","n/a","?","City/Trekking/Sport"
"Enviolo","Cargo","2019","","continuous","380%","500w","80Nm","n/a","?","City/Cargo"
"Enviolo","Commercial","2019","","continuous","310%","250w","50Nm","n/a","?","City"
"Fallbrook(Enviolo)","NuVinciN380","2015","2018","continuous","380%","","","n/a","2450g","City"
"Fallbrook(Enviolo)","NuVinciN360","2010","2014","continuous","360%","","","n/a","2450g","City"
"Fallbrook(Enviolo)","NuvinciN330","2015","2018","continuous","330%","","","n/a","2450g","City"
"Fallbrook(Enviolo)","NuVinciN171","2007","2010","continuous","350%","","","n/a","3850–3950g","City"
"Kindernay","XIV","2016","","14","543%","","150Nm","","1400gw/oreq'dhubcage","MTBandenduro"
"RohloffAG","Speedhub500/14","1998","","14","526%","","130Nm","11thgear","1700-1825g","Sport/Touring/Cargo/Tandem"
"Shimano","AlfineSG-S7001-11(SG-S7051-11)","2018","","11","409%","","","n/a","1665g","City,Sport,Touring"
"Shimano","AlfineSG-S7000-8(SG-S7001-8)","2014(2017)","","8","307%","","","5thgear","1680g","City"
"Shimano","AlfineSG-700","2010","2017","11","409%","","","n/a","1600-1744g","City,Sport"
"Shimano","AlfineSG-500","2006","2016(?)","8","307%","","","","1600g","City"
"Shimano","NexusInter-8","","","8","307%","","","5thgear","1550-2040g","City"
"Shimano","NexusInter-7","1995","","7","244%","","","","1465-1860g","City"
"Shimano","NexusInter-5E","2019","","5","263%","","60Nm","1stgear","1650g","City"
"Shimano","Nexus4Speed","","","4","184%","","","1stgear","","City"
"Shimano","NexusInter-3","","","3","187%","","","2ndgear","1220g","City"
"SRAM(Sachs)","SpectroE12(Elan)","1995","1999","12","339%","","","","3500-4000g","City"
"SRAM","i-Motion9","2005","2012","9","340%","","","","2000g(w/obrake)-2400g(withcoasterbrake)","City"
"SRAM","G8","2012","2015","8","260%","","","","2088-2180g","City"
"SRAM","G9","2014","2015","9","292%","","","","2088g","City,Sport"
"SRAM(Sachs)","SpectroS7(Super7)","1993","2010","7","303%(Super7:284%)","","","4thgear","1645-1826g","City"
"SRAM(Sachs)","SpectroP5(Pentasport),P5Cargo","1987","2010?","5","224-251%","","","3rdgear","","City"
"SRAM(Sachs)","SpectroT3/i-Motion3/TorpedoDreigang","1970s","2017","3","187%","","","2ndgear","","City"
"SRAM(Sachs)","Neos/Spectro3x7","1994","2000","3(x7)","186%(434%)","","","","","City"
"SRAM(Sachs)","TorpedoDuomatic/Automatic","","2017","2","136%","","","","","City"
"SturmeyArcher","XRF-8(W),XRK-8(W),XRD-8(W)","2014","","8","325%","","","1stGear","1770-2170g","City/Folding"
"SturmeyArcher","XRF-8,X-R[F/D/K]8","2007","2013","8","305%","","","1stGear","1480-1600g","City"
"SturmeyArcher","RX-RF5,RX-RD5,RX-RK5,RX-RC5,RXL-RD5,TS-RF5","2017","","5","243%","","","3rdGear","1905-2412g","City"
"SturmeyArcher","S5,AT5,SAB,Sprinter-5,[S/X/XL]-R[C/D/F/K]5","1966","","5","225-256%","","","","1200-1760g","City"
"SturmeyArcher","X-RF4,X-RK4,X-RD4","2018","","4","210%","","","1stGear","1160-1630g","City/Folding"
"SturmeyArcher","F[C/M/G/W]","1935","1970","4","134-160%","","","","?g","City"
"SturmeyArcher","A[BC/T3],AW[C],S[C3/SAB],[S/X/XL]-R[F/S/F]3,SEARS503.21","1933","","3","178%","","","2ndGear","1000-1380g","City"
"SturmeyArcher","[S/B]2[C]Duomatic","2010","","2","138%","","","","930-1400g","City"
