"Product","Multi-columnmode","Styles(bold/italic/etc.)","PageTurnEffects","Themes","Day/Nightmode","Enable/Disablesleepmode","BrightnessControl","Indentparagraph","Enable/DisableCSS","Enable/Disablehyphenation","Customizemargins","Customizetextalignment","Customizefont","Customizespacing:line/paragraph"
"ApabiReader","Yes","Yes","Configurable","Yes","Yes","Yes","Verticalswipe","Yes","Yes","Yes","No","Yes","Yes","Yes"
"Blio","Yes","Yes","Yes","No","Yes","No","Yes","No","No","No","No","Justificationonly","Yes","No"
"BluefireReader","No","Yes","Yes","Yes","Yes","No","Verticalswipe","No","Yes","No","Pre-setchoicesonly","Justificationonly","Yes","Lineonly"
"BookFusion","Yes","Yes","Yes","Yes","In-bookonly","No","Yes","No","No","No","Yes","No","Yes","Lineonly"
"DLReader","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","Pre-setchoicesonly","Justificationonly","Yes","No"
"eBookMobi","Yes","Yes","No","Yes","No","No","Yes","No","No","No","No","No","Yes","No"
"EbookReader","No","Yes","Yes","No","Yes","(Disabledbydefault)","Yes","No","No","No","No","No","Yes","No"
"i2Reader","Yes","Buggy","Yes","Yes","Usingstyles","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes"
"AppleBooks","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","No","Yes","Yes","No"
"Kindle","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","Pre-setchoicesonly","Yes","Yes","Line;pre-setchoicesonly"
"KoboReadingApp","No","Yes","Yes","No","Yes","No","Verticalswipe","No","Yes","No","No","Yes","Yes","No"
"KyBook","Yes","Yes","Yes","Yes","Usingthemes","No","Yes","Yes","Configurable","Yes","Yes","Yes","Yes","Yes"
"KyBook2","Yes","Yes","Yes","Usingthemes","Yes","Yes","Yes","Configurable","Yes","Yes","Yes","Yes","Yes","Yes"
"MapleRead","Configurable","Yes","Configurable","Configurable","Configurable","Yes","Verticalswipe","Configurable","Yes","Yes","Yes","Yes","Yes","Yes"
"Marvin","Configurable","Yes","Configurable","Yes","Yes","Yes","Verticalswipe","Yes","Configurable","Yes","Yes","Yes","Yes","Yes"
"MegaReader","Configurable","Buggy","Configurable","Yes","Usingthemes","Yes","Verticalswipe","No","No","No","Yes","Yes","Yes","Lineonly"
"PocketBookreader","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","Yes","No","Yes","No"
"ShuBook2","No","Buggy","Configurable","Yes","Yes","Yes","Verticalswipe","Configurable","No","Yes","None,small,large","Yes","Yes","Yes"
"SideBooks","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","No"
"Stanza","No","Yes","Configurable","Yes","Yes","Yes","Verticalswipe","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"uBooksXL","No","Buggy","Yes","No","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
"iBouquiniste","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes"
"Product","Multi-columnmode","Styles(bold/italic/etc.)","PageTurnEffects","Themes","Day/Nightmode","Enable/Disablesleepmode","BrightnessControl","Indentparagraph","Enable/DisableCSS","Enable/Disablehyphenation","Customizemargins","Customizetextalignment","Customizefont","Customizespacing:line/paragraph"
