"IDE","License","WritteninJavaonly","Windows","Linux","macOS","Otherplatforms","GUIbuilder"
"BlueJ","GPL2+GNUlinkingexception","Yes","Yes","Yes","Yes","Solaris","No"
"DrJava","Permissive","Yes","Yes","Yes","Yes","Solaris","No"
"EclipseJDT","EPL","No","Yes","Yes","Yes","FreeBSD,JVM,Solaris","Yes"
"Geany","GPL","No","Yes","Yes","Yes","FreeBSD,AIX,OpenBSD,Solaris,otherUnix","No"
"Greenfoot","GPL","Yes","Yes","Yes","Yes","Solaris","No"
"IntelliJIDEA","CommunityEdition:ApacheLicensev2.0,UltimateEdition:proprietary","Yes","Yes","Yes","Yes","FreeBSD,OpenBSD,Solaris","Yes"
"JBuilder","Proprietary","Yes","Yes","Yes","Yes","Solaris","Yes"
"JCreator","Proprietary","No","Yes","No","No","","No"
"JDeveloper","Proprietary(freeware)","Yes","Yes","Yes","Yes","genericJVM","Yes"
"jGRASP","Proprietary(freeware)","Yes","Yes","Yes","Yes","","No"
"MyEclipse","Proprietary","Yes","Yes","Yes","Yes","FreeBSD,JVM,Solaris","Yes"
"NetBeans","ApacheLicense","Yes","Yes","Yes","Yes","OpenBSD,Solaris","Yes"
"RationalApplicationDeveloper","Proprietary","Yes","Yes","Yes","No","AIX,Solaris","Yes"
"Servoy","Proprietary","Yes","Yes","Yes","Yes","Solaris","Yes"
"SlickEdit","Proprietary","No","Yes","Yes","Yes","Solaris,SolarisSPARC,AIX,HP-UX","No"
"Understand","Proprietary","No","Yes","Yes","Yes","Solaris","Yes"
"Xcode(Apple)","Proprietary","No","No","No","Yes","","Yes"
