"IDE","Developer","Lateststablerelease","Windows","Linux","macOS","Otherplatforms","Mobiles","Debugger","GUIbuilder","License","Autocomplete"
"Delphi","EmbarcaderoTechnologies","Delphi10.4.2(Sydney)/February242021","Yes","No","No","cross-compiletomacOS,Android,iOSLinux","Yes","Yes","Yes","Proprietary","Yes"
"FreePascalIDE","Volunteers","3.2.0/June19,2020","Yes","Yes","Yes","AmigaOS,Android,FreeBSD,GameBoyAdvance,Haiku,AIX,iOS,MorphOS,DOS,NetBSD,NintendoDS,NintendoWii,OpenBSD,OS/2,Solaris,WindowsCE,JavaVirtualMachine,LLVM(experimental),JavaScripttranspiler,Embeddedsystems.","Yes","Yes","No","GPL;LGPLwithstaticlinkingexception","No"
"KDevelop","KDevelopTeam","5.5.1(May5,2020;22monthsago(2020-05-05))[±](only3.xsupportsPascal)","Yes","Yes","Yes","FreeBSD,OpenBSD,NetBSD,Solaris,otherUnix","No","No","No","GPL",""
"Lazarus","Volunteers","2.0.10/July11,2020","Yes","Yes","Yes","SeeFreePascal","Yes","Yes","Yes","GPL;LGPLwithstaticlinkingexception","Yes"
"MIDletPascal","CodeResearchLaboratories","3.5/February2,2013","Yes","No","No","cross-compilefromWindowstoJavaME","Yes","No","No","GPL",""
"Morfik","MorfikTechnologyPtyLtd.","2.0.5.27","Yes","Yes","Yes","compilestoHTML+CSS+XML+JavaScript(webapps)","Yes","Yes","Yes","Proprietary",""
"MSEide","MartinSchreiber","4.6/2017-11-24","Yes","Yes","No","FreeBSD","Yes","Yes","Yes","GPL;LGPLwithstaticlinkingexceptionforthelibraryMSEgui",""
"Understand","SciTools","4.0/April2015","Yes","Yes","Yes","Solaris","Yes","No","Yes","Proprietary",""
"VisualStudioviaOxygene","RemObjectsSoftware","10.0/August2018","YesandadditionalWaterIDE","No","YesviaFireIDE","JVM,.NET,Mono,Cocoa,CocoaTouch,Android,iOS,WebAssembly,crosscompiletoLinux","Yes","Yes","Yes","Proprietary;freecompiler","Yes"
"PocketStudio","winsoft","3.0","No","No","No","PalmOS","Yes","Yes","Yes","Proprietary",""
"Dev-Pascal","BloodshedSoftware","1.9.2(usingFPC1.9.2from2005)","Yes","No","No","","No","Yes","No","GPL",""
"PascalABC.NET","Volunteers","3.4/Jule27,2018","Yes","Yes","Yes","compilestoCLR","No","Yes","Yes","LGPL","Yes"
