"Browserengine","MSHTML","Gecko","WebKit","Presto","Blink"
"CorrespondingJavaScriptengine","JScript/Chakra","SpiderMonkey","JavaScriptCore","LinearB/Futhark/Carakan","V8"
"ECMAScriptEdition3","Yes","0.6","Yes","1.0","Yes"
"ECMAScriptEdition5","5.0","2.0","Partial","Yes","Yes"
"ECMAScriptEdition6","?","?","?","?","?"
"JavaScript1.5extensions","No","0.6","Yes","1.0","Yes"
"JavaScript1.6extensions(excludingE4X)","No","1.8","Partial","Partial","Partial"
"JavaScript1.7extensions","No","1.8.1","No","Partial","No"
"JavaScript1.8extensions","No","1.9","Partial","No","Partial"
"JavaScript1.8.1extensions","No","1.9.1","No","No","No"
"JScript.NETextensions","No","No","No","No","No"
"ActionScriptextensions","No","No","No","No","No"
"E4X","No","Dropped","No","No","No"
