"","MSHTML","Gecko","WebKit","Presto"
"Errorstate","Errorstate","Errorstate","Errorstate","Errorstate"
"MediaError","5.0","1.9.1","?","2.5"
"Networkstate","Networkstate","Networkstate","Networkstate","Networkstate"
"src","5.0","1.9.1","?","2.5"
"currentSrc","5.0","1.9.1","?","2.5"
"networkState","5.0","1.9.1","?","2.5"
"preload","5.0","2.0","?","No"
"buffered","5.0","No","2.0","?"
"load()","5.0","1.9.1","?","2.5"
"canPlayType()","1.9.1","2.5","5.0","533"
"Readystate","Readystate","Readystate","Readystate","Readystate"
"readyState","5.0","1.9.1","?","2.5"
"seeking","5.0","1.9.1","?","2.5"
"Playbackstate","Playbackstate","Playbackstate","Playbackstate","Playbackstate"
"currentTime","5.0","1.9.1","?","2.5"
"startTime","5.0","No","?","2.5"
"duration","5.0","1.9.1","?","2.5"
"paused","1.9.1","5.0","?","2.5"
"defaultPlaybackRate","5.0","20.0","?","No"
"playbackRate","20.0","No","5.0","?"
"played","5.0","No","15.0","?"
"seekable","5.0","No","8.0","?"
"ended","5.0","1.9.1","?","2.5"
"autoplay","1.9.1","2.5","5.0","?"
"loop","5.0","2.5","11.0","?"
"play()","5.0","2.5","1.9.1","?"
"pause()","1.9.1","5.0","2.5","?"
"Controls","Controls","Controls","Controls","Controls"
"controls","5.0","1.9.1","?","2.5"
"volume","5.0","1.9.1","?","2.5"
"muted","5.0","1.9.1","?","2.5"
