"Element","Function","Supportedfirstby","DeprecatedinHTMLversion","Alternativesolution","MSHTML","Gecko","WebKit","KHTML","Presto"
"applet","Insertanapplet","HotJava","4","embed,object","<3.1","1.7","Yes","Yes","1.0"
"basefont","Setsfontstyles","InternetExplorer","4","CSS","<3.1","No","85","Yes","Yes"
"center","Centerscontents","Netscape","4","CSS","3.1","Yes","Yes","Yes","Yes"
"dir","Directorylist","?","4","ul,ol","3.1","Yes","Yes","Yes","Yes"
"font","Appliesfontstyles","Netscape","4","CSS","3.1","Yes","Yes","Yes","Yes"
"isindex","Addsasearchfield","?","4","inputtype=""search""","<3.1","1.7","312","Yes","Partial"
"listing","Displayspreformattedtext","IETF","2","pre,samp,code,CSS","3.1","1.7","125","3.3","Yes"
"menu","Menulist","?","4","ul,ol","3.1","Yes","Yes","Yes","Yes"
"plaintext","DesignatesthatallHTMLbeignored,andtodisplaythepageasis","?","3.2","Thetext/plainMIMEtype","Yes","Yes","Yes","3.1","Yes"
"s","Strike-through","?","4","del,CSS","<3.1","Yes","Yes","1.7","1.0"
"strike","Strike-through","?","4","del,CSS","<3.1","1.7","1.0","Yes","Yes"
"u","Underline","?","4","CSS","<3.1","1.7","1.0","Yes","Yes"
"xmp","Similartopreandplaintext,butignoresallHTMLwithinanddisplaysasis","?","2","pre,samp,code","<3.1","1.7","1.0","125","3.3"
