"CommonName","Family","PrimaryUse","RadioTech","Downstream(Mbit/s)","Upstream(Mbit/s)","Notes"
"HSPA+","3GPP","MobileInternet","CDMA/TDMA/FDDMIMO","214284672","5.811.522168","HSPA+iswidelydeployed.Revision11ofthe3GPPstatesthatHSPA+isexpectedtohaveathroughputcapacityof672Mbit/s."
"LTE","3GPP","MobileInternet","OFDMA/TDMA/MIMO/SC-FDMA/forLTE-FDD/forLTE-TDD","100Cat3150Cat4300Cat525065Cat171658Cat19(in20MHzFDD)","50Cat3/475Cat52119Cat1713563Cat19(in20MHzFDD)","LTE-AdvancedProoffersratesinexcessof3Gbit/stomobileusers."
"WiMaxrel1","802.16","WirelessMAN","MIMO-SOFDMA","37(10MHzTDD)","17(10MHzTDD)","With2x2MIMO."
"WiMaxrel1.5","802.16-2009","WirelessMAN","MIMO-SOFDMA","83(20MHzTDD)141(2x20MHzFDD)","46(20MHzTDD)138(2x20MHzFDD)","With2x2MIMO.Enhancedwith20MHzchannelsin802.16-2009"
"WiMAXrel2.0","802.16m","WirelessMAN","MIMO-SOFDMA","2x2MIMO110(20MHzTDD)183(2x20MHzFDD)4x4MIMO219(20MHzTDD)365(2x20MHzFDD)","2x2MIMO70(20MHzTDD)188(2x20MHzFDD)4x4MIMO140(20MHzTDD)376(2x20MHzFDD)","Also,lowmobilityuserscanaggregatemultiplechannelstogetadownloadthroughputofupto1Gbit/s"
"Flash-OFDM","Flash-OFDM","MobileInternetmobilityupto200mph(350km/h)","Flash-OFDM","5.310.615.9","1.83.65.4","Mobilerange30km(18miles)Extendedrange55km(34miles)"
"HIPERMAN","HIPERMAN","MobileInternet","OFDM","56.9","56.9",""
"Wi-Fi","802.11(11ax)","WirelessLAN","OFDM/OFDMA/CSMA/MIMO/MU-MIMO/HalfDuplex","9600Wi-Fi6","9600Wi-Fi6","Antenna,RFfrontendenhancementsandminorprotocoltimertweakshavehelpeddeploylongrangeP2Pnetworkscompromisingonradialcoverage,throughputand/orspectraefficiency(310km&382km)"
"iBurst","802.20","MobileInternet","HC-SDMA/TDD/MIMO","95","36","CellRadius:3–12kmSpeed:250km/hSpectralEfficiency:13bits/s/Hz/cellSpectrumReuseFactor:""1"""
"EDGEEvolution","GSM","MobileInternet","TDMA/FDD","1.6","0.5","3GPPRelease7"
"UMTSW-CDMAHSPA(HSDPA+HSUPA)","3GPP","MobileInternet","CDMA/FDDCDMA/FDD/MIMO","0.38414.4","0.3845.76","HSDPAiswidelydeployed.Typicaldownlinkratestoday2Mbit/s,~200kbit/suplink;HSPA+downlinkupto56Mbit/s."
"UMTS-TDD","3GPP","MobileInternet","CDMA/TDD","16","16","ReportedspeedsaccordingtoIPWirelessusing16QAMmodulationsimilartoHSDPA+HSUPA"
"EV-DORel.0EV-DORev.AEV-DORev.B","3GPP2","MobileInternet","CDMA/FDD","2.453.14.9xN","0.151.81.8xN","RevBnote:Nisthenumberof1.25MHzcarriersused.EV-DOisnotdesignedforvoice,andrequiresafallbackto1xRTTwhenavoicecallisplacedorreceived."
