"Model","AmazonVideo","Crackle","Flixster","GooglePlay(GoogleTV)","Hulu","iTunes(AppleTV)","MoviesAnywhere","Netflix","SlingTV","Vevo","Vimeo","VUDU","WWENetwork","YouTube","UltraFlix"
"AmazonFireTV","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"AppleTV","Yes(3rdgenerationandlater)","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","4thgenerationandlater","Yes","withsoftwareversion7.2andlater","Yes(HD)"
"AsusCube","Yes","No","No","Yes","Yes","No","?","Yes","No","No","No","No","No","Yes","No"
"GoogleChromecast/NexusPlayer","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"HisensePulse","No","Yes","Yes","Yes","No","No","?","Yes","No","No","No","Yes","No","Yes","Yes"
"LittleSmartBox","No","Yes","Yes","Yes","Yes","No","?","Yes","No","Yes","Yes","Yes","No","Yes","No"
"MicrosoftXbox","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"NanoTechNuvola","No","No","No","Yes","Yes","No","?","Yes","No","No","No","No","No","Yes","Yes"
"Nintendo","Yes","No","No","No","Yes","No","?","No","No","No","No","No","No","Yes","No"
"Roku","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes(asofApr.30,2021,YouTubeTVhasbeenremovedduetoadisputewithGoogle)","Yes"
"SHIELDAndroidTV","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"SonyPlayStation","Yes","Yes","No","No","Yes","Yes","?","Yes","No","No","No","Yes","Yes","Yes","No"
"VizioCo-Star","Yes","Yes","No","No","LTonly","No","?","Yes","No","No","No","Yes","No","Yes","Yes"
"WesternDigitalWDTV","No","No","Yes","No","Yes","No","?","LiveandPlayversions","No","No","Yes","Yes","No","Yes","No"
