"Name","IPSLAReports","LogicalGrouping","Trending","TrendPrediction","AutoDiscovery","Agentless","SNMP","Syslog","Plugins","Triggers/Alerts","MIBCompiler","WebApp","DistributedMonitoring","Inventory","Platform","DataStorageMethod","License","Maps","AccessControl","IPv6","Latestreleasedate","Latestreleaseversion","IntegrateswithBigPanda"
"Cacti","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","FullControl","Yes","Yes","PHP","RRDtool,MySQL,MariaDB","GNUGPL","Viaplugin","Yes","Yes","2021-10-27","1.2.19","Yes"
"Checkmk","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","FullControl","Yes","Yes","C,Python","RRDtool","GNUGPL","Yes","Yes","Yes","2020-08-19","1.6.0p16","Yes"
"collectd","No","No","No","No","Pushmodel;multicastpossible","Yes","Yes","Yes","Yes","Yes","No","Viewing","Yes","No","C","RRDtool","GNUGPL","No","ApacheACL","Yes","2019-11-13","5.10","Yes"
"Cruz","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","FullControl","Yes","Yes","Java,C++,.NET","MySQL,Oracle","Commercial","Yes","Yes","Yes","2019-02","8.0.0","Yes"
"FreeNATS","Yes","Yes","No","No","Yes","No","No","Viaplugin","Yes","InPHPCode","No","FullControl","No","No","PHP","MySQL","GNUGPL","No","Yes","Unknown","2011-07-09","1.13.3b","Yes"
"Ganglia","No","Yes","Yes","No","Viagmondcheckin","No","Viaplugin","No","Yes","No","No","Viewing","Yes","Unknown","C,PHP","RRDtool","BSD","Yes","No","Unknown","2016-06-14","3.7.2","Yes"
"Icinga","Viaplugin","Yes","Yes","No","Viaplugin","Yes","Viaplugin","Viaplugin","Yes","Yes","No","FullControl","Yes","Viaplugin","C","MySQL,PostgreSQL,OracleDatabase","GNUGPL","Unknown","Yes","Yes","2021-11-12","2.13.2","Yes"
"InterMapper","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Viewing","Yes","Yes","Windows,Linux&MacOS","PostgreSQL","Limitedfree,Commercial","Yes","Yes","Yes","2017-07","6.1.5","Yes"
"isyVmon","Yes","Yes","Yes","No","Viaplugin","No","Yes","Yes","Yes","Yes","No","FullControl","Yes","Viaplugin","PHP","RRDtool,MySQL","Limitedfree,Commercial","Viaplugin","Yes","Yes","Unknown","Unknown","Yes"
"Munin","No","Yes","Yes","Yes","No","No","Yes","No","Yes","Partial","No","Viewing","Vianodes","Unknown","Perl","RRDtool","GNUGPL","Unknown","Unknown","Yes","2021-02-22","2.0.67","Yes"
"Nagios","Viaplugin","Yes","Yes","No","Viaplugin","Yes","Viaplugin","Viaplugin","Yes","Yes","No","Yes","Yes","Viaplugin","C","Flatfile,SQL(viandoutils),MySql(ViaNconf)","GNUGPL","Yes","Yes","Yes","2020-04-28","4.4.6","Yes"
"NeDi","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Perl,PHP","Pg,MySQL,RRDTool,MariaDB","GPL3,Commercial","Yes","Yes","Yes","2016-04","1.6","Yes"
"Netdisco","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Perl","PostgreSQL","BSD","Yes","Yes","Yes","2021-02","2.047005","Yes"
"NetXMS","Unknown","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","C,Java","PostgreSQL,PostgreSQLwithTimescaleDB,MariaDB,MySQL,MSSQL,Oracle,SQLite","GNUGPL","Yes","Yes","Yes","2021-02-17","3.8.120","Yes"
"NeuralStar","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","FullControl","Yes","Yes","Unknown","MSSQL","Commercial","Yes","Yes","Yes","Unknown","Unknown","Yes"
"Octopussy","No","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","No","Fullcontrol","No","Yes","Perl,ASP","MySQL","GNUGPL","No","Yes","No","2017-06-03","1.0.16","Yes"
"op5Monitor","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Viaplugin","C,PHP","Flatfile,SQL","Limitedfree,Commercial","Yes","Yes","Yes","Monthly","7.3.0","Yes"
"OpenKBM","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Unknown","ProprietarywithJDBCsupport","Commercial","Yes","Yes","Yes","Unknown","Unknown","Yes"
