"Name","Developer(s)","License","Platforms"
"AllMyNotesOrganizer","VladonaiSoftware","Proprietary,Freemium","MicrosoftWindows"
"BasKetNotePads","KDE","GPL-2.0-or-later","Unix-like(KDE)"
"CintaNotes","CintaSoftware","Proprietary,Freemium","MicrosoftWindows"
"ConnectedText","EduardoMauro","Proprietary,Commercial","MicrosoftWindows"
"DayOne","BloomBuilt","Proprietary,Commercial","macOS,iOS,Android"
"DropboxPaper","Dropbox","Proprietary,Freemium","Android,IOS,web-based"
"Evernote","EvernoteCorporation","Proprietary,Freemiumforpersonaluse,per-seatlicensingforbusiness","Android,iOS,macOS,MicrosoftWindows7/8/10,MicrosoftWindowsPhone,andweb-based"
"Gnote","AurimasČernius","GPL-3.0-or-later","Linux"
"GoogleKeep","Google","Proprietary,no-cost","Android,iOS,ChromeOS,browserbased"
"Joplin","laurent22etal","MIT","MicrosoftWindows,Mac,Linux,iOS,Android"
"KeyNoteNF","MarekJedliński,TranglosSoftware","MPL-2.0","MicrosoftWindows"
"Memonic","NektoonAG","Proprietary,Freemium","Android(notreleasedyet),iOS,macOS,MicrosoftWindowsXP/Vista/7/Mobileweb-based"
"MicrosoftOneNote","Microsoft","Proprietary,Shareware/Freeware/Freemium","Android,macOS,iOS(iPad,iPhone),MicrosoftWindows7/8/10,MicrosoftWindowsServer2008R2/2012R2/2016,MicrosoftWindowsPhone8/8.1/10,web-based,mobileweb"
"MyInfo","MilenixSoftware","Proprietary,Shareware","MicrosoftWindows7/10/11"
"MyNotex","MassimoNardello","GPL-3.0-or-later","Linux"
"NotationalVelocity","ZacharySchneirov","GPL-3.0-or-later","macOS"
"Notes","Apple","Proprietary","macOS,iOS,web-based"
"Notion","NotionLabsInc.","Proprietary,Freemium","Android,macOS,iOS(iPad,iPhone),MicrosoftWindows,web-based"
"Open-Sankoré","Sankoré","LGPL-2.0-only","Linux,macOS,Unix,MicrosoftWindows"
"Org-mode(Emacs)","CarstenDominik,etal.","GPL-3.0-or-later","Linux,macOS,Unix,MicrosoftWindows(Emacsmode)"
"Outline","GorillizedCorporation","Proprietary,Commercial","macOS,iOS"
"PDFStudio","QoppaSoftware","Proprietary,Shareware","Linux,macOS,MicrosoftWindows,web-based"
"PersonalKnowbase","BitsmithSoftware","Proprietary,Commercial","MicrosoftWindows"
"QOwnNotes","PatrizioBekerle","GPL-2.0-only","Linux,macOS,MicrosoftWindows"
"Qiqqa","QuantisleLtd.","Proprietary,Freemium","MicrosoftWindowsXP/Vista/7/8,Web-based,Android"
"Simplenote","Automatticinc.","Clients:GPL-2.0-onlyServer:Proprietary","Cross-platform"
"StandardNotes","StandardNotes.","AGPL-3.0-only","Cross-platform(AvailableforAndroid,Windows,LinuxandothermajorOS)"
"TagSpaces","TagSpacesUG","AGPL-3.0-only","Cross-platform(browser,web-based)"
"TiddlyWiki","JeremyRuston","BSD-3-Clause","Cross-platform(singleHTMLfile,runsinbrowser,onanodeJSserver,onAndroidandIOS)"
"Tomboy","AlexGraveley","LGPL-2.1-only","Cross-platform(Mono/GTK+)"
"Ulysses","TheSoulmen","SaaS","macOS,iOS"
"Whizfolders","AvniTechSolutions","Proprietary,Commercial","MicrosoftWindows"
"MicrosoftWindowsJournal","Microsoft","Proprietary,Commercial","MicrosoftWindowsXPTabletPCedition,MicrosoftWindowsVista,MicrosoftWindows7/8/10(includedwithOS)"
"Xournal++","XournalppTeam","GPL-2.0-or-later","Linux,macOS,MicrosoftWindows,Android(beta)"
"Zim","JaapKarssenberg","GPL-2.0-or-later","Cross-platform(Python,GTK+)"
"ZOHONotebook","ZOHOCorporation","Proprietary,Commercial,Freemium","Self-hosted.SaaS."
