"","MusicSync","MediaLeap","YouTubeMusic","iBroadcast","iTunesMatch","VOXMusicCloud"
"Owner:","MusicSyncLLC","MediaLeapInc.","YouTubeLLC(GoogleLLC)","iBroadcastMedia,LLC","AppleInc.","CoppertinoInc."
"Launchdate:","2020-10-25","2020-12-11","2015-11-12","2012-06-15","2011-10-12","2015-04-15"
"CurrentlyAvailable:","Yes","Yes","Yes","Yes","Yes","Yes"
"WebClient:","No","Yes","Yes","Yes","No","No"
"WindowsClient:","No","No","No","Yes","No","Inbeta"
"AndroidApp:","Yes","Yes","Yes","Yes","No","No"
"iOSApp:","","Yes","Yes","Yes","Yes","Yes"
"Otherlisteningplatforms:","Chromecast,AndroidTV,AndroidAuto","","GoogleHome,Sonos,Chromecast,AndroidTV,AndroidAuto","","AppleTV,otherAirPlay","macOS,AppleTVviaAirPlay,Chromecast,Sonos"
"Uploadsoftware:","WebbrowserandviaGoogleDriveclient","Webbrowser,in-appupload","Webbrowser","Windows,macOS,Linux,Webbrowser","Windows,macOS","VOXPlayerforMac,Webbrowser"
"MusicFormat:","MP3,MP4/M4A/ALAC/AAC,OGG,OPUS,WMA,FLAC,WAV,APE,WV,TTA,MPC,AIFF,DSD(DFF/DSF),MKA,MPGA,TAK,FLV","MP3,OGG,FLAC.","AAC","AAC,FLAC,MKA,MP3,OGG,PCM","AAC,MP3","AAC,AIFF,ALAC,APE,FLAC,M4A,MP3,OGG,WAV,WMA"
"Filetypesmatched:","MP3,MP4/M4A/ALAC/AAC,OGG,OPUS,WMA,FLAC,WAV,APE,WV,TTA,MPC,AIFF,DSD(DFF/DSF),MKA,MPGA,TAK,FLV","None","None","None","AAC,AIFF,ALAC,MP3,WAV","None"
"Filetypestranscoded:","None","None","FLAC,M4A,MP3,OGG,WMA","","AIFF,ALAC,WAV","None"
"Maximumfilesize:","NoLimit","NoLimit","300MB","","200MBor2hours","250MB"
"FreeBitrate:","OriginalQuality","OriginalQuality","256kbit/s","128kbit/s","None","None"
"PremiumBitrate:","OriginalQuality","OriginalQuality","256kbit/s","320kbit/sorOriginal","256kbit/s","OriginalQuality"
"FreeStorage:","LimitedtoGoogleDrivefreeplan","1TB","Unlimited","Unlimited","None","None"
"PremiumStorage:","","Unlimited","Unlimited","Unlimited","100,000files","Unlimited"
"Premiumservicefeatures:","","Unlimitedstorage","Ads-free,backgroundplay,downloadmusicoffline,useaudio-onlymode,travelwithYouTubeMusic,shuffledownloads,AppleCarplay&AndroidAutocompatibility","Higherbitratestreaming,equalizer,AndroidAuto,Carplay","","CustomEqualizer,Downloadmusicoffline,Carplay,WorldRadioStations,BS2B,Gap/Crossfade,HogMode,SyncSampleRateandmorepremiumaudiofeatures"
"Premiumpricing:","BasedonGoogleDrivepaidplan","$5permonth","$9.99permonth(YouTubeMusicPremium)$11.99permonth(YouTubePremium)","FreeduringBeta,$3.99permonthafterlaunch","Annualfeeof$24.99(US),£21.99(UK),€24.99(FR),$39.99(AU)Includedwith$9.99permonthAppleMusicsubscription","$4.99permonth,$49.99annually(VOXPremium)"
"Premiumservicecountries:","","Worldwide","94(YouTubeMusicPremium)95(YouTubePremium)","","117","Worldwide"
