"Name","x86,i386,IA-32","x86SMP","Xen","IA-64","x86-64","PowerPC","PowerPCSMP","SPARC32","SPARCSMP","Alpha","MIPS","ARM","XScale","M68k","PA-RISC","OpenRISC","others","hostedmode"
"Linux","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","FR-V,Cell,ETRAXCRIS,M32R,Xtensa,h8,s390,SuperH","UML,coLinux,MkLinux,ItaniumLinux-on-Linux,wombat"
"FreeBSD","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","No","No","PC98",""
"OpenBSD","Yes","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","SuperH]",""
"NetBSD","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","SuperH,ns32k,VAX,hppa,M68010,mipseb,mipsel,sh3eb,sh3el,sparc64",""
"DragonFlyBSD","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","","vkernel"
"OpenSolarisillumos","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No","",""
"Darwin,OpenDarwin","Yes","Yes","No","No","Yes","Yes","Yes","No","No","No","No","Yes","No","Yes","No","No","","L4/Darwin"
"MINIX","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","",""
"FreeDOS","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","",""
"Genode","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","No","RISC-V","Linux"
"Haiku","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","",""
"KolibriOS","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","",""
"MenuetOS","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","",""
"GNU","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","FR-V,Cell,ETRAXCRIS,M32R,Xtensa,h8,s390,SuperH","UML,ItaniumLinux-on-Linux"
"ReactOS","Yes","Yes","No","No","Yes","No","No","No","No","No","No","Yes","No","No","No","No","",""
"RISCOS","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","",""
"L4,Pistachio","Yes","No","No","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","No","No","No","No","",""
"Plan9","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","See","lguest,vx32"
"AROS","Yes","No","No","No","Yes","Yes","No","No","No","No","No","Yes","No","Yes","No","No","","i386-linux,i386-freebsd"
"Syllable","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","",""
"Inferno","Yes","?","No","No","?","Yes","?","Yes","?","No","Yes","Yes","Yes","Yes","No","No","AMDAm29000,TexasInstrumentsOMAP","MicrosoftWindows,Linux,FreeBSD,Plan9,OSX,Solaris,Irix,UnixWare,HP-UX,InternetExplorer"
"FreeRTOS","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No","No","Yes","AVR,PIC,MSP430,HCS12,8052,MicroBlaze,Cortex-M3,H8S",""
"eCos","Yes","Yes","No","No","No","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","CalmRISC,ColdFire,FR-V,h8,MatsushitaAM3x,NiosII,NECV8xx,SuperH","MicrosoftWindows,Linux"
"RTEMS","Yes","No","Xen","No","No","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Blackfin,NiosII,Coldfire,TexasInstrumentsC3x/C4x,SuperH,H8S","Linux,Solaris,Cygwin,FreeBSD,multipleCPUsimulators"
"HelenOS","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","No","No","No","No","",""
"E/OS","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","",""
"TempleOS","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","","QEMU,VirtualBox,etc."
"Name","x86,i386,IA-32","x86SMP","Xen","IA-64","x86-64","PowerPC","PowerPCSMP","SPARC32","SPARCSMP","Alpha","MIPS","ARM","XScale","M68k","PA-RISC","OpenRISC","other","hostedmode"
