"Name","ATA","SATA","SCSI","USB3.0","USB2.0","USB1.1","FireWire","PCMCIA/PCcard","AGP","NvidiaofficialdriverIA-32","NvidiaofficialdriverIA-64","NvidiaofficialdriverAMD64","ATIofficialdriverx86","ATIofficialdriverx86-64","ATIr200freesoftwaredriver","ATIr300freesoftwaredriver","Nvidiafreesoftwaredriver","Audio","TVtuner,videoediting,orwebcam"
"Linux","Yes","Yes","Yes","Yes2.6.31+","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes,nv(2donly),nouveau(3dwithmesa)","OSS,ALSA","V4L,V4L2"
"FreeBSD","Yes","Yes","Yes","Yes8.2+","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes"
"OpenBSD","Yes","Yes","Yes","Yes5.7+","Yes","Yes","No","Yes","Yes","No","No","No","No","No","Yes","2donly","2donly","Yes","Yes"
"NetBSD","Yes","Yes","Yes","No7.1","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","","","","Yes","Yes"
"DragonFlyBSD","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","","","","Yes",""
"OpenSolaris,illumos","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","","","","Yes","V4L2"
"Darwin,OpenDarwin","Yes","Yes","Yes","Yes","","Yes","","","","No","No","No","No","No","","","","",""
"MINIX","","","","","","","","","","No","No","No","No","No","","","","",""
"FreeDOS","Yes","Yes","Yes","No","No","No","No","","Yes","No","No","No","No","No","No","No","No","Yes","No"
"Genode","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","No"
"Haiku","Yes","Yes","Yes","","Yes","Yes","Yes","No","Yes","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes"
"KolibriOS","Yes","Yes","No","","Yes","Yes","","No","No","No","No","No","No","No","","","","Yes","No"
"MenuetOS","Yes","No","No","","Yes","Yes","","No","No","No","No","No","No","No","","","","Yes","Yes"
"GNU","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","Yes","Yes","Yes"
"ReactOS","Yes","Yes","Yes","","Yes","Yes","No","No","Yes","No","No","No","No","No","","","","Yes",""
"RISCOS","?","Yes","Yes","?","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","TVtuner"
"L4,Fiasco,Pistachio","","","","","","","","","","No","No","No","No","No","","","","",""
"Plan9","Yes","Yes","Yes","","Yes","Yes","","Yes","Yes","No","No","No","No","No","","","","Yes","Yes"
"AROS","Yes","","","","","","","","Yes","No","No","No","own","No","","","2Donly","",""
"Syllable","Yes","Yes","","","Yes","Yes","","","Yes","No","No","No","No","No","","","","Yes",""
"Inferno","Yes","No","Yes","","No","No","No","Yes","Yes","No","No","No","No","No","","","","Yes",""
"FreeRTOS","","","","","","","","","","No","No","No","No","No","","","","",""
"eCos","Yes","Yes","","","Yes","Yes","","","","No","No","No","No","No","","","","",""
"RTEMS","Yes","","","","","","","Yes","","No","No","No","No","No","","","","",""
"HelenOS","Yes","Yes","No","","No","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","No"
"E/OS","Yes","Yes","Yes","","No","Yes","Yes","Yes","No","No","No","No","No","No","","","","Yes","Yes"
"Name","ATA","SATA","SCSI","USB3.0","USB2.0","USB1.1","FireWire","PCMCIA/PCcard","AGP","NvidiaofficialdriverIA-32","NvidiaofficialdriverIA-64","NvidiaofficialdriverAMD64","ATIofficialdriverx86","ATIofficialdriverx86-64","ATIr200freesoftwaredriver","ATIr300freesoftwaredriver","Nvidiafreesoftwaredriver","Audio","TVtuner,videoediting,orwebcam"
