"Name","Firewall","TCP/IP","IPv6","IPX","PPP","PPPoE","DHCP","Bridge","TUN/TAP","SSH","OpenVPN"
"Linux","netfilteriptables/nftables","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"FreeBSD","IPFW2,IPFilter,PF","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"OpenBSD","PF","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"NetBSD","IPFilter,NPF,PF","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"DragonFlyBSD","IPFW2,PF","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes",""
"OpenSolaris,illumos","IPFilter","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Darwin,OpenDarwin","IPFW","Yes","Yes","","","","Yes","","","Yes",""
"MINIX","","Yes","","","","","","","","Yes",""
"FreeDOS","","Yes","","Yes","Yes","Yes","Yes","","","Yes",""
"Genode","softwareIProuting","Yes","","No","No","No","Yes","Yes","","",""
"Haiku","None","Yes","Yes","","","","Yes","","","Yes","Yes"
"KolibriOS","None","Yes","","No","Yes","No","Yes","","","",""
"MenuetOS","None","Yes","","No","No","No","","","","",""
"GNU","netfilteriptables/nftables(withLinux-libreandLinuxkernel)","Yes","Yes","","","","Yes","","","Yes",""
"ReactOS","","Yes","Yes","","","","","","","",""
"L4,Fiasco,Pistachio","","","","","","","","","","",""
"Plan9","ipmux","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No"
"AROS","","Yes","","","","","","","","",""
"Syllable","","Yes","","","Yes","Yes","Yes","","","Yes",""
"Inferno","ipmux","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","No"
"FreeRTOS","","","","","","","","","","",""
"eCos","","Yes","Yes","","Yes","","Yes","","","Yes",""
"RTEMS","","Yes","No","","Yes","Yes","Yes","Yes","Yes","",""
"HelenOS","","Yes","Yes","No","No","No","Yes","No","No","No","No"
"E/OS","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Name","Firewall","TCP/IP","IPv6","IPX","PPP","PPPoE","DHCP","bridge","TUN/TAP","ssh","OpenVPN"
