"Drivername","Chipset","Integration","Non-freefirmwarerequired","License","Original/Primarydeveloper","Development"
"acx","TexasInstrumentsACX100/ACX111","Integratedsince1.5","Yes","BSD","","Reverseengineering"
"an","Aironet4500/4800","Integrated","OnDevice","BSD","BillPaul(FreeBSD)",""
"ath","AtherosAR5210/AR5211/AR5212/AR5416","Integrated","OnDevice","BSD","",""
"bwi","BroadcomBCM430x/4318","Integrated","Yes","BSD","SepherosaZiehau","Reverseengineering"
"iwi","IntelPRO/Wireless2200BG/2915ABG","Integrated","Yes","BSD","DamienBergamini(OpenBSD)","Reverseengineering"
"iwl","IntelPRO/Wireless2100","Integrated","Yes","BSD","DamienBergamini(OpenBSD)","Reverseengineering"
"iwm","IntelDualBandWirelessAC3160/7260/8260/9260/9270/9560","Integrated","Yes","BSD","OpenBSD"
"iwn","Intel4965/1000/5000/5150/5300/6000/6050","Integrated","Yes","BSD","DamienBergamini(OpenBSD)","Reverseengineering"
"ral","RalinkRT2500/RT2501/RT2600","Integrated","OnDevice","BSD","DamienBergamini","PortedfromFreeBSD"
"rtw","RealtekRTL8180L","Integrated","OnDevice","BSD","","PortedfromNetBSD"
"rum","RalinkRT2501USB/RT2601USB","Integrated","OnDevice","BSD","DamienBergamini","PortedfromFreeBSD"
"wi","LucentHermes(WaveLAN/ORiNOCO);IntersilPRISM-II,-2.5;SymbolSpectrum24802.11b","Integrated","OnDevice","BSD","BillPaul(FreeBSD)","Documentationbased"
"wpi","Intel3945ABG","Integrated","OnDevice","BSD","DamienBergamini","PortedfromOpenBSD"
