"Feature","AROS","FreeBSD","Linux-based","HP-UX","OpenVMS","macOS","Solaris","Windows(cmd)","Windows(PowerShell)"
"Listdirectory","list,dir","ls","ls","ls","dir","ls","ls","dir","Get-ChildItem"
"Clearconsole","clear","clear","clear","clear","ty/panl:","clear","clear","cls","Clear-Host"
"Copyfile(s)","copy","cp","cp","cp","copy","cp","cp","copy","Copy-Item"
"Movefile(s)","move","mv","mv","mv","ren","mv","mv","move","Move-Item"
"Renamefile(s)","rename","mv","mv,rename","mv","ren","mv","mv","ren(rename)","Rename-Item"
"Deletefile(s)","delete","rm","rm","rm","del","rm","rm","del(erase)","Remove-Item"
"Deletedirectory","delete","rmdir","rmdir","rmdir","del","rmdir","rmdir","rd(rmdir)","Remove-Item"
"Createdirectory","makedir","mkdir","mkdir","mkdir","create/dir","mkdir","mkdir","md(mkdir)","New-Item"
"Changecurrentdirectory","cd","cd","cd","cd","setdef","cd","cd","cd(chdir)","Set-Location"
"Runshellscriptwithnewshell","shellfile.shell","shfile.sh","shfile.sh","shfile.sh","@file.com","shfile.sh","shfile.sh","cmd/cfile.cmd","powershellfile.ps1"
"Killprocesses","?","kill,killall","killall,pkill,kill,skill","kill","stop","kill,killall","kill,pkill","taskkill","Stop-Process"
"Changeprocesspriority","changetaskpri","nice","nice,chrt","nice","setproc/prio","nice","nice","start/low,start/normal,start/high,start/realtime","Start-Process,wmic"
"ChangeI/Opriority","?","","ionice","?","setproc/prio","nice","?","?","?"
"Createfilesystem","format","newfs","mkfs","newfs","init","mkfs","newfs,zpool/zfscreate","format","Format-Volume"
"Filesystemcheckandrecovery","?","fsck","fsck","fsck","analyze/disk","fsck","fsck","chkdsk","Repair-Volume"
"Createsoftwareraid","?","atacontrol,gmirror,zfscreate","mdadm-C","?","?","diskutilappleRAID","metainit,zpoolcreate","diskpart(mirroronly)","diskpart(mirroronly)"
"Mountdevice","mount","mount","mount","mount","mount","mount,diskutilmount","mount","mountvol","New-PSDrive"
"Unmountdevice","assigndrivename:dismount","umount","umount","umount","dismount","umount,diskutilunmount(disk)","umount","mountvol/d","Remove-PSDrive"
"Mountfileasblockdevice","?","mdconfig+mount","mount-oloop","?","?","hdid","lofiadm+mount","?","?"
"Shownetworkconfiguration","?","ifconfig","ipaddr,ifconfig","ifconfig,lanadmin","tcpipshnet(shnet)","ifconfig","ifconfig","ipconfig","Get-NetIPInterface,ipconfig"
"Shownetworkroute","?","netstat-r,routeget,routemonitor","iproute,route","netstat-r","tcpipshroute","netstat-r,routeget,routemonitor","netstat-r","route","Get-NetRoute"
"Tracenetworkroute","?","traceroute","traceroute","traceroute","tcptrace","traceroute","traceroute","tracert","Test-NetConnection"
"Tracenetworkroutewithpings","?","traceroute-I","traceroute-I,mtr","?","tcptrace","traceroute-I","traceroute-I","pathping","pathping"
"Feature","AROS","FreeBSD","Linux-based","HP-UX","OpenVMS","macOS","Solaris","Windows(cmd)","Windows(PowerShell)"
