"","Creator","Latestrelease","Userinterface","Softwarelicense","Cost"
"AllegroNetworkMultimeter","AllegroPackets","July19,2021/v3.3","WebGUI","Proprietary","Non-free,priceonrequest,dependingondeviceandextensions"
"CainandAbel","MassimilianoMontoro","April7,2014/4.9.56","GUI","Freeware","Free"
"Capsa","Colasoft","April24,2018/11.1","GUI","Proprietary","$0–$995,dependingonversion"
"Carnivore","FederalBureauofInvestigation","?","?","N/A","?"
"CharlesWebDebuggingProxy","KarlvanRandow","July10,2017/4.1.4","GUI","?","$30–$50(FreeTrial)"
"ClarifiedAnalyzer","ClarifiedNetworks","","GUI","Proprietary","Non-free"
"ClusterpointNetworkTrafficSurveillanceSystem","Clusterpoint","","webGUI","Proprietary","?"
"CommView","TamoSoft","November30,2017/6.5Build770","GUI","Proprietary","$299–$599,$1491yearsubscription"
"dSniff","DugSong","December17,2000/2.3","CLI","BSDLicense","Free"
"EtherApe","JuanToledo","June3,2018/0.9.18","GUI","GNUGeneralPublicLicense","Free"
"Ettercap","ALoRandNaGA","August1,2020/0.8.3.1-Bertillon","Both","GNUGeneralPublicLicense","Free"
"Fiddler","EricLawrence/Telerik","October3,2019/5.0.20194","GUI","Freeware","Free"
"justniffer","TheJustnifferteam","March21,2016/0.5.15","CLI","GNUGeneralPublicLicense","Free"
"Kismet","MikeKershaw(dragorn)","May2,2020/2020-04-R3","CLI","GNUGeneralPublicLicense","Free"
"MicrosoftMessageAnalyzer","Microsoft","October28,2016/1.4","GUI","Proprietary","Free"
"MicrosoftNetworkMonitor","Microsoft","June24,2010/3.4","GUI","Proprietary","Free"
"netsniff-ng","DanielBorkmann","November7,2016/0.6.2","CLI","GNUGeneralPublicLicense","Free"
"ngrep","JordanRitter","September7,2017/1.47","CLI","BSD-style","Free"
"Observer","ViaviSolutions(formerlyNetworkInstruments)","","GUI","Proprietary","Priceonrequest"
"OmniPeek(formerlyAiroPeek,EtherPeek)","LiveAction(formerlySavvius,WildPackets)","November2017/11.1","GUI","Proprietary","$1194–$5994,dependingonversion"
"Sniffer","Netscout(formerlyNetworkGeneral)","2013","GUI","Proprietary","Non-free"
"SteelCentralTransactionAnalyzer","OPNETTechnologies/RiverbedTechnology","June9,2014/17.0.T-PL1","GUI","Proprietary","Non-free"
"snoop","SunMicrosystems","December11,2006/Solaris10","CLI","CDDL","Free"
"tcpdump","TheTcpdumpteam","December30,2020/4.99.0","CLI","BSDLicense","Free"
"Wireshark(formerlyEthereal)","TheWiresharkteam","November22,2021/3.6.0","Both","GNUGeneralPublicLicense","Free"
"Xplico","TheXplicoteam","May2,2019/1.2.2","Both","GNUGeneralPublicLicense","Free"
