"Name","Parsingalgorithm","Inputgrammarnotation","Outputlanguages","Grammar,code","Lexer","Developmentplatform","IDE","License"
"AGL","GLR","EBNF","Java,JavaScript,(otherKotlintargets)","Separate","none","AnyKotlintargetplatform","No","Free,Apache2.0"
"ANTLR4","AdaptiveLL(*)","EBNF","C#,Java,Python,JavaScript,C++,Swift,Go,PHP","Separate","generated","Javavirtualmachine","Yes","Free,BSD"
"ANTLR3","LL(*)","EBNF","ActionScript,Ada95,C,C++,C#,Java,JavaScript,Objective-C,Perl,Python,Ruby","Mixed","generated","Javavirtualmachine","Yes","Free,BSD"
"APG","Recursivedescent,backtracking","ABNF","C,C++,JavaScript,Java","Separate","none","All","No","Free,GNUGPL"
"Astir","LL(k),LL(finite),LL(*)","Astirhierarchicalgrammar","C++","Onlygrammar(actioned)","generated","All","VisualStudioCode","Free,MIT"
"AXE","Recursivedescent","AXE/C++","C++17,C++11","Mixed","none","AnywithC++17orC++11standardcompiler","No","Free,Boost"
"Beaver","LALR(1)","EBNF","Java","Mixed","external","Javavirtualmachine","No","Free,BSD"
"Belr","Recursivedescent","ABNF","C++17,C++11","Separate","included","POSIX","No","Partial,GNUGPL,proprietary"
"Bison","LALR(1),LR(1),IELR(1),GLR","Yacc","C,C++,Java","Mixed","external","All","No","Free,GNUGPLwithexception"
"Bison++","LALR(1)","?","C++","Mixed","external","POSIX","No","Free,GNUGPL"
"Bisonc++","LALR(1)","?","C++","Mixed","external","POSIX","No","Free,GNUGPL"
"BtYacc","BacktrackingBottom-up","?","C++","Mixed","external","All","No","Free,publicdomain"
"byacc","LALR(1)","Yacc","C","Mixed","external","All","No","Free,publicdomain"
"BYACC/J","LALR(1)","Yacc","C,Java","Mixed","external","All","No","Free,publicdomain"
"Carburetta","LALR(1)","BNFDialect","C,C++","Mixed","externalorgenerated","All","No","Free,Apache2.0"
"CL-Yacc","LALR(1)","Lisp","CommonLisp","Mixed","external","All","No","Free,MIT"
"Coco/R","LL(1)","EBNF","C,C++,C#,F#,Java,Ada,ObjectPascal,Delphi,Modula-2,Oberon,Ruby,Swift,Unicon,VisualBasic.NET","Mixed","generated","Javavirtualmachine,.NETFramework,Windows,POSIX(dependsonoutputlanguage)","No","Free,GNUGPL"
"CookCC","LALR(1)","Javaannotations","Java","Mixed","generated","Javavirtualmachine","No","Free,Apache2.0"
"CppCC","LL(k)","?","C++","Mixed","generated","POSIX","No","Free,GNUGPL"
"CSP","LR(1)","?","C++","Separate","generated","POSIX","No","Free,Apache2.0"
"CUP","LALR(1)","?","Java","Mixed","external","Javavirtualmachine","No","Free,BSD-like"
"Dragon","LR(1),LALR(1)","?","C++,Java","Separate","generated","All","No","Free,GNUGPL"
"eli","LALR(1)","?","C","Mixed","generated","POSIX","No","Free,GNUGPL,GNULGPL"
"Essence","LR(?)","?","Scheme48","Mixed","external","All","No","Free,BSD"
"eyapp","LALR(1)","?","Perl","Mixed","externalorgenerated","All","No","Free,Artistic"
"Frown","LALR(k)","?","Haskell98","Mixed","external","All","No","Free,GNUGPL"
"geyacc","LALR(1)","?","Eiffel","Mixed","external","All","No","Free,MIT"
"GOLD","LALR(1)","BNF","x86assemblylanguage,ANSIC,C#,D,Java,Pascal,ObjectPascal,Python,VisualBasic6,VisualBasic.NET,VisualC++","Separate","generated","Windows","Yes","Free,zlibmodified"
"GPPG","LALR(1)","Yacc","C#","Separate","external","Windows","Yes","Free,BSD"
"Grammatica","LL(k)","BNFdialect","C#,Java","Separate","generated","Javavirtualmachine","No","Free,BSD"
"HiLexed","LL(*)","EBNForJava","Java","Separate","internal","Javavirtualmachine","No","Free,GNULGPL"
"HimeParserGenerator","LALR(1),GLR","BNFdialect","C#,Java,Rust","Separate","generated",".NETFramework,Javavirtualmachine","No","Free,GNULGPL"
"Hyacc","LR(1),LALR(1),LR(0)","Yacc","C","Mixed","external","All","No","Free,GNUGPL"
"iyacc","LALR(1)","Yacc","Icon","Mixed","external","All","No","Free,GNULGPL"
"jacc","LALR(1)","?","Java","Mixed","external","Javavirtualmachine","No","Free,BSD"
"JavaCC","LL(k)","EBNF","Java,C++,JavaScript(viaGWTcompiler)","Mixed","generated","Javavirtualmachine","Yes","Free,BSD"
"jay","LALR(1)","Yacc","C#,Java","Mixed","none","Javavirtualmachine","No","Free,BSD"
"JFLAP","LL(1),LALR(1)","?","Java","?","?","Javavirtualmachine","Yes","?"
"JetPAG","LL(k)","?","C++","Mixed","generated","All","No","Free,GNUGPL"
