"Name","CanbootanOSonanotherdiskpartitionasguest","USBsupport","GUI","Livememoryallocation","3Dacceleration","SnapshotsperVM","Snapshotofrunningsystem","Livemigration","Sharedfolders","Sharedclipboard","PCIpassthrough"
"KVM","Yes","Yes","Yes","Yes","Yes(viaAIGLX)","Yes","Yes","Yes","","","Yes"
"UserModeLinux","Yes","No","No","No","No","","","No","Yes","N/A",""
"Containers,orZones","Yes","Yes","Yes","Yes","Notneeded","Yes","Yes","No","Yes","Notneeded","Notneeded"
"DosBox","No","No","SVNbuildsonly","No","Glide(SVNbuildsonly)","No","Yes","No","No","No","No"
"OracleVirtualBox(formerlyOSE,GPLv2),withGuestAdditions(GPLv2)","Yes","USB1.1only","Yes","Yes","No","Yesbranched","Yes","Yes","withGuestAdditions","withGuestAdditions","No"
"OracleVirtualBoxwithExtensionPack(PUEL)andGuestAdditions(GPLv2)","Yes","Yes","Yes","Yes","OpenGL2.0andDirect3D8/9","Yesbranched","Yes","Yes","Yes","Yes","Retired(Until6.0;Linuxonly)"
"OracleVMServerforSPARC(LDoms)","Yes","USB2.0","Yes","Yes","No","Yes","No","Yes","Yes","No","Yes"
"OKL4Microvisor","Yes","Yes","VMsonly","Yes","Yes","","","No","","","Staticassignment"
"VirtualIron4.2","","","","","","","","Yes","","",""
"VirtualPC2007","No","No","Yes","No","No","","","No","Yes","Yes",""
"WindowsVirtualPC","No","partially","Yes","No","No","","","No","Yes","Yes",""
"VirtualPC7forMac","No","Yes","Yes","Yes","No","","","No","Yes","Yes",""
"MicrosoftVirtualServer2005R2","","No","Yes","No","No","?","Yes","No","","",""
"MicrosoftHyper-VServer2008R2","Yes","Partialsupportoverremotedesktopconnections","Yes","Yes","DirectX9.0c(viaRemoteFX)","Yesbranched","Yes","Yes","","","No"
"MicrosoftHyper-VServer2012R2","Yes","Yes","Yes","Yes","DirectX9.0c(viaRemoteFX)","Yesbranched","Yes","Yes","","","No"
"Virtuozzo","Yes","Yes","Yes","Yes","No","","","Yes","","",""
"VMwareESXServer3.0atp","","","Yes","","No","?","Yes","Yes","","","No"
"VMwareESXServer2.5.3","","","Yes","","No","","","","","","No"
"VMwareESXServer4.0-6.x(vSphere)","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes"
"VMwareFusion2.0","Yes","Yes","Yes","No","DirectX9Shadermodel2","","","No","","","No"
"VMwareServer","Yes","Yes","Yes","Yes","No","1","Yes","No","Yes","Yes",""
"VMwareWorkstation5.5","Yes","Yes","Yes","Yes","ExperimentalsupportforDirectX8;alsosupportedwithVMGL","Yesbranched","Yes","No","Yes","Yes","No"
"VMwareWorkstation6.0","Yes","Yes","Yes","Yes","ExperimentalsupportforDirectX8;AlsosupportedwithVMGL","Yesbranched","Yes","No","Yes","Yes","No"
"VMwareWorkstation7.0and8.0","Yes","Yes","Yes","Yes","SupportforDirectX9.0cShaderModel3andOpenGL2.13D.","Yesbranched","Yes","No","Yes","Yes","No"
"VMwarePlayer","Yes","Yes","Yes","Yes","supportedwithVMGL","No","No","No","Yes","","No"
"WindRiverhypervisor","Yes","Yes","Yes","Yes","Yes","","","No","","",""
"WindRiverVxWorksMILSPlatform","Yes","","","","","","","","","",""
"Xen","Yes","Yes","Yes","Yes","SupportedwithVMGL","?","Yes","Yes","","","Yes"
"XCP-ng","Yes","Yes","Yes","Yes","","","Yes","Yes","","",""
"XenServer","Yes","","Yes","Yes","SupportedwithVMGL","Yes","Yes","Yes","","","Yes"
"z/VM","Yes","Notapplicable","Yes(zURM/HMC)","Yes","Notapplicable","","","Yes(2011)","","Notapplicable","Notapplicable"
"zLPARs","Yes","Notapplicable","Yes(HMC)","Yes","Notapplicable","","","Yes(2007)","","Notapplicable","Notapplicable"
"Name","CanbootanOSonanotherdiskpartitionasguest","USB","GUI","Livememoryallocation","3Dacceleration","SnapshotsperVM","Snapshotofrunningsystem","Livemigration","Sharedfolders","Sharedclipboard","PCIpassthrough"
