"Languages","Size","First","Last"
"Ada","name'Length","name'First","name'Last"
"ALGOL68","UPBname-LWBname+12UPBname-2LWBname+1etc.","LWBname2LWBnameetc.","UPBname2UPBnameetc."
"APL","?name(?name)[index]","?IO","(?name)-~?IO(?name)[index]-~?IO"
"AWK","length","1","asorti"
"C#,VisualBasic.NET,WindowsPowerShell,F#","name.Length","name.GetLowerBound(dimension)","name.GetUpperBound(dimension)"
"CFML","arrayLen(name)name.len()","1","name.len()"
"Ch","max(shape(name))","0","max(shape(name))-1"
"CommonLisp","(lengthname)","0","(1-(lengthname))"
"D","name.length","0","name.length-1$-1"
"Fortran","SIZE(name)","LBOUND(name)","UBOUND(name)"
"Go","len(name)","0","len(name)-1"
"Haskell","rangeSize(boundsname)","fst(boundsname)","snd(boundsname)"
"ISLISP","(lengthname)","0","(1-(lengthname))"
"Icon","*name","1","*name"
"Cobra,D,Haxe,Java,JavaScript,Scala","name.length","0","name.length-1"
"J","#name","0","<:@#name"
"Julia","length(name)size(name)","1first.(axes(name))","endlast.(axes(name))"
"Lingo","count(name)","1","getLast(name)"
"LiveCode","length(name)","1first","-1last"
"Lua","#name","1byconvention;anyinteger","#name"
"Mathematica","Length[name]","1First[name]","-1Last[name]"
"MATLAB,GNUOctave","length(name)","1","end"
"Nim","name.len","name.low","name.high"
"Oberon","LEN(name)","0","LEN(name)-1"
"ObjectPascal","Length(name)","0low(name)","Length(name)-1high(name)"
"Objective-C(NSArray*only)","[namecount]","0","[namecount]-1"
"OCaml","Array.lengthname","0","Array.lengthname-1"
"Perl","scalar(@name)","$[","$#name"
"PHP","count(name)","0","count(name)-1"
"Python","len(name)","0","-1len(name)-1"
"R","length(name)","1","length(name)"
"Raku","@name.elems","0","@name.end"
"Red","length?name","name/1firstname","lastname"
"Ruby","name.size","0name.first","-1name.size-1name.last"
"Rust","name.len()","0","name.len()-1"
"S-Lang","length(name)","0","-1length(name)-1"
"Scheme","(vector-lengthvector)","0","(-(vector-lengthvector)1)"
"Smalltalk","namesize","1namefirst","namesizenamelast"
"Swift","name.count","0","name.count-1"
"Unicon","*name","1","*name"
"VisualBasic","UBound(name)-LBound(name)+1","LBound(name)","UBound(name)"
"WolframLanguage","Length[name]","1First[name]","-1Last[name]"
"Xojo","UBound(name)","0","UBound(name)"
"XPath/XQuery","count($name)","1","count($name)last()array:size(name)"
