"Format","Languages"
"name[index]orname[index1,index2]etc.","ALGOL58,ALGOL60,ALGOL68,AWK,Modula,Pascal,ObjectPascal,C#,S-Lang"
"name[index]orname[index1;index2]etc.orindex⌷nameorindex1index2⌷nameetc.","APL"
"name[index]","ActionScript,C,CFML,Ch,Cobra,C++,D,Go,Haxe,Java,JavaScript,Julia,Lingo,Lua,Nim,Objective-C(NSArray*),Perl,PHP,Python,R,Ruby,Rust,Swift"
"$name[index]","Perl,WindowsPowerShell,XPath/XQuery"
"@name[index]","Raku"
"name(index)orname(index1,index2)etc.","Ada,ALGOLW,BASIC,COBOL,Fortran,RPG,GNUOctave,MATLAB,PL/I,Scala,VisualBasic,VisualBasic.NET,Xojo"
"$name(index)","XPath/XQuery"
"name.(index)","OCaml"
"name.[index]","F#,OCaml"
"name/index","Red"
"name!index","Haskell"
"$name?index","XPath/XQuery"
"(vector-refnameindex)","Scheme"
"(arefnameindex)","CommonLisp"
"(eltnameindex)","ISLISP"
"name[[index]]","Mathematica,WolframLanguage"
"nameat:index","Smalltalk"
"[nameobjectAtIndex:index]","Objective-C(NSArray*only)"
"index{name","J"
"name.item(index)orname@index","Eiffel"
