"","exitblock(break)","continue","label","branch(goto)","returnvaluefromgenerator"
"Ada","exit«loop_name»«whencondition»","N/A","label:","gotolabel","N/A"
"ALGOL68","valueexit;...","dostatements;skipexit;label:statementsod","label:...","gotolabel;...gotolabel;...label;...","yield(value)(Callback)"
"APL",":Leave",":Continue","label:","?labelor:GoTolabel","N/A"
"C(C99)","break;","continue;","label:","gotolabel;","N/A"
"Objective-C","break;","continue;","label:","gotolabel;","N/A"
"C++(STL)","break;","continue;","label:","gotolabel;","N/A"
"D","break;","continue;","label:","gotolabel;","N/A"
"C#","break;","continue;","label:","gotolabel;","yieldreturnvalue;"
"Java","break«label»;","continue«label»;","label:","N/A",""
"JavaScript","break«label»;","continue«label»;","N/A","yieldvalue«;»","label:"
"PHP","break«levels»;","continue«levels»;","label:","gotolabel;","yield«key=>»value;"
"Perl","last«label»;","next«label»;","gotolabel;","label:",""
"Raku","last«label»;","next«label»;","","label:","gotolabel;"
"Go","break«label»","continue«label»","label:","gotolabel",""
"Swift","break«label»","continue«label»","label:","N/A",""
"Bashshell","break«levels»","continue«levels»","N/A","N/A","N/A"
"CommonLisp","(return)or(return-fromblock)or(loop-finish)","","(tagbodytag...tag...)","(gotag)",""
"Scheme","","","","",""
"ISLISP","(return-fromblock)","","(tagbodytag...tag...)","(gotag)",""
"Pascal(ISO)","N/A","N/A","label:","gotolabel;","N/A"
"Pascal(FPC)","break;","label:","gotolabel;","N/A","continue;"
"VisualBasic","ExitblockAlternatively,formethods,Return","N/A","label:","N/A","GoTolabel"
"Xojo","ExitblockAlternatively,formethods,Return","Continueblock","label:","GoTolabel","N/A"
"VisualBasic.NET","Continueblock","ExitblockAlternatively,formethods,Return","Yieldvalue","label:","GoTolabel"
"Python","break","continue","N/A","N/A","yieldvalue"
"RPGIV","LEAVE;","ITER;","","",""
"S-Lang","break;","continue;","","",""
"Fortran","EXIT","CYCLE","label","GOTOlabel","N/A"
"Ruby","break","next","","",""
"WindowsPowerShell","break«label»","continue","","",""
"OCaml","N/A","N/A","N/A","N/A",""
"F#","N/A",""
"StandardML","N/A",""
"Haskell(GHC)","N/A",""
"COBOL","EXITPERFORMorEXITPARAGRAPHorEXITSECTIONorEXIT.","EXITPERFORMCYCLE","label«SECTION».","GOTOlabel","N/A"
