"","readfrom","writeto","writeto"
"","stdin","stdout","stderr"
"Ada","Get(x)","Put(x)","Put(Standard_Error,x)"
"ALGOL68","readf(($format$,x));orgetf(standin,($format$,x));","printf(($format$,x));orputf(standout,($format$,x));","putf(standerror,($format$,x));"
"APL","x??","??x","??x"
"C(C99)","scanf(format,&x);orfscanf(stdin,format,&x);","printf(format,x);orfprintf(stdout,format,x);","fprintf(stderr,format,x);"
"Objective-C","data=[[NSFileHandlefileHandleWithStandardInput]readDataToEndOfFile];","[[NSFileHandlefileHandleWithStandardOutput]writeData:data];","[[NSFileHandlefileHandleWithStandardError]writeData:data];"
"C++","«std::»cin>>x;or«std::»getline(«std::»cin,str);","«std::»cout<<x;","«std::»cerr<<x;or«std::»clog<<x;"
"C#","x=Console.Read();orx=Console.ReadLine();","Console.Write(«format,»x);orConsole.WriteLine(«format,»x);","Console.Error.Write(«format,»x);orConsole.Error.WriteLine(«format,»x);"
"D","x=std.stdio.readln()","std.stdio.write(x)orstd.stdio.writeln(x)orstd.stdio.writef(format,x)orstd.stdio.writefln(format,x)","stderr.write(x)orstderr.writeln(x)orstd.stdio.writef(stderr,format,x)orstd.stdio.writefln(stderr,format,x)"
"Java","x=System.in.read();orx=newScanner(System.in).nextInt();orx=newScanner(System.in).nextLine();","System.out.print(x);orSystem.out.printf(format,x);orSystem.out.println(x);","System.err.print(x);orSystem.err.printf(format,x);orSystem.err.println(x);"
"Go","fmt.Scan(&x)orfmt.Scanf(format,&x)orx=bufio.NewReader(os.Stdin).ReadString('\n')","fmt.Println(x)orfmt.Printf(format,x)","fmt.Fprintln(os.Stderr,x)orfmt.Fprintf(os.Stderr,format,x)"
"Swift","x=readLine()(2.x)","print(x)(2.x)println(x)(1.x)",""
"JavaScriptWebBrowserimplementation","","document.write(x)",""
"JavaScriptActiveServerPages","","Response.Write(x)",""
"JavaScriptWindowsScriptHost","x=WScript.StdIn.Read(chars)orx=WScript.StdIn.ReadLine()","WScript.Echo(x)orWScript.StdOut.Write(x)orWScript.StdOut.WriteLine(x)","WScript.StdErr.Write(x)orWScript.StdErr.WriteLine(x)"
"CommonLisp","(setfx(read-line))","(princx)or(formattformatx)","(princx*error-output*)or(format*error-output*formatx)"
"Scheme(RRS)","(definex(read-line))","(displayx)or(format#tformatx)","(displayx(current-error-port))or(format(current-error-port)formatx)"
"ISLISP","(setfx(read-line))","(format(standard-output)formatx)","(format(error-output)formatx)"
"Pascal","read(x);orreadln(x);","write(x);orwriteln(x);","write(stderr,x);orwriteln(stderr,x);"
"VisualBasic","Input«prompt,»x","Printxor?x","N/A"
"VisualBasic.NET","x=Console.Read()orx=Console.ReadLine()","Console.Write(«format,»x)orConsole.WriteLine(«format,»x)","Console.Error.Write(«format,»x)orConsole.Error.WriteLine(«format,»x)"
"Xojo","x=StandardInputStream.Read()orx=StandardInputStreame.ReadLine()","StandardOutputStream.Write(x)orStandardOutputStream.WriteLine(x)","StdErr.Write(x)orStdErr.WriteLine(x)"
"Python2.x","x=raw_input(«prompt»)","printxorsys.stdout.write(x)","print>>sys.stderr,xorsys.stderr.write(x)"
"Python3.x","x=input(«prompt»)","print(x«,end=""""»)","print(x«,end=""""»,file=sys.stderr)"
"S-Lang","fgets(&x,stdin)","fputs(x,stdout)","fputs(x,stderr)"
"Fortran","READ(*,format)variablenamesorREAD(INPUT_UNIT,format)variablenames","WRITE(*,format)expressionsorWRITE(OUTPUT_UNIT,format)expressions","WRITE(ERROR_UNIT,format)expressions"
"Forth","bufferlengthACCEPT(#charsread)KEY(char)","bufferlengthTYPEcharEMIT","N/A"
"PHP","$x=fgets(STDIN);or$x=fscanf(STDIN,format);","printx;orechox;orprintf(format,x);","fprintf(STDERR,format,x);"
"Perl","$x=<>;or$x=<STDIN>;","printx;orprintfformat,x;","printSTDERRx;orprintfSTDERRformat,x;"
"Raku","$x=$*IN.get;","x.printorx.say","x.noteor$*ERR.print(x)or$*ERR.say(x)"
"Ruby","x=gets","putsxorprintf(format,x)","$stderr.puts(x)or$stderr.printf(format,x)"
"WindowsPowerShell","$x=Read-Host««-Prompt»text»;or$x=[Console]::Read();or$x=[Console]::ReadLine()","x;orWrite-Outputx;orechox","Write-Errorx"
"OCaml","letx=read_int()orletstr=read_line()orScanf.scanfformat(funx...->...)","print_intxorprint_endlinestrorPrintf.printfformatx...","prerr_intxorprerr_endlinestrorPrintf.eprintfformatx..."
"F#","letx=System.Console.ReadLine()","printfformatx...orprintfnformatx...","eprintfformatx...oreprintfnformatx..."
"StandardML","valstr=TextIO.inputLIneTextIO.stdIn","printstr","TextIO.output(TextIO.stdErr,str)"
"Haskell(GHC)","x<-readLnorstr<-getLine","printxorputStrLnstr","hPrintstderrxorhPutStrLnstderrstr"
"COBOL","ACCEPTx","DISPLAYx",""
