"","variable","constant","typesynonym"
"Ada","identifier:type«:=initial_value»","identifier:constanttype:=final_value","subtypeidentifieristype"
"ALGOL68","modenamename«:=initial_value»;","modenamename=value;","modesynonym=modename;"
"C(C99)","typename«=initial_value»;","enum{name=value};","typedeftypesynonym;"
"Objective-C","typename«=initial_value»;","enum{name=value};","typedeftypesynonym;"
"C++","typename«=initial_value»;","consttypename=value;","typedeftypesynonym;"
"C#","typename1«=initial_value»,name2«=initial_value»,...;orvarname=initial_value;","consttypename=value,name=value,...;orreadonlytypename=value,name=value,...;","usingsynonym=type;"
"D","typename«=initial_value»;orautoname=value;","consttypename=value;orimmutabletypename=value;","aliastypesynonym;"
"Java","typename«=initial_value»;","finaltypename=value;","N/A"
"JavaScript","varname«=initial_value»;orletname«=initial_value»;(sinceECMAScript2015)","constname=value;(sinceECMAScript2015)","N/A"
"Go","varnametype«=initial_value»orname:=initial_value","constname«type»=value","typesynonymtype"
"Rust","letmutname«:type»«=initial_value»;staticmutNAME:type=value;","letname«:type»«=initial_value»;constNAME:type=value;staticNAME:type=value;","typesynonym=typename;"
"Swift","varname«:type»«=initial_value»","letname«:type»=value","typealiassynonym=type"
"CommonLisp","(defparameternameinitial-value)or(defvarnameinitial-value)","(defconstantnamevalue)","(deftypesynonym()'type)"
"Scheme","(definenameinitial_value)","",""
"ISLISP","(defglobalnameinitial_value)or(defdynamicnameinitial_value)","(defconstantnamevalue)","N/A"
"Pascal","name:type«=initial_value»","name=value","synonym=type"
"VisualBasic","Dimname«Astype»","Seenotestoleft.Constantsusethesamesyntax,and:useConstinsteadofDimhavearestrictiontoonlycertainprimitivetypesConstname1«Astype»=value,name2«Astype»=value,...",""
"VisualBasic.NET","ThevariabledeclarationsyntaxofVB.NETissurprisinglydifficulttopreciselydescribe.Giventhatthereexisttheidentifiersuffixes(""modifiers""):type_character,availableasanalternativetoanAsclauseforsomeprimitivedatatypes;nullable_specifier;andarray_specifier;andthatamodified_identifierisoftheformidentifier«type_character»«nullable_specifier»«array_specifier»;amodified_identifier_listisacomma-separatedlistoftwoormoreoccurrencesofmodified_identifier;andadeclarator_listisacomma-separatedlistofdeclarators,whichcanbeoftheformidentifierAsobject_creation_expression(objectinitializerdeclarator),modified_identifier«Asnon_array_type«array_rank_specifier»»«=initial_value»(singledeclarator),ormodified_identifier_list«As«non_array_type««array_rank_specifier»»(multipledeclarator);validdeclarationstatementsareoftheformDimdeclarator_list,where,forthepurposeofsemanticanalysis,toconvertthedeclarator_listtoalistofonlysingledeclarators:TheAsclausesofeachmultipledeclaratorisdistributedoveritsmodified_identifier_listTheAsNewtype...ofeachobjectinitializerdeclaratorisreplacedwithAstype=Newtype...andforwhich,foreachidentifier,atype_characterandAsclausedonotbothappear;ifanAsclauseispresent,anarray_rank_specifierdoesnotappearbothasamodificationoftheidentifierandonthetypeoftheAsclause;anunmodified_typecanbedetermined,bytherulethat,ifatype_characterorAsclauseispresent,unmodified_typeisthatspecifiedbysuchconstruct,andthatotherwise,eitherOptionInfermustbeonandtheidentifiermusthaveaninitializer,inwhichcaseunmodified_typeisthatoftheinitializer,orOptionStrictmustbeoff,inwhichcaseunmodified_typeisObject;itsfinal_typeisitsunmodified_typeprependedbeforeitsmodifiers;itsfinal_typeisavalidtype;andifaninitial_valueispresent,eitherOptionStrictisonandinitial_valuehasawideningconversiontofinal_type,orOptionStrictisoffandinitial_valuehasanarrowingconversiontofinal_type.IfOptionExplicitisoff,variablesdonotrequireexplicitdeclaration;theyaredeclaredimplicitlywhenused:name=initial_value","Seenotestoleft.Constantsusethesamesyntax,and:useConstinsteadofDimhavearestrictiontoonlycertainprimitivetypesConstname1«Astype»=value,name2«Astype»=value,...","Importssynonym=type"
"Xojo","Dimname«Astype»«=initial_value»","Seenotestoleft.Constantsusethesamesyntax,and:useConstinsteadofDimhavearestrictiontoonlycertainprimitivetypesConstname1«Astype»=value,name2«Astype»=value,...","N/A"
"Python","name«:type»=initial_value","N/A","synonym=type"
"CoffeeScript","name=initial_value","N/A"
"S-Lang","name=initial_value;","","typedefstruct{...}typename"
"Fortran","typename","type,PARAMETER::name=value",""
"PHP","$name=initial_value;","define(""name"",value);constname=value(5.3+)","N/A"
"Perl","«my»$name«=initial_value»;","useconstantname=>value;","N/A"
"Raku","«my«type»»$name«=initial_value»;","«my«type»»constantname=value;","::synonym::=type"
"Ruby","name=initial_value","Name=value","synonym=type"
"Scala","varname«:type»=initial_value","valname«:type»=value","typesynonym=type"
"WindowsPowerShell","«[type]»$name=initial_value","N/A","N/A"
"Bashshell","name=initial_value","N/A","N/A"
"OCaml","letname«:typeref»=refvalue","letname«:type»=value","typesynonym=type"
"F#","letmutablename«:type»=value","letname«:type»=value","typesynonym=type"
"StandardML","valname«:typeref»=refvalue","valname«:type»=value","typesynonym=type"
"Haskell","","«name::type;»name=value","typeSynonym=type"
"Forth","VARIABLEname(insomesystemsusevalueVARIABLEnameinstead)","valueCONSTANTname",""
"COBOL","level-numbernametypeclauses.","«0»1nameCONSTANT«AS»value.","level-numbernametypeclauses«IS»TYPEDEF."
"Mathematica","name=initial_value","N/A","N/A"
