"","while","dowhile","fori=firsttolast","foreach"
"Ada","whileconditionloopstatementsendloop","loopstatementsexitwhennotconditionendloop","forindexin«reverse»[first..last|discrete_type]loopstatementsendloop","foritemof«reverse»iteratorloopstatementsendloopor(for[all|some][in|of][first..last|discrete_type|iterator]=>predicate)"
"ALGOL68","«forindex»«fromfirst»«byincrement»«tolast»«whilecondition»dostatementsod","«forindex»«fromfirst»«byincrement»«tolast»«whilecondition»dostatementsod","«forindex»«fromfirst»«byincrement»«tolast»«whilecondition»dostatementsod","forkey«toupblist»do«typenameval=list[key];»statementsod"
"ALGOL68","«whilecondition»dostatementsod","forkey«toupblist»do«typenameval=list[key];»statementsod","«whilestatements;condition»dostatementsod","«forindex»«fromfirst»«byincrement»«tolast»dostatementsod"
"APL",":Whileconditionstatements:EndWhile",":Repeatstatements:Untilcondition",":Forvar«s»:Inliststatements:EndFor",":Forvar«s»:InEachliststatements:EndFor"
"C(C99)","instructionscanbeasinglestatementorablockintheformof:{statements}while(condition)instructions","doinstructionswhile(condition);","for(«type»i=first;i<=last;i++)instructions","N/A"
"Objective-C","instructionscanbeasinglestatementorablockintheformof:{statements}while(condition)instructions","doinstructionswhile(condition);","for(«type»i=first;i<=last;i++)instructions","for(typeiteminset)instructions"
"C++(STL)","instructionscanbeasinglestatementorablockintheformof:{statements}while(condition)instructions","doinstructionswhile(condition);","for(«type»i=first;i<=last;i++)instructions","«std::»for_each(start,end,function)SinceC++11:for(typeitem:set)instructions"
"C#","instructionscanbeasinglestatementorablockintheformof:{statements}while(condition)instructions","doinstructionswhile(condition);","for(«type»i=first;i<=last;i++)instructions","foreach(typeiteminset)instructions"
"Java","instructionscanbeasinglestatementorablockintheformof:{statements}while(condition)instructions","doinstructionswhile(condition);","for(«type»i=first;i<=last;i++)instructions","for(typeitem:set)instructions"
"JavaScript","instructionscanbeasinglestatementorablockintheformof:{statements}while(condition)instructions","doinstructionswhile(condition);","for(vari=first;i<=last;i++)instructions","SinceEcmaScript2015:for(varitemofset)instructions"
"PHP","instructionscanbeasinglestatementorablockintheformof:{statements}while(condition)instructions","doinstructionswhile(condition);","foreach(range(first,last)as$i)instructionsorfor($i=first;$i<=last;$i++)instructions","foreach(setasitem)instructionsorforeach(setaskey=>item)instructions"
"WindowsPowerShell","instructionscanbeasinglestatementorablockintheformof:{statements}while(condition)instructions","doinstructionswhile(condition);","for($i=first;$i-lelast;$i++)instructions","foreach(iteminset)instructions"
"D","instructionscanbeasinglestatementorablockintheformof:{statements}while(condition)instructions","doinstructionswhile(condition);","foreach(i;first...last)instructions","foreach(«type»item;set)instructions"
"Go","forcondition{instructions}","","fori:=first;i<=last;i++{instructions}","forkey,item :=rangeset{instructions}"
"Swift","whilecondition{instructions}","2.x:repeat{instructions}whilecondition1.x:do{instructions}whilecondition","fori=first...last{instructions}orfori=first..<last+1{instructions}orforvari=first;i<=last;i++{instructions}","foriteminset{instructions}"
"Perl","while(condition){instructions}oruntil(notcondition){instructions}","do{instructions}while(condition)ordo{instructions}until(notcondition)","for«each»«$i»(first..last){instructions}orfor($i=first;$i<=last;$i++){instructions}","for«each»«$item»(set){instructions}"
"Raku","whilecondition{instructions}oruntilnotcondition{instructions}","repeat{instructions}whileconditionorrepeat{instructions}untilnotcondition","forfirst..last->$i{instructions}orloop($i=first;$i<=last;$i++){instructions}","forset« ->$item»{instructions}"
