"","downcast","upcast"
"ABAPObjects","N/A","N/A"
"C++(STL)","","operatorreturntype(){instructions}"
"C#","staticexplicitoperatorreturntype(typeoperand){instructions}","staticimplicitoperatorreturntype(typeoperand){instructions}"
"D","","TopCast(T)()if(is(T==type)){instructions}"
"eC","","propertyT{get{return«conversioncode»;}}"
"Java","N/A","N/A"
"Objective-C","N/A"
"Eiffel","N/A"
"Python","N/A"
"VisualBasic.NET","SharedNarrowingOperatorCType(operandAstype)AsreturntypeinstructionsEndOperator","SharedWideningOperatorCType(operandAstype)AsreturntypeinstructionsEndOperator"
"PHP","N/A","N/A"
"Perl","N/A"
"Raku","","multimethodtype«($self:)»isexport{instructions}"
"Ruby","N/A","N/A"
"WindowsPowerShell","N/A"
"OCaml","N/A"
"F#","",""
"COBOL","N/A","N/A"
