"","Stringrepresentation","Stringrepresentation","Objectcopy","Valueequality","Objectcomparison","Hashcode","ObjectID"
"","Human-readable","Objectcopy","Valueequality","Objectcomparison","Hashcode","ObjectID","Source-compatible"
"ABAPObjects","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"APL(Dyalog)","?x","?SRCx","?NSx","x=y","N/A","N/A",""
"C++(STL)","","","","x==y","","","pointertoobjectcanbeconvertedintoanintegerID"
"C#","x.ToString()","","x.Clone()","x.Equals(y)","x.CompareTo(y)","x.GetHashCode()","System.Runtime.CompilerServices.RuntimeHelpers.GetHashCode(x)"
"Java","x.toString()","","x.clone()","x.equals(y)","x.compareTo(y)","x.hashCode()","System.identityHashCode(x)"
"JavaScript","x.toString()","","","","","",""
"D","x.toString()orstd.conv.to!string(x)","x.stringof","","x==yorx.opEquals(y)","x.opCmp(y)","x.toHash()",""
"eC","x.OnGetString(tempString,null,null)orPrintString(x)","","y.OnCopy(x)","","x.OnCompare(y)","","objecthandlecanbeconvertedintoanintegerID"
"Objective-C(Cocoa)","x.description","x.debugDescription","[xcopy]","[xisEqual:y]","[xcompare:y]","x.hash","pointertoobjectcanbeconvertedintoanintegerID"
"Swift","x.description","x.debugDescription","","x==y","x<y","x.hashValue","reflect(x).objectIdentifier!.uintValue()"
"Smalltalk","xdisplayString","xprintString","xcopy","x=y","","xhash","xidentityHash"
"Python","str(x)","repr(x)","copy.copy(x)","x==y","cmp(x,y)","hash(x)","id(x)"
"VisualBasic.NET","x.ToString()","","x.Clone()","x.Equals(y)","x.CompareTo(y)","x.GetHashCode()",""
"Eiffel","x.out","","x.twin","x.is_equal(y)","WhenxisCOMPARABLE,onecansimplydox<y","WhenxisHASHABLE,onecanusex.hash_code","WhenxisIDENTIFIED,onecanusex.object_id"
"PHP","$x->__toString()","","clonex","x==y","","","spl_object_hash(x)"
"Perl","""$x""","Data::Dumper->Dump([$x],['x'])","Storable::dclone($x)","","","","Scalar::Util::refaddr($x)"
"Raku","~x","x.perl","x.clone","xeqvy","xcmpy","","x.WHICH"
"Ruby","x.to_s","x.inspect","x.duporx.clone","x==yorx.eql?(y)","x<=>y","x.hash","x.object_id"
"WindowsPowerShell","x.ToString()","","x.Clone()","x.Equals(y)","x.CompareTo(y)","x.GetHashCode()",""
"OCaml","","","Oo.copyx","x=y","","Hashtbl.hashx","Oo.idx"
"F#","stringxorx.ToString()orsprintf""%O""x","sprintf""%A""x","x.Clone()","x=yorx.Equals(y)","comparexyorx.CompareTo(y)","hashxorx.GetHashCode()",""
"COBOL","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
