"","read-write","read-only","write-only"
"ABAPObjects","N/A","N/A","N/A"
"C++(STL)","N/A","N/A","N/A"
"C#","typeBar{get;set;}","typeBar{get;privateset;}","typeBar{privateget;set;}"
"D","N/A","N/A","N/A"
"Java","N/A","N/A","N/A"
"Objective-C2.0(Cocoa)","@property(readwrite)typebar;andtheninside@implementation@synthesizebar;","@property(readonly)typebar;andtheninside@implementation@synthesizebar;","N/A"
"Swift","varbar:type","letbar:type","N/A"
"Eiffel","","",""
"Python","@propertydefbar(self):Tab↹instructions@bar.setterdefbar(self,value):Tab↹instructions","@propertydefbar(self):Tab↹instructions","bar=property()@bar.setterdefbar(self,value):Tab↹instructions"
"VisualBasic.NET","PropertyBarAstype«=initial_value»(VB10)","",""
"PHP","","",""
"Perl","usebaseqw(Class::Accessor);__PACKAGE__->mk_accessors('Bar');","usebaseqw(Class::Accessor);__PACKAGE__->mk_ro_accessors('Bar');","usebaseqw(Class::Accessor);__PACKAGE__->mk_wo_accessors('Bar');"
"Raku","N/A","N/A","N/A"
"Ruby","attr_accessor:bar","attr_reader:bar","attr_writer:bar"
"WindowsPowerShell","","",""
"OCaml","N/A","N/A","N/A"
"F#","membervalBar=valuewithget,set","",""
"COBOL","level-numberbarclausesPROPERTY.","level-numberbarclausesPROPERTY«WITH»NOSET.","level-numberbarclausesPROPERTY«WITH»NOGET."
"Cobra","probarfromvar«astype»","getbarfromvar«astype»","setbarfromvar«astype»"
