"Format","Languages"
"string[startpos:endpos]","ALGOL68(changesbaseindex)"
"string(startpos..endpos)","Ada(changesbaseindex)"
"Mid(string,startpos,numChars)","VB"
"mid(string,startpos,numChars)","FreeBASIC"
"string[startpos+(?numChars)-~?IO]","APL"
"MID$(string,startpos,numChars)","BASIC"
"substr(string,startpos,numChars)","AWK(changesstring),Perl5,PHP"
"substr(string,startpos,numChars)string.substr(startpos,numChars)","Raku"
"substr(string,startpos«,numChars,padChar»)","Rexx"
"string[startpos:endpos]","Cobra,Python,Go"
"string[startpos,numChars]","PickBasic"
"string[startpos,numChars]string[startpos..endpos-1]string[startpos...endpos]","Ruby"
"string[startpos..endpos]string[startposlennumChars]","Seed7"
"string.slice(startpos«,endpos»)","JavaScript"
"string.substr(startpos«,numChars»)","C++(STL),JavaScript"
"string.Substring(startpos,numChars)","VB.NET,C#,WindowsPowerShell,F#"
"string.substring(startpos«,endpos»)","Java,JavaScript"
"copy(string,startpos,numChars)","ObjectPascal(Delphi)"
"(substringstringstartposendpos)","Scheme"
"(subseqstringstartposendpos)","CommonLisp"
"(subseqstringstartposendpos)","ISLISP"
"String.substringstartposnumChars","OCaml"
"substring(string,startpos,numChars)","StandardML"
"string:sub_string(string,startpos,endpos)string:substr(string,startpos,numChars)","Erlang"
"strncpy(result,string+startpos,numChars);","C"
"string[startpos..endpos+1]","D"
"takenumChars$dropstartposstring","Haskell"
"[stringsubstringWithRange:NSMakeRange(startpos,numChars)]","Objective-C(NSString*only)"
"string.[startpos..endpos]","F#"
"string.sub(string,startpos,endpos)(string):sub(startpos,endpos)","Lua"
"stringcopyFrom:startposto:endpos","Smalltalk"
"string(startpos:endpos)","Fortran"
"SUBSTRING(stringFROMstartpos«FORnumChars»)","SQL"
"StringTake[string,{startpos,endpos}]","Mathematica"
"string(startpos:numChars)","COBOL"
"stringrangestringstartposendpos","Tcl"
"string[startpos..endpos]string.get(startpos..endpos)","Rust"
