"Language","In-linecomment","Blockcomment"
"Ada,Eiffel,Euphoria,Occam,SPARK,ANSISQL,andVHDL","--InlineComment",""
"ALGOL60","","commentBlockComment;"
"ALGOL68","","¢BlockComment¢commentBlockCommentcommentcoBlockCommentco#BlockComment#£BlockComment£"
"APL","⍝InlineComment",""
"AppleScript","--InlineComment","(*BlockComment*)"
"Assemblylanguage(varies)",";InlineCommentoneexample(mostassemblylanguagesuselinecommentsonly)",""
"AutoHotkey",";InlineComment","/*BlockComment*/"
"AWK,Bash,Bourneshell,Cshell,Maple,R,Tcl,andWindowsPowerShell","#InlineComment","<#BlockComment#>"
"BASIC(variousdialects):","'InlineComment(notalldialects)*InlineComment(notalldialects)!InlineComment(notalldialects)REMInlineComment",""
"C(K&R,ANSI/C89/C90),CHILL,PL/I,andREXX","","/*BlockComment*/"
"C(C99),C++,Go,SwiftandJavaScript","//InlineComment","/*BlockComment*/"
"C#","//InlineComment///InlineComment(XMLdocumentationcomment)","/*BlockComment*//**BlockComment*/(XMLdocumentationcomment)"
"COBOLItoCOBOL85","*InlineComment(*incolumn7)",""
"COBOL2002","*>InlineComment",""
"Curl","||InlineComment","|#BlockComment#||foo#BlockComment#|"
"Cobra","#InlineComment","/#BlockComment#/(nestable)"
"D","//InlineComment///DocumentationInlineComment(ddoccomments)","/*BlockComment*//**DocumentationBlockComment*/(ddoccomments)/+BlockComment+/(nestable)/++DocumentationBlockComment+/(nestable,ddoccomments)"
"DCL","$!InlineComment",""
"ECMAScript(JavaScript,ActionScript,etc.)","//InlineComment","/*BlockComment*/"
"Forth","\InlineComment","(BlockComment)(singlelineaswellasmultiline)(before--after)stackcommentconvention"
"FORTRANItoFORTRAN77","CInlineComment(Cincolumn1)",""
"Fortran90","!InlineComment",""
"Haskell","--InlineComment","{-BlockComment-}"
"Java","//InlineComment","/*BlockComment*//**BlockComment*/(Javadocdocumentationcomment)"
"Julia","#InlineComment","#=BlockComment=#"
"LispandScheme",";InlineComment","#|BlockComment|#"
"Lua","--InlineComment","--[==[BlockComment]==](variablenumberof=signs)"
"Maple","#InlineComment","(*BlockComment*)"
"Mathematica","","(*BlockComment*)"
"Matlab","%InlineComment","%{BlockComment(nestable)%}Note:Bothpercent–bracketsymbolsmustbetheonlynon-whitespacecharactersontheirrespectivelines."
"Nim","#InlineComment","#[BlockComment]#"
"ObjectPascal","//InlineComment","(*BlockComment*){BlockComment}"
"OCaml","","(*BlockComment(*nestable*)*)"
"Pascal,Modula-2,Modula-3,Oberon,andML:","","(*BlockComment*)"
"PerlandRuby","#InlineComment","=beginBlockComment=cut(=endinRuby)(PODdocumentationcomment)__END__Commentsafterendofcode"
"PHP","#InlineComment//InlineComment","/*BlockComment*//**DocumentationBlockComment*/(PHPDoccomments)"
"PILOT","R:InlineComment",""
"PLZ/SYS","","!BlockComment!"
"PL/SQLandTSQL","--InlineComment","/*BlockComment*/"
"Prolog","%InlineComment","/*BlockComment*/"
"Python","#InlineComment","'''BlockComment'''""""""BlockComment""""""(Documentationstringwhenfirstlineofmodule,class,method,orfunction)"
"R","#InlineComment",""
"Raku","#InlineComment","#`{BlockComment}=commentThiscommentparagraphgoesuntilthenextPODdirectiveorthefirstblankline."
"Red",";InlineComment","{BlockComment}"
"Rust","//InlineComment///InlineComment(""Outer""rustdoccomment)//!InlineComment(""Inner""rustdoccomment)","/*BlockComment*/(nestable)/**BlockComment*/(""Outer""rustdoccomment)/*!BlockComment*/(""Inner""rustdoccomment)"
"SAS","","*BlockComment;/*BlockComment*/"
"Seed7","#InlineComment","(*BlockComment*)"
"Simula","","commentBlockComment;!BlockComment;"
"Smalltalk","","""BlockComment"""
"Smarty","","{*BlockComment*}"
"StandardML","","(*BlockComment*)"
"TeX,LaTeX,PostScript,Erlang,ElixirandS-Lang","%InlineComment",""
"Texinfo","@cInlineComment@commentInlineComment",""
"TUTOR","*InlineCommentcommand$$InlineComment",""
"VisualBasic","'InlineCommentRemInlineComment",""
"VisualBasic.NET","'InlineComment'''InlineComment(XMLdocumentationcomment)RemInlineComment",""
"VisualProlog","%InlineComment","/*BlockComment*/"
"WolframLanguage","","(*BlockComment*)"
"Xojo","'InlineComment//InlineCommentremInlineComment",""
