"Software","Web-based","Hostedon-premises","SaaS","License","Programminglanguage"
"24SevenOffice","Yes","No","Yes","Proprietary",""
"Actionspace","Yes","No","Yes","Proprietary",""
"AnyChart(AnyGantt)","Yes","Yes","Yes","Proprietary","JavaScript"
"ApacheAllura","Yes","Yes","","ApacheLicense","Python"
"ApacheOFBiz","Yes","Yes","Yes","ApacheLicense","Java,XML,FreeMarker,Groovy,JavaScript"
"ApacheBloodhound","Yes","Yes","Yes","ApacheLicense","Python"
"Asana","Yes","No","Yes","Proprietary",""
"Assembla","Yes","Yes","Yes","Proprietary",""
"Axosoft","Yes","Yes","Yes","Proprietary",""
"Basecamp","Yes","No","Yes","Proprietary","Ruby"
"BigGantt","Yes","Yes","Yes","Proprietary","Java,Angular"
"BigPicture","Yes","Yes","Yes","Proprietary","Java,Angular"
"CalligraPlan","No","File-based","No","GPL","C++andJava"
"CEITON","Yes","Yes","Yes","Proprietary","ASP.NET,JavaScript"
"Clarizen","Yes","No","Yes","Proprietary",""
"ClubhouseSoftware","Yes","","Yes","Proprietary","Clojure,JavaScript"
"ConceptDrawProject","No","Yes","No","Proprietary",""
"ConceptDrawPLAN","Yes","No","Yes","Proprietary","PHPandJava"
"CopperProject","Yes","Yes","Yes","Proprietary",""
"dotProject","Yes","Yes","Yes","GPL","PHP"
"DynaRoad","No","Unknown","Unknown","Proprietary",""
"Easyprojects","Yes","Yes","Yes","Proprietary","ASP.NET"
"EndeavourSoftwareProjectManagement","Yes","Unknown","Unknown","GPL","Java"
"eGroupWare","Yes","Unknown","Unknown","GPL","PHP"
"enQuire","Yes","Unknown","Yes","Proprietary","Java"
"FastTrackSchedule","No","Yes","No","Proprietary",""
"FengOfficeCommunityEdition","Yes","Yes","Yes","AGPLv3","PHP"
"FinancialForce.com","Yes","Unknown","Yes","Proprietary",""
"FogBugz","Yes","Yes","Yes","Proprietary","ASP.NET"
"Fossil-scm","Yes","Yes","Yes","2-clauseBSDlicense","SQLiteandC"
"Freedcamp","Yes","No","Yes","Proprietary",""
"FusionForge","Yes","Yes","Unknown","GPL","PHP"
"GanttProject","No","Yes","Unknown","GPL","Java"
"GeniusProject","Yes","Yes","Yes","Proprietary",""
"Goalscape","Yes","Yes","Yes","Proprietary",""
"Group-Office","Yes","Yes","Yes","Proprietary",""
"GroveSite","Yes","Unknown","Yes","Unknown",""
"Hall.com","Yes","Unknown","Yes","Unknown",""
"HelixALM","Yes","Yes","Yes","Proprietary","C++"
"HeySpace","Yes","No","Yes","Proprietary","JavaScript"
"HPProject&PortfolioSoftware","Yes","Yes","Unknown","Proprietary",""
"Huddle","Yes","Unknown","Unknown","Proprietary",""
"Hyperoffice","Yes","Unknown","Unknown","Proprietary",""
"iManageProject","Yes","Unknown","Yes","Unknown",""
"InLoox","Yes","Yes","Yes","Proprietary",""
"in-StepBLUE","Yes","Yes","No","Proprietary",""
"IRise","Yes","Yes","Yes","Proprietary","Java"
"Jira","Yes","Yes","Yes","Proprietary","Java"
"Launchpad","Yes","No","Yes","AGPL","Python"
"Leantime","Yes","Yes","Yes","GPL","PHP"
"LibrePlan","Yes","Yes","Yes","AGPL","Java"
