"Software","APA","Chicago/Turabian","Harvard","MLA","Other","Extensionmethod"
"Bebop","No","No","No","No","none","none"
"BibBase","Yes","No","No","No","none","none"
"BibDesk","Yes","yes","No","No","various","BibDeskexporttemplates"
"Biblioscape","Yes","Yes","Yes","Yes","2000+styles","Biblioscapeformat(throughGUI)"
"BibSonomy","Yes","No","Yes","No","none","none"
"Bibus","Yes","No","No","No","56styles,user-contributed","bibusformat(throughGUI)"
"Bookends","Yes","Yes","Yes","Yes","various","?"
"Citavi","Yes","Yes","Yes","Yes","11500+styles.Stylescanberequestedandarecentrallycorrected;anyBibTeXstylewhenusedwithLaTeX.","Citaviformat(throughGUI),includesconditionsandprogrammablecomponents;BibTeX"
"CiteULike","Yes","Yes","Yes","Yes","various","none"
"colwiz","Yes","Yes","Yes","Yes","9464styles","CSL"
"EndNote","Yes","Yes","Yes","Yes","6926styles","EndNoteformat(throughGUI)"
"JabRef","Yes","Yes","Yes","Yes","anyBibTeXstyle","BibTeX"
"KBibTeX","Yes","Yes","Yes","Yes","anyBibTeXstyle","BibTeX"
"Mendeley","Yes","Yes","Yes","Yes","9464styles","CSL"
"Paperpile","Yes","Yes","Yes","Yes","9464styles","CSL"
"Pybliographer","Yes","No","No","No","none","PybliographerXML"
"Qiqqa","Yes","Yes","Yes","Yes","9464styles","BibTeXandCSL"
"ReadCube(nowPapers)","Yes","Yes","Yes","Yes","9464styles","BibTeXandCSL"
"refbase","Yes","Yes","Yes","Yes","variouspolar&marinejournals","PHP"
"RefDB","Yes","Yes","Yes","Yes","21biomedical&lawjournals","XML(citestylex.dtd),interactivescript"
"ReferenceManager","Yes","Yes","Yes","Yes","various","ReferenceManagerformat(throughGUI)"
"Referencer","?","?","?","?","?","?"
"RefME","?","?","?","?","?","?"
"RefWorks","Yes","Yes","Yes","Yes","4256,plusCSLstyles","RefWorksformat(throughGUI);CSL"
"SciRef","Yes","Yes","Yes","Yes","various","SciRefformat(throughGUI)"
"Sente","Yes","Yes","Yes","Yes","various","Senteformat(throughGUI)"
"Wikindx","Yes","Yes","Yes","Yes","ABNT,BMJ,IEEE","Wikindxformat(throughGUI)"
"WizFolio","Yes","Yes","Yes","Yes","1000+styles","WizFolioformat(throughGUI)"
"Zotero","Yes","Yes","Yes","Yes","9464styles.Stylescanbeeditedandrequested.","CSL"
