"Software","ArXiv","CiteSeer","IEEEXplore","PubMed","Unpaywall","Other"
"Bebop","No","No","No","No","No","No"
"BibBase","No","No","No","No","No","DBLP,Zotero,BibSonomy,Mendeley"
"BibDesk","Yes","Yes","No","Yes","No","ACMportal,Jstor,DBLP,GoogleScholar,WebofScience,anyZ39.50orEntrez,andothers"
"Biblioscape","No","No","No","Yes","No","Importfromintegratedwebbrowser"
"BibSonomy","Yes","Yes","Yes","Yes","No","various"
"Bibus","No","No","No","Yes","No","none"
"Bookends","Yes","No","No","Yes","No","WebofScience,Amazon,GoogleScholar,Z39.50"
"Citavi","Yes","Yes","Yes","Yes","No","WorldCat/OCLC,Ovid,EBSCO,ProQuest,WebofScience,Z39.50(4500+onlineresources),SRU.Furthercatalogsareaddeduponrequest.Browserplugins(Firefox,Chrome,InternetExplorer)supportDOIlookup,ISBNlookup,PubMedIDlookup,PMCIDlookup,arXivIDlookup,COinSandimportfromWikipedia."
"CiteULike","Yes","Yes","Yes","Yes","No","various[4]"
"colwiz","Yes","Yes","Yes","Yes","No","Over30repositories,Importfromintegratedwebbrowser"
"EndNote","Yes","No","Yes","Yes","No","variousanyZ39.50"
"JabRef","Yes","Yes","Yes","Yes","Yes","ACMPortal,CrossRef,DBLP,DOAJ,DOI,GVK,GoogleScholar,INSPIRE-HEP,Medline,MathSciNet,SAO/NASAAstrophysicsDataSystem,Springer,andzbMATH"
"KBibTeX","Yes","Yes","Yes","Yes","No","BibSonomy,CiteBase,CSB,DBLP,GoogleScholar,ScienceDirect,INSPIRE-HEP,ZMATH,Z39.50"
"Mendeley","Yes","Yes","Yes","Yes","No","various[5]"
"Paperpile","Yes","No","No","Yes","No","GoogleScholar"
"Pybliographer","No","No","No","Yes","No","none"
"Qiqqa","Yes","No","Yes","Yes","No","GoogleScholar,JSTOR"
"ReadCube(nowPapers)","Yes","No","Yes","Yes","No","MicrosoftAcademic,GoogleScholar"
"refbase","Yes","No","No","Yes","No","DOIlookup"
"RefDB","Yes","No","No","Yes","No","anyZ39.50"
"ReferenceManager","No","No","No","Yes","No","various"
"Referencer","?","?","?","?","No","?"
"RefME","?","?","?","?","?","?"
"RefWorks","No","No","No","Yes","No","various"
"SciRef","No","No","No","No","No","No"
"Sente","Yes","Yes","Yes","Yes","No","Z39.50,SRU,WebofKnowledge"
"Wikindx","No","No","No","Yes","No","No"
"WizFolio","Yes","No","Yes","Yes","No","various"
"Zotero","Yes","Yes","Yes","Yes","Yes","various"
