"","Temporarytable","Materializedview"
"4thDimension","Yes","No"
"ADABAS","?","?"
"AdaptiveServerEnterprise","Yes","Yes–seeprecomputedresultsets"
"AdvantageDatabaseServer","Yes","No(onlycommonviews)"
"Altibase","Yes","No(onlycommonviews)"
"ApacheDerby","Yes","No"
"ClustrixDB","Yes","No"
"CUBRID","No","No"
"DB2","Yes","Yes"
"EmpressEmbeddedDatabase","Yes","Yes"
"EXASolution","Yes","No"
"Firebird","Yes","No(onlycommonviews)"
"HSQLDB","Yes","No"
"H2","Yes","No(onlycommonviews)"
"InformixDynamicServer","Yes","No"
"Ingres","Yes","No"
"InterBase","Yes","No"
"LinterSQLRDBMS","Yes","Yes"
"LucidDB","No","No"
"MariaDB","Yes","No"
"MaxDB","Yes","No"
"MicrosoftAccess(JET)","No","No"
"MicrosoftVisualFoxpro","Yes","Yes"
"MicrosoftSQLServer","Yes","Yes"
"MicrosoftSQLServerCompact(EmbeddedDatabase)","Yes","No"
"MimerSQL","No","No"
"MonetDB","Yes","No(onlycommonviews)"
"MySQL","Yes","No"
"Oracle","Yes","Yes"
"OracleRdb","Yes","Yes"
"OpenLinkVirtuoso","Yes","Yes"
"PervasivePSQL","Yes","No"
"PolyhedraDBMS","No","No(onlycommonviews)"
"PostgreSQL","Yes","Yes"
"RaimaDatabaseManager","Yes","No"
"RDMServer","Yes","No"
"SAPHANA","Yes","?"
"solidDB","Yes","No(onlycommonviews)"
"SQLAnywhere","Yes","Yes"
"SQLite","Yes","No"
"Superbase","Yes","Yes"
"Teradata","Yes","Yes"
"UniData","Yes","No"
"UniVerse","Yes","No"
"","Temporarytable","Materializedview"
