"ResearchNetworkingTool","LinktoProductPage","Developer/Owner","OpenSource","Adopters"
"AcademicLabs","AcademicLabs","AcademicLabs","No","Toppharmaceuticalcompanies,biotechcompanies,academicsfromhundredsofuniversities,worldwide."
"ActivityInsight","ActivityInsight","DigitalMeasures","No","Hundredsofmajorresearchinstitutionsaroundtheworld"
"C-IKNOW","C-IKNOW","ScienceofNetworksinCommunities(SONIC)-NorthwesternUniversity","Yes","NationalCancerInstitute,NationalScienceFoundation"
"PROFILESbyMentis(formerlyCollaborativePartnership/ProfileSystem)","PROFILESbyMentis]","Inknowledge,Inc(previouslyUniversityofTexasatArlington)","No(Profilesisavailableinafreeforeverplan)","UTArlington,UTPanAmerican,UniversityofNorthTexasHealthScienceCenter,UTElPaso,UTSanAntonio,UTTyler,UTHealthScienceCenter,UniversityofNorthTexas(formerly),UTDallas,UTHealthCenteratTyler,TexasChristianUniversity,GulfCoastConsortia:RiceUniversity,BaylorCollegeofMedicineandseveralothers)"
"CommunityAcademicProfiles-CAP","CommunityAcademicProfiles","StanfordUniversity","No","StanfordUniversity"
"Converis","Converis","ClarivateAnalytics","No","Severaluniversities,governmentsandfundersacrossNorthandSouthAmerica,Europe,MiddleEast,NorthAfrica,SubSaharanAfricaandAsia."
"CurvitaProfileManager","CurvitaProfileManager","SciMedSolutions","No","UniversityofNorthCarolina,UniversityofVirginia,DukeUniversity"
"CUSP-ColumbiaUniversityScientificProfiles","CUSP","ColumbiaUniversity","No","ColumbiaUniversity"
"DigitalVita","DigitalVita","CenterforDentalInformatics-UniversityofPittsburgh","Yes","UniversityofPittsburgh,PittHealthSciencesCenter"
"Dimensions","Dimensions","DigitalScience","No","UniversityofMichigan,UniversityofMassachusetts-Lowell,UniversityofCaliforniaSanDiego.Seecasestudies."
"Elsevier'sPure","Pure","Elsevier","No","250implementationsworldwidecontainingprofilesforover185,000researcherprofiles.SeePureclientlist."
"Elsevier'sSciVal","SciVal","Elsevier","No","Over200adoptersworldwide"
"EpernicusSolutions&EpernicusNetwork","Epernicus","Epernicus","No(butEpernicusNetworkisfreetouse)","Harvard,MIT,IndianaUniversity,Stanford,UniversityofCaliforniaBerkeley(butnotexclusively)"
"Epistemio","Epistemio","Epistemio","No","N/A(platformisdirectedtowardindividualresearcheruse)"
"ERIMMemberProfileSystem(ERIMMIS)","PeopleERIMPeopleprofilesystem","ErasmusResearchInstituteofManagement,ErasmusUniversityRotterdam,Netherlands","No","ErasmusUniversity"
"Esploro","Esploro","ExLibris","No",">10inearlyadopterprogram;Ex-LibrishasalargepresenceinthehigherEducationcommunity"
"EUREKA!EnhancingStudentResearch","EUREKA","UniversityofTexasatAustin(UTA)","No","UniversityofTexasatAustin"
"Expertise@Maryland","UMExperts","UniversityofMaryland","Yes(willbe)","UniversityofMarylandCollegePark"
"FacultyProfileSystem","UCIrvineFacultyProfileSystem","UniversityofCaliforniaIrvine","No","UCIrvine"
"FacultyProfilesSystem","StonyBrookUniversityFacultyProfilesSystem","StonyBrookUniversity","No","StonyBrookUniversity"
"FacultyResearchInformationProfile(FRIP)","Discontinued.Workonthissystemceased;movedontodevelopingDigitalVita","UniversityofPittsburgh","N/A","(formerly)UniversityofPittsburgh"
"FacultyScholarlyProductivityIndex","AcademicAnalytics","AcademicAnalytics,LLC","No","Unknown"
"Faculty180","Faculty180","Interfolio","No","InstitutionsofhighereducationintheUnitedStatesandCanada."
"GENIUS","InfoEdGENIUS","InfoEdGlobal","No","ManyBigTen/CICinstitutions"
"Google","Googlesearchgeneratedfromaninstitution'shomepageorGooglesearchlimitedtoonlyonedomain(e.g.university.edu)","Google","No(butanyonecanaccessGoogle)","Anyonecanaccess"
"HUBzero","HUBzero","PurdueUniversity","Yes","IndianaCTSI,IndianaUniversity,PurdueUniversity,NotreDame"
"iamResearcher","iamResearcher","UniversityofSouthampton,UK","Unknown","N/A(platformisdirectedtowardindividualresearcheruse)"
"iAMscientist","iAMscientist","iAMscientist.inc","No","Unknown"
"i2iConnect","i2iConnect","IndianaUniversity","No(butoriginalsoftwarefromThemesJoomlais)","N/A(platformisdirectedtowardindividualresearcheruse)"
"InCites","InCites","ClarivateAnalytics","No","Unknown"
"INDURE(IndianaDatabaseforUniversityResearchExpertise)","INDURE","IndianaUniversity/PurdueUniversity","No","BallState,IndianaUniversity,PurdueUniversity,UniversityofNotreDame"
"IRIS(InstitutionalResearchInformationSystem)","IRIS","CINECA","Yes(willbeinCERIFmodeinfirsthalfof2016)","60universities"
"Knode","Knode","Knode","No","Multiple,anyonecanuse,collaboratingwithVIVOandUCSF"
"LattesPlatform","Lattes","CNPq-Brazil","Unknown","N/A(PlatformisdirectedtowardindividualresearcheruseinBrazil)"
"LatticeGrid","LatticeGridpublicWiki","NorthwesternUniversityClinicalandTranslationalSciencesInstitute(NUCATS)-BiomedicalInformaticsCenter(NUBIC)","Yes","NorthwesternFeinbergSchoolofMedicine&CancerCenter,UCSFCancerCenter,FoxChaseCancerCenter,UniversityofMichigan,CaseWesternUniversity"
"LinkedIn","LinkedIn","LinkedIn","No(butLinkedInisfreetouse)","N/A(Platformisdirectedtowardindividualresearcheruse.Millionsofusersareregisteredglobally.)"
"LifeScienceNetwork","LifeScienceNetwork","LifeScienceNetworkgGmbH","Yes(uponrequest)","Anyonecanuse."
"Loki","Loki","UniversityofIowa","No","UniversityofIowaInstituteforClinicalandTranslationalScience"
"Lyterati","Lyterati","EntigenceCorporation","No","GeorgeWashingtonUniversity,TheNewSchool,LehighUniversity"
"McCormickCollaborationVisualizationTool","CollaborationatMcCormick","NorthwesternUniversity","No","McCormickSchoolofEngineeringandAppliedScienceatNorthwesternUniversity"
"Mendeley","Mendeley","Elsevier","No","Anyonecanuse"
"MizzouLinks","noneavailable","UniversityofMissouri","Unknown","UniversityofMissouri"
"MyScienceWork","MyScienceWork","Unknown","No(butanyonecanregisterandusethenetwork)","Anyonecanregisteranduse.Thenetworkisdirectedattheindividualresearcher"
"OSU:pro","OSU:pro","OhioStateUniversity","No(butcanbelicensed)","OhioStateUniversity"
"Pivot","Pivot","ProQuest,LLC","No","100universitycampusesandresearchorganizationsglobally"
"Portfolio&Showroom","Portfolio&Showroom","UniversityofAppliedArtsVienna","Yes(ApacheLicense)","UniversityofAppliedArtsVienna,AcademyofFineArtsVienna,BerthavonSuttnerPrivatuniversität,CatholicPrivateUniversityofLinz,MozarteumUniversitySalzburg(testing),(sourcecode)"
"ProfilesResearchNetworkingSoftware","Profiles","HarvardUniversity","Yes(BSDlicense)","Harvard,UCSF,andmanyothers(seeProfilesusers)"
"REACHNCLifeScienceExpertsVisualizationTool","REACHNC","RENCI(RenaissanceComputingInstitute,acollaborationbetweenUniversityofNorthCarolinaatChapelHill,DukeUniversityandNorthCarolinaStateUniversity)DukeResearchTriangleInstituteUniversityofNorthCarolinaGeneralAdministration","No(butfreetothepublic)","AppalachianStateUniversityDukeUniversityEastCarolinaUniversityElizabethCityStateUniversityFayettevilleStateUniversityNCA&TNorthCarolinaCentralUniversityNorthCarolinaStateUniversityRTIInternationalUNC-AshevilleUniversityofNorthCarolinaatChapelHillUNC-CharlotteUNC-GreensboroUNC-PembrokeUNC-WilmingtonWesternCarolinaUniversityWinston-SalemStateUniversity"
"ResearchAccelerator","YCCIResearchAccelerator","ResearchAccelerator.org","Unknown","YaleUniversity"
"ResearcherID","ResearcherID","ClarivateAnalytics","No(butResearcherIDnetworkisfreetoaccessandusebyindividualusers)","N/A(Platformisdirectedtowardindividualresearcheruse)"
"ScholarBridge","ScholarBridge","ScholarBridgeLLC","No","14universitymembersandfreeaccessforanyindividualstudentorresearcher"
"SciENcv","SciENcv","ApilotprogramsponsoredbytheFederalDemonstrationPartnershipandtheNationalScienceandTechnologyCouncil(NSTC)supportedbytheSTARMETRICSprogram","Yes","SponsoredbytheFederalDemonstrationPartnershipandtheNSTC'sinteragencygroups:ResearchBusinessModel(RBM)andScienceofSciencePolicy(SoSP)"
"SymplecticElements","SymplecticElements","DigitalScience","No(However,anopensource[1]isavailable.)","115+majorresearchinstitutionsaroundtheworld,includingtheUniversityofCambridge(UK),UniversityofOxford(UK),UniversityofMelbourne(AUS),DukeUniversity(US),UniversityofAuckland(NZ),TuftsUniversity(US),andUniversityofMichigan(US).(seeSomeofSymplectic'sclients)"
"UNIWeb","UNIWeb","Proximify","No","UniversityofOttawa,McGillUniversity,DalhousieUniversity,UniversityofBritishColumbiaOkanaganCampus,Écoledetechnologiesupérieure,CIMVHR"
"VIVO","VIVO","Duraspace","Yes","CornellUniversity,UniversityofFlorida,WashingtonUniversityinSt.Louis,WeillCornellMedicalCollege,IndianaUniversity,PonceSchoolofMedicine,ScrippsResearchInstitute,DukeUniversity,UniversityofColoradoatBoulder,NorthwesternUniversity,UniversityofNebraska,UniversityofMelbourne,GriffithUniversity,ChineseAcademyofSciences,etc.Therearecurrentlyover140VIVOimplementationsintheUnitedStatesandinternationalVIVOprojectsinover25countries."
"WorkWeb","WebWorkatarchive.org","ColumbiaUniversity","No","ColumbiaUniversity"
"Yaffle","Yaffle","MemorialUniversityofNewfoundland","Yes","MemorialUniversityofNewfoundland"
