"Server","Developedby","Softwarelicense","Laststableversion","Latestreleasedate"
"AOLserver","NaviSoft","Mozilla","4.5.2","2012-09-19(discontinued)"
"ApacheHTTPServer","ApacheSoftwareFoundation","Apache","2.4.49","2021-09-15"
"ApacheTomcat","ApacheSoftwareFoundation","Apache","10.0.11","2021-09-11"
"Boa","JonNelsonandLarryDoolittle","GNUGPL","0.94.13","2002-07-30(discontinued)"
"BusyBoxhttpd","GlennEngel,VladimirOleynik,BusyBoxTeam","GNUGPL","1.34.0","2020-08-19"
"Caddy","MattHolt","Apache","2.4.2","2021-06-17"
"Caudium","TheCaudiumGroup","GNUGPL","1.4.18","2012-02-24"
"CherokeeHTTPServer","ÁlvaroLópezOrtega","GNUGPL","1.2.103","2013-04-21"
"GlassFish","SunMicrosystems,OracleCorporation,since2019EclipseFoundation","EclipsePublicLicense&GNUGeneralPublicLicense","6.2.1","2021-08-27"
"Hiawatha","HugoLeisink","GNUGPLv2","10.12","2021-03-25"
"HFS","Rejetto","GNUGPL","2.3m","2018-08-16"
"IBMHTTPServer","IBM","Non-freeproprietary","9.0.5.4","2020-06-12"
"InternetInformationServices","Microsoft","Non-freeproprietary","10.0.17763.1","2018-10-02"
"Jetty","EclipseFoundation","Apache","11.0.6x","2021-03-29"
"Jexus","BingLiu","Non-freeproprietary","6.2.x","2020"
"lighttpd","JanKneschke(Incremental)","BSDvariant","1.4.64","2022-01-19"
"LiteSpeedWebServer","LiteSpeedTechnologies","Non-freeproprietary","5.4.8","2020-07-01"
"Mongoose","CesantaSoftware","GNUGPLv2/proprietarylicense","6.18","2020-05-21"
"MonkeyHTTPServer","MonkeySoftware","Apache","1.6.9","2016-06-04"
"NaviServer","Various","Mozilla1.1","4.99.23","2021-12-31"
"NCSAHTTPd","RobertMcCool","Non-freeproprietary","1.5.2a","1996-10-08(discontinued)"
"Nginx","NGINX,Inc.","BSDvariant","1.21.0","2021-05-25"
"OpenBSDhttpd","ReykFloeter","ISC","5.8","2015-08-18"
"OpenLinkVirtuoso","OpenLinkSoftware","GNUGPLandproprietaryversions","8.3.3316","2020-03-10"
"OpenLiteSpeedWebServer","LiteSpeedTechnologies","GNUGPL","1.7.6","2020-11-10"
"OracleHTTPServer","OracleCorporation","Non-freeproprietary","12cR2(12.2.1.4)","Unknown"
"OracleiPlanetWebServer","OracleCorporation","BSD","7.0.27","2017-10-01"
"OracleWebLogicServer","OracleCorporation(formerlyBEASystems)","Non-freeproprietary","14c(14.1.1.0)","2020-03-30"
"ResinOpenSource","CauchoTechnology","GNUGPLv3/proprietarylicense","4.0.65","2020-07-29"
"ResinProfessional","CauchoTechnology","Non-freeproprietary","4.0.65","2020-07-29"
"thttpd","JefPoskanzerforACMELaboratories","BSDvariant","2.29","2018-05-24"
"TUXwebserver","IngoMolnár","GNUGPL","3.2.6.18","2006-09-20(discontinued)"
"WakandaServer","Wakanda","GNUAGPLv3/proprietarylicense","2.7.0","2019-04-29(Discontinued)"
"WEBrick","RubyCommunity","BSD2-clause","1.6.0","2019-11-30"
"WebServerforChrome","KyleGraehl","MIT","0.5.2","2021-04-06"
"Xitami","iMatixCorporation","BSD","5.0a0","2009-02-19(discontinued)"
"Yaws","ClaesWikström","BSDvariant","2.0.7","2019-07-14"
"ZeusWebServer","ZeusTechnology","Non-freeproprietary","4.3r5","2010-01-13(discontinued)"
"Zope","ZopeCorporation","Zope","2.13.30","2020-02-14"
"Server","Developedby","Softwarelicense","Laststableversion","Latestreleasedate"
