"NameofGPUseries","Wonder","Mach","3DRage","RagePro","Rage128","R100","R200","R300","R400","R500","R600","RV670","R700","Evergreen","NorthernIslands","SouthernIslands","SeaIslands","VolcanicIslands","ArcticIslands/Polaris","Vega","Navi1X","Navi2X"
"Released","1986","1991","1996","1997","1998","Apr2000","Aug2001","Sep2002","May2004","Oct2005","May2007","Nov2007","Jun2008","Sep2009","Oct2010","Jan2012","Sep2013","Jun2015","Jun2016","Jun2017","Jul2019","Nov2020"
"MarketingName","Wonder","Mach","3DRage","RagePro","Rage128","Radeon7000","Radeon8000","Radeon9000","RadeonX700/X800","RadeonX1000","RadeonHD2000","RadeonHD3000","RadeonHD4000","RadeonHD5000","RadeonHD6000","RadeonHD7000","RadeonRx200","RadeonRx300","RadeonRX400/500","RadeonRXVega/RadeonVII(7nm)","RadeonRX5000","RadeonRX6000"
"AMDsupport","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kind","2D","3D","3D","3D","3D","3D","3D","3D","3D","3D","3D","3D","3D","3D","3D","3D","3D","3D","3D","3D","2D","3D"
"Instructionset","Notpubliclyknown","TeraScaleinstructionset","GCNinstructionset","RDNAinstructionset","GCNinstructionset","GCNinstructionset","GCNinstructionset","TeraScaleinstructionset","TeraScaleinstructionset","TeraScaleinstructionset","Notpubliclyknown","Notpubliclyknown","Notpubliclyknown","Notpubliclyknown","Notpubliclyknown","Notpubliclyknown","Notpubliclyknown","Notpubliclyknown","Notpubliclyknown","TeraScaleinstructionset","GCNinstructionset","RDNAinstructionset"
"Microarchitecture","TeraScale1","TeraScale1","Notpubliclyknown","TeraScale1","TeraScale2(VLIW5)","TeraScale3(VLIW4)","GCN1stgen","GCN2ndgen","GCN3rdgen","GCN4thgen","GCN5thgen","RDNA","RDNA2"
"Type","Fixedpipeline","Programmablepixel&vertexpipelines","Unifiedshadermodel","Unifiedshadermodel","Unifiedshadermodel","Unifiedshadermodel","Unifiedshadermodel","Unifiedshadermodel","Unifiedshadermodel","Unifiedshadermodel","Unifiedshadermodel","Unifiedshadermodel","Unifiedshadermodel","Programmablepixel&vertexpipelines","Programmablepixel&vertexpipelines","Fixedpipeline","Fixedpipeline","Fixedpipeline","Fixedpipeline","Fixedpipeline","Programmablepixel&vertexpipelines","Unifiedshadermodel"
"Direct3D","N/A","N/A","6.0","5.0","6.0","7.0","8.1","9.011(9_2)","9.0b11(9_2)","10.111(10_1)","11(11_0)","9.0c11(9_3)","11(12_0)12(12_0)","11(12_1)12(12_1)","11(12_0)12(12_0)","10.011(10_0)","10.111(10_1)","11(11_0)","11(11_1)12(11_1)","11(12_0)12(12_0)","11(12_1)12(12_1)","11(12_1)12(12_2)"
"Shadermodel","N/A","N/A","N/A","N/A","N/A","N/A","4.1","5.0","1.4","5.16.3","6.4","5.16.3","2.0+","2.0b","3.0","4.0","4.1","5.0","5.1","5.16.3","6.4","6.5"
"OpenGL","N/A","N/A","N/A","1.3","2.1","3.3","4.5(onLinux:4.5(Mesa3D21.0))","4.6(onLinux:4.6(Mesa3D20.0))","4.6(onLinux:4.6(Mesa3D20.0))","4.6(onLinux:4.6(Mesa3D20.0))","4.6(onLinux:4.6(Mesa3D20.0))","4.6(onLinux:4.6(Mesa3D20.0))","4.6(onLinux:4.6(Mesa3D20.0))","3.3","2.1","1.1","1.2","1.3","2.1","3.3","4.5(onLinux:4.5(Mesa3D21.0))","4.6(onLinux:4.6(Mesa3D20.0))"
