"Model","Launch","Codename","Fab(nm)","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","Fillrate","Memory","Memory","Memory","Fillrate","Fillrate","Fillrate","Memory"
"Model","Launch","Codename","Fab(nm)","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","MOperations/s","MPixels/s","MTexels/s","MVertices/s","Size(MB)","Bandwidth(GB/s)","Bustype","Buswidth(bit)"
"RadeonX550XT","Jan.24,2007","RV410(alto)","110","400","300","4:6:4:8","1600","3200","1600","600","128","4.89.6","DDRGDDR3","64128"
"RadeonX550XTX","Jan.24,2007","RV410(alto)","110","400","300","8:6:8:8","3200","3200","3200","600","128","4.89.6","DDRGDDR3","64128"
"RadeonX700SE","Apr.1,2005","RV410(alto)","110","400","200250","4:6:4:8","1600","3200","1600","600","128","3.2","DDR","64"
"RadeonX700LE","Dec.21,2004","RV410(alto)","110","400","250","8:6:8:8","3200","DDR","64","3200","3200","600","128","4"
"RadeonX1050(RV410)","Jan,25,2008","RV410(alto)","8:6:8:8","3200","3200","110","400","200","128,256","6.4","DDR","3200","128","600"
"RadeonX700","Sept.2005","RV410(alto)","128,256","8:6:8:8","128","3200","3200","110","400","250350","811.2","3200","DDR","600"
"RadeonX700Pro","Dec.21,2004","RV410(alto)","8:6:8:8","110","128","425","432","3400","3400","3400","637.5","128,256","13.824","GDDR3"
"RadeonX700XT","NeverReleased","RV410(alto)","8:6:8:8","110","128","475","525","3800","3800","GDDR3","3800","712.5","128,256","16.8"
"RadeonX740XL","Mar.7,2005(MedionOEM)","RV410(alto)","8:6:8:8","110","128","425","450","3400","3400","GDDR3","3400","637.5","128","14.4"
"RadeonX800GT128MB","Aug.1,2005","R423R480(thor)","130","475","175","8:6:8:16","3800","7600","3800","712.5","128","22.4","DDR","256"
"RadeonX800GT256MB","Aug.1,2005","R423R480(thor)","130","475","490","8:6:8:16","3800","7600","3800","712.5","256","31.36","GDDR3","256"
"RadeonX800","Dec.1,2004","R430(thor)","110","GDDR3","392","350","12:6:12:16","4704","6272","4704","588","128,256","22.4","256"
"RadeonX800GTO128MB","Sept.15,2005","R423R480R430(thor)","130110","GDDR3","350","12:6:12:16","400","4800","6400","4800","600","128","22.4","256"
"RadeonX800GTO256MB","Sept.15,2005","R423R480R430(thor)","130110","400","4800","6400","4800","600","490","256","31.36","GDDR3","256","12:6:12:16"
"RadeonX800Pro","May5,2004","256","R423(thor)","130","GDDR3","475","12:6:12:16","450","5700","7600","5700","712.5","28.8","256"
"RadeonX800XL","Dec.1,2004(256MB)May4,2005(512MB)","R430(thor)","110","GDDR3","400","490","16:6:16:16","6400","6400","6400","600","256,512","31.36","256"
"RadeonX800XT","Dec.1,2004","R423(thor)","130","GDDR3","500","16:6:16:16","500","8000","8000","8000","750","256","32","256"
"RadeonX800XTPlatinumEdition","May5,2004","R423(thor)","130","520","560","GDDR3","8320","16:6:16:16","8320","256","8320","780","35.84","256"
"RadeonX850Pro","Dec.1,2004","R480(thor)","130","507","GDDR3","520","12:6:12:16","6084","8112","256","6084","760.5","33.28","256"
"RadeonX850XT","Dec.1,2004","R480(thor)","520","540","130","16:6:16:16","GDDR3","8320","8320","8320","780","256","34.56","256"
"RadeonX850XTCrossFireMaster","Sept.29,2004","540","16:6:16:16","8320","8320","8320","780","R480(thor)","520","130","34.56","GDDR3","256","256"
"RadeonX850XTPlatinumEdition","Dec.21,2004","R480(thor)","16:6:16:16","540","130","590","GDDR3","8640","8640","8640","810","256","37.76","256"
"Model","Launch","Codename","Fab(nm)","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","MOperations/s","MPixels/s","MTexels/s","MVertices/s","Size(MB)","Bandwidth(GB/s)","Bustype","Buswidth(bit)"
"Fillrate","Memory","Memory","Memory","Fillrate","Fillrate","Model","Launch","Codename","Fab(nm)","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","Fillrate","Memory"
