"Model","Launch","Codename","Fab(nm)","Transistors(million)","Diesize(mm)","Businterface","Clockrate","Clockrate","Fillrate","Memory","Processingpower(GFLOPS)","TDP(Watts)","Memory","APIsupport(version)","APIsupport(version)","Memory","Coreconfig","Fillrate","Memory","Processingpower(GFLOPS)","TDP(Watts)","CrossfireSupport","APIsupport(version)","ReleasePrice(USD)"
"Model","Launch","Codename","Fab(nm)","Transistors(million)","Diesize(mm)","Businterface","Core(MHz)","Coreconfig","Memory(MHz)","Pixel(GP/s)","Texture(GT/s)","Size(MB)","CrossfireSupport","Bandwidth(GB/s)","ReleasePrice(USD)","Bustype","Buswidth(bit)","Singleprecision","Doubleprecision","Idle","Max.","Direct3D","OpenGL","OpenCL,ATIStream"
"RadeonHD3410","May7,2009","RV610","65","180","85","PCIe1.0x16","519","396","40:4:4","2.08","2.08","256","6.34","DDR2","64","41.52","No","","20","No","10.0","3.3","No,Yes","?"
"RadeonHD3450","Jan23,2008","RV620LE","55","181","67","PCIe2.0x16PCIAGP8x","600","500","40:4:4","2.40","2.40","256512","8.00","DDR2","64","48.0","No","","25","No","10.1","3.3","No,Yes","?"
"RadeonHD3470","Jan23,2008","RV620PRO","55","181","67","PCIe2.0x16","800","950","3.20","3.20","256512","15.2","DDR2GDDR3","40:4:4","64.0","10.1","No","30","64","","No","3.3","No,Yes","?"
"RadeonHD3550","RV620PRO","PCIe2.0x16","Aug4,2008","594","55","181","67","396","2.38","2.38","30","512","6.34","DDR2","40:4:4","47.52","No","64","10.1","","No","3.3","No,Yes","?"
"RadeonHD3570","RV620PRO","PCIe2.0x16","Jul5,2010","796","55","512","181","DDR2","67","495","3.18","3.18","30","7.92","63.68","No","40:4:4","64","","No","10.1","3.3","No,Yes","?"
"RadeonHD3610","Sep24,2009","RV630PRO","65","390","153","PCIe1.0x16","594","DDR2","396","120:8:4","2.38","4.75","5121024","12.7","128","142.6","10.1","No","35","","No","3.3","No,Yes","?"
"RadeonHD3650","Jan23,2008","RV635PRO","55","378","153","PCIe2.0x16AGP8x","725","405800","120:8:4","2.90","5.80","2565121024","13.025.6","128","DDR2GDDR3GDDR4","174.0","No","65","10.1","2-wayCrossfire","","3.3","No,Yes","?"
"RadeonHD3730","Oct5,2008","RV635PRO","55","378","135","PCIe2.0x16","722","405","2.89","5.78","512","120:8:4","13.0","DDR2","65","173.3","No","128","No","","3.3","10.1","No,Yes","?"
"RadeonHD3750","Oct5,2008","135","PCIe2.0x16","796","RV635PRO","55","378","512","693","3.18","6.37","22.2","GDDR3","191.0","No","120:8:4","2-wayCrossfire","","65","3.3","No,Yes","128","?","10.1"
"RadeonHD3830","Apr1,2008","RV670PRO","PCIe2.0x16","55","666","GDDR3","192","668","2-wayCrossfire","828","320:16:16","10.7","10.7","256","26.5","427.5","85.4","128","75","$129","10.1","","3.3","No,Yes"
"RadeonHD3850","Nov19,2007","RV670PRO","666","192","668","PCIe2.0x16AGP8x","320:16:16","10.7","10.7","55","830900","427.5","2565121024","75","53.157.6","GDDR3GDDR4","256","85.4","4-wayCrossfire","$179","","3.3","No,Yes","10.1"
"RadeonHD3870","Nov19,2007","PCIe2.0x16AGP8x","RV670XT","777","666","GDDR3GDDR4","256","192","4-wayCrossfire","55","9001126","320:16:16","12.4","12.4","5121024","57.672.1","497.3","99.2","106","$219","","3.3","No,Yes","10.1"
"RadeonHD3850X2","Apr4,2008","RV670PRO","55","666×2","192×2","PCIe2.0x16","668","828","320:16:16×2","10.7×2","10.7×2","512×2","53.0×2","GDDR3","256×2","855.0","10.1","171","140","","2-wayCrossfire","$349","3.3","No,Yes"
"RadeonHD3870X2","Jan28,2008","R680","666×2","192×2","PCIe2.0x16","55","825","320:16:16×2","9011802Mbps","13.2×2","512×2","13.2×2","57.6×2","256×2","GDDR3","0,528×21,056TFLOP","105.6×2","2-wayCrossfire","165","$449","","3.3","No,Yes","10.1"
