"Model","Launch","ModelNumber","Codename","Fab(nm)","Businterface","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","Fillrate","Memory","APIcompliance(version)","Memory","Memory","Fillrate","Memory","APIcompliance(version)","Processingpower(GFLOPS)","Notes"
"Model","Launch","ModelNumber","Codename","Fab(nm)","Businterface","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","Pixel(GP/s)","Texture(GT/s)","Size(MB)","Processingpower(GFLOPS)","Notes","Bandwidth(GB/s)","Bustype","Buswidth(bit)","Direct3D","OpenGL"
"MobilityRadeonX2300","March1,2007","M64","RV515","90","PCIex16","480","400","2:4:4:4","1.92","1.92","128","6.412.8","DDRDDR2GDDR3","64128","9.0c","2.0","Unknown","renamedproduct,HyperMemory,noUVD,PowerPlay6.0"
"MobilityRadeonX2500","June1,2007","M66","RV530","90","PCIex16","460","400","5:12:4:4","1.84","1.84","256","12.8","DDRDDR2GDDR3","128","9.0c","2.0","Unknown","basedonX1600/1700,HMupto768Mb,noUVD,PowerPlay6.0"
"MobilityRadeonHD2300","March1,2007","M71","RV515","90","PCIex16","480","400","2:4:4:4","1.92","1.92","128256512","6.412.8","DDRDDR2GDDR3","64128","9.0c","2.0","Unknown","sameasX2300,butwithUVD,PowerPlay6.0"
"MobilityRadeonHD2400","May14,2007","M72S","RV610","65","PCIex16","450","400","40:4:4","1.8","1.8","256+HyperMemory","6.4","DDR2","64","10.0","2.0(3.3)","36","UVD,PowerPlay7.0"
"MobilityRadeonHD2400XT","May14,2007","M72M","RV610","65","600600","40:4:4","400700","2.4","256+HyperMemory","PCIex16","2.4","64","10.0","2.0(3.3)","6.411.2","UVD,PowerPlay7.0","DDR2GDDR3","48"
"MobilityRadeonHD2600","May14,2007","M76M","RV630","65","500500","400600","DDR2GDDR3","PCIex16","120:8:4","256+HyperMemory","2.0","4.0","12.819.2","10.0","2.0(3.3)","128","UVD,PowerPlay7.0","120"
"MobilityRadeonHD2600XT","May14,2007","RV630","M76XT","680","120:8:4","65","750","2.72","128","PCIex16","5.44","256+HyperMemory","24","GDDR3","168","10.0","2.0(3.3)","UVD,PowerPlay7.0"
"MobilityRadeonHD2700","December12,2007","RV630","M76","650","120:8:4","65","GDDR3","168","700","PCIex16","128","2.6","5.2","256+HyperMemory(total768)","22.4","10.0","2.0(3.3)","UVD,PowerPlay7.0"
