"Model","Launch","Micro-archi-tecture","Core","Fab(nm)","Businterface","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","Fillrate","Memory","Memory","APIcompliance(version)","APIcompliance(version)","Memory","Fillrate","Memory","Processingpower(GFLOPS)","APIcompliance(version)","Notes"
"Model","Launch","Micro-archi-tecture","Core","Fab(nm)","Businterface","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","Pixel(GP/s)","Texture(GT/s)","Size(MB)","Bandwidth(GB/s)","Notes","Bustype","Buswidth(bit)","Singleprecision","Direct3D","OpenGL","Vulkan"
"FireGL8700","2001","R200","Radeon8500","150","AGP","250","270","2:4:8:4","1","2","64","8.64","DDR","64×2","Unknown","8.1","1.4","N/A",""
"FireGL8800","2001","R200","Radeon8500","150","AGP","300","290","2:4:8:4","1.2","2.4","128","9.28","DDR","64×2","Unknown","8.1","1.4","N/A",""
"FireGLT2-64","2003","R300","Radeon9600Pro","130","AGP","325","200","2:4:4:4","1.3","1.3","64","6.4","DDR","128","Unknown","9.0","2.0","N/A",""
"FireGLT2-128","2003","R300","Radeon9600Pro","130","400","320","2:4:4:4","1.6","1.6","AGP","128","128","10.2","9.0","2.0","Unknown","DDR","N/A",""
"FireGLZ1-128","2002","R300","Radeon9500Pro","150","128","325","AGP","310","4:4:4:4","1.3","1.3","19.8","256","Unknown","9.0","2.0","DDR","N/A",""
"FireGLX1-128","2002","Radeon9700","150","325","310","R300","4:8:8:8","2.6","19.8","256","128","2.6","AGP","Unknown","DDR","N/A","","9.0","2.0"
"FireGLX1-256","2002","4:8:8:8","2.6","2.6","Radeon9700Pro","150","R300","310","AGPPro","325","256","19.8","256","Unknown","DDR","N/A","","9.0","2.0"
"FireGLX2-256","2003","4:8:8:8","R300","256","150","Radeon9800Pro","AGP","380","350","3.04","3.04","256","22.4","DDR2","Unknown","N/A","","9.0","2.0"
"FireGLX2-256T","2003","Radeon9800XT","AGP","4:8:8:8","R300","256","150","412","DDR2","344","3.3","3.3","22.0","Unknown","256","N/A","","9.0","2.0"
"FireGLX3-256","2004","R300","AGP","RadeonX800XT","256","130","450","450","6:12:12:12","5.4","5.4","256","28.8","GDDR3","Unknown","9.0b","N/A","2.0",""
"FireGLV3100","2005","R300","RadeonX300XT","110","PCIex16","400","200","2:4:4:4","1.6","1.6","128","6.4","DDR","128","2.0","Unknown","9.0","N/A",""
"FireGLV3200","2005","RadeonX600XT","R300","PCIex16","130","500","2:4:4:4","400","2","128","2","12.8","128","DDR2","Unknown","9.0b","N/A","","2.0"
"FireGLV3300","2006","R500","Radeon1300Pro","400","PCIex16","90","600","2:4:4:4","2.4","2.4","128","6.4","GDDR2","64","Unknown","9.0c","N/A","2.0",""
"FireGLV3350","2006","R500","Radeon1300Pro","90","600","2.4","2.4","256","6.4","GDDR2","64","Unknown","9.0c","N/A","400","PCIex16","","2.0","2:4:4:4"
"FireGLV3400","2006","R500","Radeon1600Pro/XT","90","500","500","PCIex16","5:12:4:4","2","2","128","16.0","9.0c","GDDR3","128","Unknown","N/A","","2.0"
"FireGLV3600","2007","Tera-Scale1","RV630GL,HD2600Pro","PCIex16","65","600","500","16.0","GDDR3","128","120(24×5):8:4:3","2.4","4.8","256","144","10","3.3","ShaderModel4.0,APPStream","N/A"
"FireGLV5000","2005","R400","RadeonX700Pro/XT","PCIex16","130","425","430","6:8:8:8","GDDR3","128","3.4","3.4","128","13.6","Unknown","9.0b","2.0","","N/A"
"FireGLV5100","2005","R400","RadeonX800Pro","130","450","350","PCIex16","6:12:12:12","5.4","128","5.4","22.4","9.0b","2.0","","DDR","256","Unknown","N/A"
"FireGLV5200","2005","R500","RadeonX1600XT","90","PCIex16","600","700","5:12:4:4","2.4","2.4","256","22.4","GDDR3","2.0","","128","Unknown","9.0c","N/A"
"FireGLV5600","2007","Tera-Scale1","R630GL,HD2600XT","65","PCIe","800","1100","120(24×5):8:4:3","3.2","6.4","512","128","35.2","GDDR4","192","10","3.3","ShaderModel4.0,APPStream","N/A"
"FireGLV7100","2005","R400","RadeonX800XT","130","PCIe","500","450","6:16:16:16","8","8","256","28.8","GDDR3","256","Unknown","9.0c","2.0","","N/A"
"FireGLV7200","2006","R500","RadeonX1800XT","90","PCIex16","600","6:16:16:16","650","9.6","256","9.6","GDDR3","256","41.6","9.0c","2.0","","Unknown","N/A"
"FireGLV7300","2006","R500","R520GL,X1800XT","90","PCIe","600","650","9.6","9.6","41.6","512","Unknown","N/A","6:16:16:16","GDDR3","256","9.0c","2.0",""
"FireGLV7350","R520GL,X1800XT","PCIe","2006","R500","1024","90","Unknown","600","650","9.6","9.6","41.6","N/A","6:16:16:16","GDDR3","256","9.0c","2.0",""
"FireGLV7400","2006(Canceled)","PCIe","R500","RadeonX1950Pro","80","550?","650?","8:36:16:16","19.8?","19.8?","512?","41.6?","Unknown","GDDR3","256","neverreleased,supersededby2007series","9.0c","2.0","N/A"
"FireGLV7600","2007","PCIe","80","Tera-Scale1","R600GL,HD2900GT","600","800","240(48×5):12:12:3","9.6","9.6","512","51.2","288","GDDR3","256","10","3.3","ShaderModel4.0,APPStream","N/A"
"FireGLV7700","2007(2008)","Tera-Scale1","R670GL,HD3870","55","PCIe2.0","775","1125","320(64×5):16:16:4","512","12.4","12.4","72","3.3","GDDR4","496","256","10.1(SM4.1)","DisplayPort.CandodoubleprecisioncomputationviatheAMDStreamSDK.","N/A"
"FireGLV8600","2007","Tera-Scale1","R600GL,HD2900XT","80","PCIe","688","868","320(64×5):16:16:4","11.01","11.01","GDDR4","1024","111.1","3.3","512","440.32","10","ShaderModel4.0,APPStream","N/A"
"FireGLV8650","2007","R600GL,HD2900XT","80","PCIe","688","868","320(64×5):16:16:4","11.01","11.01","2048","Tera-Scale1","512","440.32","10","ShaderModel4.0,APPStream","111.1","N/A","3.3","GDDR4"
