"Graphics","Launch","Market","Chipset","Chipset","DeviceID","Pixelpipelines","Memory","APIsupport","Hardwareacceleration","Hardwareacceleration","APIsupport","APIsupport","Clockrate(MHz)","Memory","APIsupport","Hardwareacceleration"
"Graphics","Launch","Market","Codename","DeviceID","Pixelpipelines","Clockrate(MHz)","Name","DVMT(MB)","Bandwidth(GB/s)","Shadermodel(vertex/pixel)","Direct3D","OpenGL","OpenCL","MPEG-2","VC-1","AVC"
"GMA900","2004","Desktop","Grantsdale","910GL","2582258A","4","333","128","3.2","3.0(SW)/2.0","9.0(NoWDDMnorAerosupport)","1.41.42.1ES2.0","No","MC","No","No"
"GMA900","2004","Desktop","Grantsdale","915GL","2582258A","4","333","128","3.2","3.0(SW)/2.0","9.0(NoWDDMnorAerosupport)","1.41.42.1ES2.0","No","MC","No","No"
"GMA900","2004","Desktop","Grantsdale","915GV","2582258A","4","333","128","8.5","3.0(SW)/2.0","9.0(NoWDDMnorAerosupport)","1.41.42.1ES2.0","No","MC","No","No"
"GMA900","8.5","2004","Desktop","Grantsdale","915G","2582258A","4","333","128","3.0(SW)/2.0","9.0(NoWDDMnorAerosupport)","1.41.42.1ES2.0","No","MC","No","No"
"GMA900","8.5","2005","Mobile","Alviso","Mobile915Family","2592","4","133–333","128","3.0(SW)/2.0","9.0(NoWDDMnorAerosupport)","1.41.42.1ES2.0","No","MC","No","No"
"2005","GMA950","8.5","Desktop","Lakeport","945GZ","2772","400","4","256","9.0cFL9_1","3.0(SW)/2.0","1.41.42.1ES2.0","No","MC","No","No"
"GMA950","Desktop","Lakeport","2005","2772","400","256","9.0cFL9_1","945GC","10.7","4","3.0(SW)/2.0","1.41.42.1ES2.0","No","MC","No","No"
"GMA950","10.7","Desktop","Lakeport","2005","2772","400","256","9.0cFL9_1","945G","4","3.0(SW)/2.0","1.41.42.1ES2.0","No","MC","No","No"
"GMA950","10.7","2006","Mobile","Calistoga","Mobile945Family","27A227AE","256","9.0cFL9_1","166–400","4","3.0(SW)/2.0","1.41.42.1ES2.0","No","MC","No","No"
"GMA3100","2007","Desktop","Bearlake","Q33","29D2","256","9.0cFL9_1","4","400","12.8","3.0(SW)/2.0","1.41.42.1ES2.0","No","MC","No","No"
"GMA3100","2007","Desktop","Bearlake","Q35","29B2","400","12.8","4","3.0(SW)/2.0","1.41.42.1ES2.0","No","256","9.0cFL9_1","MC","No","No"
"GMA3100","2007","Desktop","Bearlake","G31","29C2","400","12.8","4","3.0(SW)/2.0","1.41.42.1ES2.0","No","256","9.0cFL9_1","MC","No","No"
"GMA3100","29C2","2007","Desktop","Bearlake","G33","12.8(DDR2)17(DDR3)","400","Variable-LengthDecoding(VLD)+iDCT+MC(Full)","4","3.0(SW)/2.0","1.41.42.1ES2.0","256","9.0cFL9_1","No","No","No"
"GMA3150","2010","Variable-LengthDecoding(VLD)+iDCT+MC(Full)","Nettop","Pineview","AtomD4xxAtomD5xx","A001","400","2","9.0cFL9_1","384","6.4","1.52.1ES2.0","3.0(SW)/2.0","No","No","No"
"GMA3150","2010","Netbook","Pineview","AtomN4xxAtomN5xx","Variable-LengthDecoding(VLD)+iDCT+MC(Full)","2","384","A011","1.52.1ES2.0","200","5.3","3.0(SW)/2.0","No","9.0cFL9_1","No","No"
