"Model","Features","Features","Features"
"Model","ScalableLinkInterface(SLI)","PureVideo2withVP2Engine:(BSPand240AES)","PureVideo4withVP4Engine"
"GeForce210","No","No","Yes","Yes","Yes"
"GeForceGT220","No","No","Yes"
"GeForceGT240","No","No","Yes"
"GeForceGTS250","Yes3-Way(4-wayforEVGA285Classified)","Yes","No"
"GeForceGTX260","Yes3-Way(4-wayforEVGA285Classified)","Yes","No"
"GeForceGTX260Core216","Yes3-Way(4-wayforEVGA285Classified)","Yes","No"
"GeForceGTX260Core216(55nm)","Yes3-Way(4-wayforEVGA285Classified)","Yes","No"
"GeForceGTX275","Yes3-Way(4-wayforEVGA285Classified)","Yes","No"
"GeForceGTX280","Yes3-Way(4-wayforEVGA285Classified)","Yes","No"
"GeForceGTX285","Yes3-Way(4-wayforEVGA285Classified)","Yes","No"
"GeForceGTX295","Yes","Yes","No"
