"Model","Launch","Codename","Process","Transistors(billion)","Diesize(mm)","Coreconfig","Businterface","L2Cache(MB)","Clockspeeds","Memory","Fillrate","Processingpower(TFLOPS)","Ray-tracingPerformance","Ray-tracingPerformance","Processingpower(TFLOPS)","Releaseprice(USD)","Processingpower(TFLOPS)","Memory","Memory","Clockspeeds","Clockspeeds","Memory","Fillrate","Processingpower(TFLOPS)","Ray-tracingPerformance","TDP(Watts)","NVLinksupport","Releaseprice(USD)"
"Model","Launch","Codename","Process","Transistors(billion)","Diesize(mm)","Coreconfig","Businterface","L2Cache(MB)","Basecoreclock(MHz)","Boostcoreclock(MHz)","Memory(MT/s)","Size(GB)","Bandwidth(GB/s)","TDP(Watts)","NVLinksupport","Bustype","Buswidth(bit)","Pixel(GP/s)","Texture(GT/s)","Singleprecision","Doubleprecision","Halfprecision","Tensorcompute(FP16)(2:1sparse)","Rays/s(Billions)","RTXOPS/s(Trillions)","RayPerfTFLOPS","MSRP","FoundersEdition"
"GeForceRTX3050","January27,2022","GA106-150-A1","Samsung8N","13.25","276","2560:80:48:80:20(20)(2)","PCIe4.0x8","2","1552","1777","14000","8","224.0","GDDR6","128","74.585.3","124.2142.2","7.959.01","0.1240.142","7.959.01","63.672.8","","","18.2","130","No","","$249"
"GeForceRTX3060","February25,2021","GA106-300-A1","Samsung8N","13.25","276","3584:112:48:112:28(28)(3)","PCIe4.0x16","3","1320","1777","15000","12","360.0","GDDR6","192","63.485.3","147.8199.0","9.4612.74","0.1480.199","9.4612.74","75.7101.9","","","25","170","No","","$329"
"GeForceRTX3060","September1,2021","GA104-150-A1","3584:112:48:112:28(28)(3)","PCIe4.0x16","3","1320","1777","15000","12","360.0","192","63.485.3","147.8199.0","9.4612.74","0.1480.199","9.4612.74","75.7101.9","","","25","170","","$329","17.4","Samsung8N","392.5","GDDR6","No"
"GeForceRTX3060Ti","December2,2020","17.4","392.5","GA104-200-A1","Samsung8N","PCIe4.0x16","4864:152:80:152:38(38)(6)","4","1410","1665","14000","8","448.0","256","112.8133.2","214.3253.1","GDDR6","13.7216.20","0.2140.253","13.7016.20","109.7129.6","","","32.4","200","","$399","No"
"GeForceRTX3070","October29,2020","17.4","392.5","4","GA104-300-A1","Samsung8N","14000","8","448.0","256","PCIe4.0x16","5888:184:96:184:46(46)(6)","1500","1725","144.0165.6","276.0317.4","17.6620.31","0.2760.318","17.6620.37","141.31162.98","","GDDR6","","40.6","220","","$499","No"
"GeForceRTX3070Ti","June10,2021","17.4","392.5","4","GA104-400-A1","Samsung8N","PCIe4.0x16","8","6144:192:96:192:48(48)(6)","256","1575","1770","19000","608.3","GDDR6X","151.18169.9","302.36339.8","19.3521.75","0.3020.340","19.3521.75","154.8174.0","","","43.5","290","","$599","No"
"GeForceRTX3080","September17,2020","GA102-200-KD-A1","Samsung8N","PCIe4.0x16","28.3","19000","628.4","GDDR6X","8704:272:96:272:68(68)(7)","5","1440","1710","10","760.0","320","138.2164.2","391.68465.12","25.0729.77","0.3920.465","25.0629.76","200.54238.14","","","59.5","320","","$699","No"
"GeForceRTX3080","January27,2022","GA102-220-A1","28.3","628.4","8960:280:104:280:70(70)(7)","Samsung8N","PCIe4.0x16","6","19000","1260","GDDR6X","1710","12","912.0","384","131.0177.8","352.8478.8","22.630.6","0.3530.479","22.630.6","180.6245.1","","","61.3","350","","No"
"GeForceRTX3080Ti","June3,2021","GA102-225-A1","6","28.3","628.4","12","912.0","384","Samsung8N","PCIe4.0x16","10240:320:112:320:80(80)(7)","19000","1395","GDDR6X","1665","153.5186.5","438.5532.8","350","28.5734.71","0.4380.533","28.0634.10","228.6272.8","","","68.2","","$1199","No"
"GeForceRTX3090","September24,2020","GA102-300-A1","6","28.3","628.4","Samsung8N","PCIe4.0x16","384","10496:328:112:328:82(82)(7)","1395","1695","GDDR6X","19500","24","935.8","156.2189.8","457.6555.96","350","29.2835.58","0.4590.558","29.3835.68","235.08285.48","","","71.1","2-wayNVLink","","$1499"
