"Model","Codename","Fab(nm)","Businterface","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","Fillrate","Memory","SupportedAPIversion","Memory","Memory","Fillrate","Memory","SupportedAPIversion","TDP(Watts)","Notes"
"Model","Codename","Fab(nm)","Businterface","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","Pixel(GP/s)","Texture(GT/s)","Size(MB)","TDP(Watts)","Notes","Bandwidth(GB/s)","Bustype","Buswidth(bit)","Direct3D","OpenGL"
"QuadroFX350","G72","90","PCIex16","550","400","3:4:4:2","1.1","2.2","128","6.4","DDR2","64","9.0c","2.1","21",""
"QuadroFX550","NV43","110","PCIex16","360","400","4:8:8:8","2.88","2.88","128","12.8","GDDR3","128","9.0c","2.1","30",""
"QuadroFX1500","G71","90","PCIex16","325","625","6:16:16:16","5.2","GDDR3","5.2","256","40.0","256","65","9.0c","2.1",""
"QuadroFX3500","G71","90","450","660","PCIex16","7:20:20:16","7.2","256","9","256","42.2","GDDR3","80","Stereodisplay,SLI","9.0c","2.1"
"QuadroFX4500","G70","110","PCIex16","430","525","8:24:24:16","6.88","Stereodisplay,SLI","GDDR3","10.3","256","512","33.6","109","9.0c","2.1"
"QuadroFX4500SDI","G70","110","430","525","8:24:24:16","6.88","10.3","512","33.6","116","Stereodisplay,Genlock","PCIex16","9.0c","2.1","GDDR3","256"
"QuadroFX4500X2","G71","90","PCIex16","500","605","2x8:24:24:16","2x8","GDDR3","2x12","2x512","2x38.7","2x256","145","9.0c","2.1","Stereodisplay,SLI,Genlock"
"QuadroFX4500rev.A2","G71","90","650","800","PCIex16","8:24:24:16","10.4","15.6","512","GDDR3","51.2","Stereodisplay,SLI,Genlock","256","105","9.0c","2.1"
"QuadroFX5500","650","G71","8:24:24:16","10.4","15.6","90","505","256","1024","PCIex16","32.3","DDR2","96","9.0c","2.1","Stereodisplay,SLI,Genlock"
"QuadroFX5500SDI","505","1024","32.3","DDR2","650","G71","8:24:24:16","10.4","15.6","90","104","256","PCIex16","9.0c","2.1","Stereodisplay,SLI,Genlock"
