"Model","Launch","Codename","Fab(nm)","Transistors(million)","Diesize(mm²)","Businterface","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","Fillrate","Memory","Memory","Memory","Fillrate","Fillrate","Fillrate","Memory"
"Model","Launch","Codename","Fab(nm)","Transistors(million)","Diesize(mm²)","Businterface","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","MOperations/s","MPixels/s","MTexels/s","MVertices/s","Size(MB)","Bandwidth(GB/s)","Bustype","Buswidth(bit)"
"GeForceFX5100","March2003","NV34","TSMC150nm","45","124","AGP8x","200","166","4:2:4:4","800","800","800","50","64128","2.7","DDR","64"
"GeForceFX5200LE","March2003","NV34","TSMC150nm","45","124","AGP8x","250","166","4:2:4:4","1000","1000","1000","62.5","64128256","2.75.3","DDR","64128"
"GeForceFX5200","250","1000","1000","1000","62.5","64128256","March2003","NV34","TSMC150nm","45","124","AGP8xPCI","200","3.26.4","4:2:4:4","64128","DDR"
"GeForceFX5200Ultra","March6,2003","NV34","TSMC150nm","45","124","64128256","AGP8x","325","325","4:2:4:4","1300","1300","1300","81.25","10.4","128","DDR"
"GeForcePCX5300","March17,2004","NV34","TSMC150nm","45","124","PCIex16","250","166","4:2:4:4","1000","1000","1000","62.5","128256","2.7","DDR","64"
"GeForceFX5500","March2004","NV34B","TSMC140nm","45","91","AGP8xAGP4xPCI","270","200","4:2:4:4","1080","1080","1080","67.5","64128256","3.26.4","DDR","64128"
"GeForceFX5600XT","October2003","NV31","TSMC130nm","80","121","AGP8x","235","200","940","4:2:4:4","940","940","58.75","64128","3.26.4","64128","DDR"
"GeForceFX5600","March2003","NV31","TSMC130nm","80","121","AGP8xPCI","325","275","1300","1300","1300","81.25","4:2:4:4","64128256","8.8","128","DDR"
"GeForceFX5600Ultra","March6,2003","NV31","TSMC130nm","80","121","AGP8x","350","350","1400","1400","128","1400","87.5","4:2:4:4","64128","11.2","DDR"
"GeForceFX5600UltraRev.2","March6,2003","AGP8x","400","NV31","TSMC130nm","80","121","400","64128","1600","1600","1600","100","128","12.8","4:2:4:4","DDR"
"GeForceFX5700VE","September2004","AGP8x","NV36","IBM130nm","82","133","235","200","4:3:4:4","940","940","940","106.5","128256","3.26.4","64128","DDR"
"GeForceFX5700LE","March2004","NV36","IBM130nm","82","133","AGP8xPCI","200","4:3:4:4","250","1000","1000","1000","128256","3.26.4","64128","187.5","DDR"
"GeForceFX5700","2003","NV36","IBM130nm","82","133","AGP8x","425","4:3:4:4","16","1700","1700","1700","128256","318.75","8","128","DDR"
"GeForcePCX5750","March17,2004","NV36","425","16","1700","1700","1700","318.75","8","128","IBM130nm","82","133","PCIex16","128","4:3:4:4","DDR"
"GeForceFX5700Ultra","October23,2003","NV36","IBM130nm","82","133","AGP8x","475","4:3:4:4","450","128","1900","1900","1900","356.25","128256","14.4","GDDR2"
"GeForceFX5700UltraGDDR3","March15,2004","AGP8x","475","NV36","1900","1900","1900","356.25","128256","IBM130nm","82","133","475","15.2","4:3:4:4","GDDR3","128"
"GeForceFX5800","January27,2003","AGP8x","NV30","TSMC130nm","125","199","400","400","4:2:8:4","1600","128","1600","3200","200","128","12.8","GDDR2"
"GeForceFX5800Ultra","January27,2003","NV30","TSMC130nm","125","199","500","AGP8x","4:2:8:4","500","2000","2000","200","128","4000","GDDR2","16","128"
"GeForceFX5900ZT","December15,2003","AGP8x","TSMC130nm","NV35","135","207","325","350","4:3:8:4","1300","1300","2600","128","343.75","22.4","DDR","256"
"GeForceFX5900XT","December15,2003","NV35","135","207","AGP8x","350","4:3:8:4","TSMC130nm","390","1600","1600","22.4","DDR","256","3200","300","128"
"GeForceFX5900","May2003","NV35","1600","1600","3200","300","135","207","AGP8x","TSMC130nm","4:3:8:4","400","425","27.2","128","DDR","256"
"GeForceFX5900Ultra","May12,2003","NV35","425","27.2","135","207","AGP8x","TSMC130nm","4:3:8:4","450","1800","1800","3600","337.5","DDR","256","128256"
"GeForcePCX5900","March17,2004","450","1800","1800","3600","337.5","128256","NV35","425","27.2","135","207","PCIex16","TSMC130nm","4:3:8:4","DDR","256"
"GeForceFX5950Ultra","October23,2003","NV38","TSMC130nm","135","207","AGP8x","4:3:8:4","475","475","1900","1900","3800","DDR","256","356.25","256","30.4"
"GeForcePCX5950","February17,2004","NV38","135","207","PCIex16","475","475","1900","1900","3800","356.25","256","30.4","TSMC130nm","GDDR3","4:3:8:4","256"
"Model","Launch","Codename","Fab(nm)","Transistors(million)","Diesize(mm²)","Businterface","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","Fillrate","Memory","Memory","Memory","Fillrate","Fillrate","Fillrate","Memory"
"Model","Launch","Codename","Fab(nm)","Transistors(million)","Diesize(mm²)","Businterface","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","MOperations/s","MPixels/s","MTexels/s","MVertices/s","Size(MB)","Bandwidth(GB/s)","Bustype","Buswidth(bit)"
