"Grammaticalform","Esperanto","Esperanto","Ido","English","English"
"Singularnoun","-o(libro)","-o(libro)","-o(libro)","book","book"
"Pluralnoun","-oj(libroj)","-oj(libroj)","-i(libri)","books","books"
"Adjective","-a(varma)","-a(varma)","-a(varma)","warm","warm"
"Adverb","-e(varme)","-e(varme)","-e(varme)","warmly","warmly"
"Presenttenseinfinitive","-anti(iranti)","-i(iri)","-ar(irar)","tobegoing","togo"
"Pasttenseinfinitive","-inti(irinti)","-i(iri)","-ir(irir)","tohavegone","togo"
"Futuretenseinfinitive","-onti(ironti)","-i(iri)","-or(iror)","tobegoingtogo","togo"
"Present","-as(iras)","-as(iras)","-as(iras)","go,goes","go,goes"
"Past","-is(iris)","-is(iris)","-is(iris)","went","went"
"Future","-os(iros)","-os(iros)","-os(iros)","willgo","willgo"
"Imperative","-u(iru)","-u(iru)","-ez(irez)","go!","go!"
"Conditional","-us(irus)","-us(irus)","-us(irus)","wouldgo","wouldgo"
